N	2gram	Medvedev_F_3	Vvedenie
1	и т	11	42
2	т д	6	36
3	т е	32	35
4	и в	27	32
5	в том	7	31
6	в этом	18	30
7	том что	4	26
8	может быть	25	26
9	не только	9	22
10	для того	4	21
11	того чтобы	5	20
12	таким образом	18	19
13	то что	8	16
14	потому что	7	15
15	так как	9	15
16	не может	24	14
17	в самом	11	13
18	в нем	15	13
19	о том	4	13
20	со стороны	4	13
21	в их	1	12
22	в общем	2	12
23	в его	7	12
24	того что	3	12
25	только в	8	12
26	и не	30	12
27	как мы	8	11
28	в ее	4	11
29	и именно	2	11
30	ясно что	3	11
31	в данном	6	11
32	языка и	1	10
33	что в	8	10
34	то же	15	9
35	в истории	5	9
36	и как	4	9
37	но в	6	9
38	по себе	4	9
39	между тем	7	9
40	в той	3	9
41	этом смысле	2	9
42	а только	1	8
43	это не	3	8
44	не в	12	8
45	тем не	2	8
46	не менее	7	8
47	с другой	6	8
48	именно в	1	8
49	самом деле	16	7
50	но не	5	7
51	все же	6	7
52	было бы	6	7
53	точки зрения	16	7
54	можно было	1	7
55	дело с	3	7
56	прежде всего	4	7
57	смысле этого	2	7
58	о котором	1	7
59	смысле слова	2	6
60	и это	2	6
61	из этих	2	6
62	как он	2	6
63	его в	7	6
64	с тем	7	6
65	как и	14	6
66	вовсе не	28	6
67	в то	7	6
68	в качестве	1	6
69	же время	7	6
70	тем что	5	6
71	не могут	10	6
72	один из	1	6
73	и его	19	6
74	и даже	2	6
75	до сих	1	6
76	но и	10	6
77	сих пор	1	6
78	все это	7	6
79	хотя бы	6	6
80	одним из	3	5
81	мере в	1	5
82	в целом	4	5
83	с их	1	5
84	так например	1	5
85	об этом	1	5
86	на почве	2	5
87	и тем	3	5
88	данном случае	4	5
89	в них	3	5
90	но если	2	5
91	в которых	3	5
92	сказать что	3	5
93	могут быть	4	5
94	как например	1	5
95	так что	1	5
96	видеть что	1	5
97	уже в	4	5
98	не есть	4	5
99	т п	5	5
100	а не	17	5
101	она есть	3	5
102	в течение	1	5
103	как бы	8	5
104	той мере	1	5
105	другой стороны	5	5
106	в какой	3	5
107	вместе с	6	5
108	и то	1	4
109	как это	4	4
110	в чисто	2	4
111	в первом	1	4
112	той же	3	4
113	мы имеем	1	4
114	язык как	2	4
115	по отношению	3	4
116	не просто	1	4
117	независимо от	5	4
118	от этого	2	4
119	уже не	3	4
120	так или	1	4
121	в себе	3	4
122	но ведь	4	4
123	этот процесс	3	4
124	должен был	1	4
125	в своей	6	4
126	в котором	2	4
127	как о	2	4
128	в разных	1	4
129	в каждом	5	4
130	это только	2	4
131	и что	3	4
132	как она	1	4
133	и история	1	4
134	еще не	6	4
135	что он	6	4
136	и ее	6	4
137	с одной	1	4
138	этого понятия	1	4
139	одно из	1	4
140	всяком случае	6	4
141	как раз	8	4
142	этом отношении	3	4
143	даже и	1	4
144	одной стороны	1	4
145	и обратно	1	4
146	или иначе	1	4
147	по мере	1	4
148	еще и	1	4
149	е в	1	4
150	о чем	1	4
151	с этой	1	4
