N	3gram	Medvedev_U_1	Hudozhes
1	то же время	3	6
2	в то же	3	6
3	более или менее	1	5
4	с другой стороны	3	5
5	в том что	2	5
6	в конечном счете	4	3
7	можно сказать что	1	3
8	в этом смысле	2	3
9	и в то	1	2
10	в противном случае	2	2
11	с одной стороны	1	2
12	так или иначе	1	2
13	в эстетический объект	1	2
14	и прежде всего	1	2
15	это было бы	1	1
16	имеем в виду	1	1
17	в его эстетической	1	1
18	в этом случае	1	1
19	искусства в его	1	1
20	не входит в	1	1
21	бы то ни	3	1
22	для него не	1	1
23	эстетического объекта и	1	1
24	по крайней мере	2	1
25	этом смысле можно	1	1
26	этого термина не	1	1
27	произведения искусства как	1	1
28	в художественном произведении	2	1
29	то ни было	3	1
30	по себе еще	1	1
31	не могут быть	2	1
32	и в этой	2	1
33	не только к	1	1
34	научному анализу и	1	1
35	входит в эстетический	1	1
36	в первую очередь	1	1
37	говоря иначе в	1	1
38	мы имеем в	1	1
39	тех или иных	2	1
40	быть не может	1	1
41	что такое искусство?	1	1
42	не может быть	4	1
43	и некоторыми другими	1	1
44	в отдельности и	1	1
