N	2gram	Tiupa_Vved_1	Myslijsy
1	потому что	5	49
2	для нас	2	31
3	то есть	8	30
4	и в	13	24
5	может быть	18	23
6	в сознании	4	23
7	то что	6	20
8	и не	12	19
9	в том	10	18
10	а не	15	18
11	что в	3	16
12	не только	20	15
13	по себе	2	15
14	того же	1	14
15	при этом	26	13
16	в слове	3	13
17	не в	6	13
18	было бы	4	13
19	то же	5	12
20	но не	5	12
21	мы можем	2	12
22	не может	7	12
23	мы не	4	11
24	таким образом	4	11
25	вместе с	1	11
26	если бы	7	11
27	что и	2	11
28	что мы	2	11
29	только в	6	11
30	тогда как	10	10
31	как в	4	10
32	в себе	5	10
33	для него	3	10
34	так что	1	10
35	в нем	5	9
36	вовсе не	1	9
37	то и	2	9
38	но и	19	9
39	как бы	4	9
40	и на	3	8
41	а только	1	8
42	в этом	21	8
43	более или	2	8
44	том что	7	8
45	или менее	2	8
46	могут быть	4	8
47	а в	6	8
48	во всех	2	7
49	мысль о	1	7
50	как и	11	7
51	всяком случае	1	7
52	того как	1	7
53	прежде всего	7	7
54	сами по	1	7
55	тем что	2	7
56	того что	6	7
57	во всяком	1	7
58	между двумя	3	6
59	и того	2	6
60	одного и	1	6
61	тем не	3	6
62	в то	4	6
63	не имеет	2	6
64	связи с	1	6
65	есть только	1	6
66	свою очередь	4	6
67	между тем	1	6
68	и только	1	6
69	не можем	2	6
70	в одном	1	6
71	заметить что	1	6
72	с другой	5	6
73	не было	2	6
74	в ряду	2	6
75	в свою	4	6
76	по поводу	2	6
77	человеческой речи	1	5
78	столь же	1	5
79	что они	1	5
80	все же	6	5
81	мертвых душ	4	5
82	уже в	1	5
83	бы не	2	5
84	на то	1	5
85	не менее	4	5
86	по крайней	1	5
87	и наоборот	1	5
88	с ним	3	5
89	судя по	2	5
90	так и	8	5
91	по мере	1	5
92	о том	5	5
93	с другими	1	5
94	крайней мере	1	5
95	тот же	1	5
96	слова в	2	5
97	из них	1	5
98	в них	2	5
99	что не	1	5
100	и их	1	5
101	или не	2	5
102	же в	1	5
103	в самом	2	4
104	еще не	7	4
105	но в	6	4
106	уже не	5	4
107	из этих	3	4
108	как он	2	4
109	так сказать	2	4
110	и если	1	4
111	заключает в	1	4
112	в нее	1	4
113	с тем	1	4
114	в котором	8	4
115	место в	2	4
116	стало быть	7	4
117	между прочим	1	4
118	они не	1	4
119	тем самым	5	4
