N	2gram	Medvedev_U_1	Psycholo
1	то что	7	44
2	и в	14	33
3	в этом	7	28
4	и что	1	25
5	может быть	6	22
6	том что	2	22
7	что в	1	21
8	в том	2	21
9	о том	1	20
10	что он	2	20
11	и не	8	13
12	таким образом	2	13
13	то есть	1	13
14	все это	5	13
15	сказать что	1	13
16	и все	1	12
17	в самом	2	12
18	самом деле	2	12
19	было бы	3	12
20	он не	1	11
21	что все	2	11
22	не может	7	10
23	на то	1	10
24	если бы	2	10
25	в его	2	10
26	что она	2	10
27	как раз	2	9
28	по себе	2	9
29	то же	5	9
30	в этой	4	9
31	в конце	2	8
32	для этого	3	8
33	и только	5	7
34	в нем	1	7
35	до конца	1	7
36	не только	10	7
37	в своем	1	7
38	в себе	2	6
39	но он	1	6
40	как на	1	6
41	у него	1	6
42	это не	3	6
43	а не	10	6
44	в ней	1	6
45	что мы	2	6
46	же самое	2	6
47	все же	3	5
48	как и	3	5
49	мы не	2	5
50	что для	1	5
51	мы можем	1	5
52	никогда не	1	5
53	и это	1	5
54	в которой	1	4
55	очень легко	1	4
56	ее в	1	4
57	художественной формы	2	4
58	это в	1	4
59	друг с	1	4
60	в своей	3	4
61	об этом	1	4
62	и так	1	4
63	с тем	1	4
64	с другом	1	4
65	того что	1	4
66	в таком	1	4
67	в порядке	1	4
68	у нас	3	4
69	не то	1	4
70	только в	2	4
71	той же	1	4
72	это было	2	4
73	о нем	1	4
74	в частности	3	4
75	к этому	1	4
76	конце концов	2	3
77	смысле этого	2	3
78	это то	1	3
79	бы это	1	3
80	и для	2	3
81	так и	1	3
82	не было	1	3
83	в виде	1	3
84	сих пор	2	3
85	тому чтобы	1	3
86	в то	3	3
87	но не	2	3
88	всех этих	2	3
89	но если	1	3
90	но и	4	3
91	из которых	1	3
92	что этот	1	3
93	до сих	2	3
94	в той	1	3
95	тот же	1	3
96	должно быть	1	3
97	при таком	2	3
98	тем что	2	3
99	к которой	1	3
100	одной стороны	1	3
101	еще раз	1	3
102	же как	1	3
103	с одной	1	3
104	в сторону	2	3
105	не для	1	3
106	она не	1	3
107	далеко не	1	3
108	их в	1	3
109	в которых	1	3
110	что и	2	3
111	конечно не	4	3
112	в пределах	1	3
113	в словах	1	2
114	материал и	1	2
115	и с	2	2
116	же время	3	2
117	надо было	2	2
118	можно сказать	1	2
119	бы то	3	2
120	даже не	1	2
121	больше чем	1	2
122	прежде всего	8	2
123	оно является	1	2
124	и является	2	2
125	он знает	1	2
126	в виду	1	2
127	верно и	1	2
128	не в	2	2
129	его и	2	2
130	хотя бы	5	2
131	такое понимание	1	2
132	в художественном	5	2
133	в их	4	2
134	что такой	1	2
135	бы и	2	2
136	одно из	1	2
137	этой основной	1	2
138	в искусстве	6	2
139	сводится к	2	2
140	и формы	3	2
141	быть не	1	2
142	сам автор	1	2
143	не все	2	2
144	точном смысле	1	2
145	сам по	1	2
146	а как	2	2
147	он может	1	2
148	но в	3	2
149	что при	1	2
150	именно как	2	2
151	и потому	1	2
152	построения и	1	2
153	ничего не	2	2
154	к убийству	1	2
155	мы имеем	1	2
156	впечатление которое	1	2
157	другой стороны	3	2
158	которой все	1	2
159	в котором	1	2
160	есть конечно	1	2
161	могли бы	2	2
162	с его	2	2
163	с другой	4	2
164	все они	2	2
165	по существу	2	2
166	и то	3	2
167	самое что	1	2
168	что ему	1	2
169	иначе говоря	1	2
170	материала и	2	2
171	и эта	1	2
172	литературы и	2	2
173	почти не	1	1
174	подчеркивает и	1	1
175	в отдельности	1	1
176	от которой	1	1
177	на его	1	1
178	а где	1	1
179	это значит	1	1
180	чем то	1	1
181	этого материала	1	1
182	мы и	2	1
183	в не	1	1
184	но что	1	1
185	почему по	1	1
186	и независимо	1	1
187	тех кто	1	1
188	содержание в	1	1
189	сторону от	1	1
190	же в	1	1
