N	3gram	Medvedev_F_1	Poddanst
1	в то же	8	7
2	то же время	8	7
3	в отношении к	1	5
4	гораздо большей степени	1	4
5	в гораздо большей	1	4
6	в том что	1	4
7	экономического и политического	1	3
8	с точки зрения	13	3
9	сами по себе	2	3
10	с одной стороны	4	3
11	в том числе	1	2
12	одной стороны и	4	2
13	и в то	1	2
14	но и в	1	2
15	заключается в том	1	2
16	как она есть	1	1
17	в ней и	1	1
18	во всей полноте	1	1
19	только это не	1	1
20	более или менее	6	1
21	в настоящее время	10	1
22	в этом смысле	1	1
23	или хотя бы	1	1
24	и в этом	2	1
25	и не может	2	1
26	тот или иной	1	1
27	хотя бы и	1	1
28	можно говорить о	1	1
29	в отличие от	1	1
30	прежде всего мы	1	1
31	вместе с тем	1	1
32	и в частности	2	1
33	в применении к	2	1
34	все это в	1	1
35	так же как	1	1
36	по сравнению с	1	1
37	главным образом на	2	1
38	настоящее время в	3	1
39	во всяком случае	4	1
40	с другой стороны	1	1
41	не может быть	5	1
42	до тех пор	1	1
43	и чем глубже	1	1
44	сменяют друг друга	2	1
45	та или иная	1	1
46	и тем самым	1	1
47	но в то	2	1
48	но для каждого	1	1
49	этой последней в	1	1
50	в большинстве случаев	2	1
51	и не менее	3	1
52	как одна из	1	1
53	в отрыве от	1	1
54	том числе и	1	1
55	и т д	8	1
56	в отдельности и	1	1
