N	3gram	Vygotskiy__1	Otkroven
1	для того чтобы	15	3
2	и в этом	1	2
3	что у него	1	2
4	не может быть	5	2
5	как и все	1	2
6	но и в	1	2
7	и никогда не	1	2
8	ничего не хочет	1	1
9	смысле этого слова	3	1
10	и не быть	1	1
11	в другом месте	6	1
12	по сравнению с	5	1
13	хотя и не	1	1
14	в строгом смысле	1	1
15	в этих словах	1	1
16	от всех тех	1	1
17	потому что в	1	1
18	прежде всего в	2	1
19	том что в	2	1
20	это потому что	1	1
21	друг к другу	1	1
22	того чтобы сделать	1	1
23	в самом деле	2	1
24	есть не только	1	1
25	должен был бы	1	1
26	он указывает на	1	1
27	между этими двумя	2	1
28	и не может	1	1
29	во всяком случае	3	1
30	сам по себе	3	1
31	отношение человека к	1	1
32	не в силах	1	1
33	само по себе	1	1
34	о том что	6	1
35	в этом отношении	4	1
36	то что в	1	1
37	это вопрос о	1	1
38	заключает в себе	1	1
39	хотя бы самый	1	1
40	в том что	15	1
41	и заключается в	1	1
42	на то что	3	1
43	и то что	1	1
44	друг с другом	4	1
45	бы и не	1	1
46	вместо того чтобы	2	1
47	хотя бы даже	1	1
48	как и в	1	1
49	от того что	2	1
