N	3gram	Propp_Isto_4	Psycholo
1	на то что	3	16
2	что в этом	1	6
3	в зависимости от	1	6
4	о том что	2	6
5	к тому что	1	6
6	мы увидим что	2	6
7	до сих пор	5	5
8	совершенно ясно что	1	5
9	с другой стороны	4	5
10	по сравнению с	3	4
11	то же самое	2	3
12	вместе с тем	1	3
13	на этот вопрос	2	3
14	и то что	5	3
15	одно и то	1	3
16	и то же	1	3
17	то что он	2	3
18	мы видим что	1	3
19	и т д	24	3
20	что иное как	3	2
21	мы видим в	1	2
22	в этом случае	3	2
23	может быть и	1	2
24	является то что	1	2
25	потому что он	1	2
26	так же как	12	2
27	в данном случае	3	2
28	если бы мы	1	2
29	таким образом мы	1	2
30	не только в	2	2
31	указывает на то	1	2
32	он говорит что	1	2
33	он должен был	2	2
34	не может быть	4	2
35	не что иное	3	2
36	мы знаем что	7	2
37	можно сказать что	1	2
38	на том что	1	1
39	не мог бы	1	1
40	то что им	1	1
41	мы имеем в	2	1
42	ни к каким	1	1
43	как это мы	1	1
44	было бы назвать	1	1
45	к которым приходят	1	1
46	же как и	4	1
47	как раз наоборот	1	1
48	что он не	1	1
49	в которых это	1	1
50	что так же	1	1
51	но он не	1	1
52	по существу мы	1	1
53	в приложении к	1	1
54	с ними в	1	1
55	в основе своей	1	1
56	то что она	1	1
57	и др в	1	1
58	он является в	1	1
59	что даже и	1	1
60	здесь могут быть	1	1
61	здесь же в	1	1
62	не могло быть	1	1
63	и рассматривается в	1	1
64	то время как	1	1
65	мы не можем	1	1
66	такими какими их	1	1
67	на задний план	2	1
68	смысле этого слова	2	1
69	только с этой	1	1
70	поэтому совершенно прав	1	1
71	как будто бы	1	1
72	т д мы	2	1
73	не могут быть	1	1
74	с той же	1	1
75	но вместе с	1	1
76	видели что в	1	1
77	что у него	1	1
78	потому что мы	1	1
79	но так как	1	1
80	и показывает что	1	1
81	то что вообще	1	1
82	таким образом становится	1	1
83	мы имеем здесь	1	1
84	из которых каждый	1	1
85	отношение как к	1	1
86	в то время	1	1
87	между героем и	1	1
88	и в русской	1	1
89	после того как	2	1
90	ничего общего с	1	1
91	с собой в	2	1
92	данном случае к	1	1
93	он может быть	1	1
94	мы видели что	3	1
95	не только это	1	1
96	говорит об этом	2	1
97	существу мы можем	1	1
98	тем что он	2	1
99	что мы видим	1	1
