N	3gram	Tiupa_Lite_3	VLabPisa
1	в этом отношении	5	13
2	и т п	1	9
3	с другой стороны	2	8
4	не может быть	3	8
5	по отношению к	4	7
6	более или менее	1	6
7	хотя бы и	1	5
8	то же время	7	5
9	в конечном счете	1	5
10	в то же	7	5
11	в связи с	1	4
12	в том что	4	4
13	о том как	1	3
14	не удивительно что	2	3
15	вместе с тем	1	3
16	это и есть	1	3
17	о том что	4	3
18	в одном из	2	3
19	к тому что	1	3
20	в другом месте	1	2
21	одной стороны и	2	2
22	подобно тому как	2	2
23	в том числе	3	2
24	в том чтобы	2	2
25	с одной стороны	4	2
26	этой точки зрения	1	2
27	не только не	1	2
28	том числе и	2	2
29	для того чтобы	1	2
30	во всех других	1	1
31	хотя и не	1	1
32	в той или	1	1
33	органической связи с	1	1
34	по существу своему	1	1
35	об отсутствии у	1	1
36	не об отсутствии	1	1
37	в самом деле	2	1
38	в соответствии с	3	1
39	с этой точки	1	1
40	говоря уже о	3	1
41	именно в этом	1	1
42	сама по себе	1	1
43	но и в	2	1
44	он и не	1	1
45	только в том	1	1
46	то что в	1	1
47	по аналогии с	1	1
48	во всей ее	1	1
49	некоторые из них	1	1
50	ту или иную	1	1
51	так или иначе	2	1
52	в целом и	2	1
53	в данном случае	4	1
54	не только в	2	1
55	то же самое	2	1
56	быть определена как	1	1
57	творчества он и	1	1
58	как будто бы	1	1
59	может быть определена	1	1
60	на вопрос что	1	1
61	а не только	1	1
62	не как на	1	1
63	и в прозе	1	1
64	кажется что он	1	1
65	всей ее полноте	1	1
66	и при всей	1	1
67	не говоря уже	4	1
68	и вместе с	2	1
69	в свою очередь	1	1
70	еще в году	1	1
71	в работе над	1	1
72	ничего общего с	1	1
73	но и для	1	1
74	о художнике как	2	1
75	вопрос о том	1	1
76	той или иной	2	1
77	в этой системе	1	1
78	или иной мере	1	1
79	с по год	1	1
80	в своем дневнике	1	1
81	может быть в	1	1
82	к тому же	5	1
83	что он в	1	1
84	не только для	1	1
85	и следовало ожидать	1	1
