N	4gram	Losev_Dial_2	Problema
1	в то же время	3	3
2	не выходя за пределы	2	2
3	и в то же	1	2
4	сами по себе не	1	1
5	мы можем сказать что	1	1
6	с одной стороны и	1	1
7	не есть ли это	1	1
8	и с точки зрения	1	1
9	что бы то ни	1	1
10	на самом же деле	1	1
11	и в том и	1	1
12	бы то ни стало	1	1
13	в то время как	3	1
14	и его значение в	1	1
15	именно в том что	1	1
16	не что иное как	3	1
17	не говоря уже о	2	1
18	во что бы то	1	1
19	иметь в виду что	2	1
20	том и в другом	1	1
21	в том смысле что	3	1
22	и т д мы	1	1
23	не нуждается ни в	1	1
24	не в том что	1	1
25	в том и в	1	1
26	есть не что иное	2	1
