N	3gram	Berdyaev_N_1	KFilosof
1	не может быть	4	11
2	может быть только	1	6
3	ни в чем	1	4
4	в этом смысле	2	3
5	в котором и	1	3
6	это не есть	1	3
7	но это уже	1	2
8	вопрос о том	2	2
9	других людей и	1	2
10	в том что	1	2
11	а не в	1	2
12	никогда не было	2	1
13	мы говорим о	1	1
14	и того же	1	1
15	равно как и	2	1
16	не в смысле	2	1
17	в средние века	3	1
18	для этого конечно	1	1
19	он не может	2	1
20	не есть принцип	1	1
21	а не к	1	1
22	не было и	1	1
23	но сам этот	1	1
24	характер и в	1	1
25	и во всех	1	1
26	в зависимости от	1	1
27	нужно помнить что	1	1
28	со всех сторон	3	1
29	и не в	1	1
30	вместе с тем	2	1
31	этого мира не	1	1
32	а это предполагает	1	1
33	жизнь не может	1	1
34	том смысле в	1	1
35	я исхожу из	1	1
36	что в эту	1	1
37	должен быть признан	1	1
38	в известном смысле	1	1
39	в том случае	1	1
40	не в том	1	1
41	в нем не	1	1
42	это не значит	2	1
43	этого не знает	1	1
44	во всяком случае	1	1
45	быть не может	1	1
46	не должно быть	1	1
47	я не могу	1	1
48	в нем нет	2	1
49	в значительной степени	1	1
50	он не имеет	2	1
51	но нет и	1	1
52	весь мир все	1	1
53	одного и того	1	1
54	в большинстве случаев	1	1
55	когда мы говорим	2	1
56	конечно не в	1	1
57	в том смысле	1	1
58	не значит что	3	1
