N	3gram	Tiupa_Vved_1	KulturaY
1	можно было бы	2	10
2	тем не менее	3	9
3	в том что	3	8
4	в зависимости от	1	7
5	той или иной	2	5
6	в этом случае	1	4
7	в данном случае	6	4
8	с одной стороны	5	4
9	и в этом	1	4
10	в связи с	1	4
11	и в самом	1	4
12	на самом деле	3	3
13	в том чтобы	2	3
14	не только в	2	3
15	а с другой	2	3
16	с другой стороны	1	3
17	не может быть	3	3
18	о том что	4	3
19	в той или	1	2
20	и того же	1	2
21	по отношению к	7	2
22	в том числе	1	2
23	один и тот	1	2
24	в таком случае	1	2
25	в отличие от	2	2
26	в первом случае	1	2
27	и тот же	1	2
28	не в том	1	2
29	более или менее	2	2
30	одного и того	1	2
31	к тому же	4	2
32	как мы видели	2	2
33	но тут же	1	1
34	ни о каких	1	1
35	хотя и не	1	1
36	мере в какой	2	1
37	том что на	1	1
38	в этом смысле	1	1
39	то же самое	1	1
40	оно свидетельствует о	1	1
41	точка зрения поскольку	1	1
42	и в то	1	1
43	то что мы	1	1
44	а также в	1	1
45	а что же	1	1
46	но и в	2	1
47	не могло бы	1	1
48	но в этом	1	1
49	из того что	1	1
50	по крайней мере	1	1
51	хотя бы одно	1	1
52	в той мере	2	1
53	или иной степени	1	1
54	а то и	2	1
55	не о чем	1	1
56	не только внешние	1	1
57	мог бы и	1	1
58	рамках одного и	1	1
59	войне и мире	2	1
60	на наших глазах	1	1
61	может быть не	3	1
62	было бы выделить	1	1
63	тому или иному	1	1
64	не зависит от	1	1
65	не столько в	1	1
66	все без исключения	1	1
67	по природе своей	1	1
68	в противном случае	1	1
69	а не с	1	1
70	то что он	1	1
71	а не как	1	1
72	во всяком случае	1	1
73	а в том	1	1
74	то же время	3	1
75	в войне и	2	1
76	мы не можем	1	1
77	в свою очередь	4	1
78	само по себе	1	1
79	первом случае мы	1	1
80	в конечном счете	1	1
81	и прежде всего	1	1
82	имеет в своем	1	1
83	слова иначе говоря	1	1
84	в то же	4	1
85	в рамках одного	1	1
86	друг от друга	1	1
87	может быть использован	1	1
88	становится очевидным что	1	1
89	той мере в	2	1
90	мы тем не	1	1
91	все тех же	1	1
92	вовсе еще не	1	1
