N	3gram	Losev_Prob_4	PoTuStor
1	с точки зрения	11	6
2	на самом деле	3	4
3	с самого начала	1	4
4	в чем не	1	3
5	в этом смысле	3	3
6	до сих пор	1	3
7	по крайней мере	6	3
8	по сравнению с	1	3
9	во всяком случае	4	3
10	ни в чем	1	3
11	и может быть	1	2
12	нам кажется что	1	2
13	на этой ступени	1	2
14	так же как	1	2
15	о том что	3	2
16	но отнюдь не	1	2
17	нечего и говорить	1	2
18	если бы он	1	1
19	мы здесь имеем	1	1
20	для объяснения всех	1	1
21	ничего не говорит	1	1
22	сказать то же	1	1
23	дело в том	1	1
24	мы имеем в	1	1
25	во всех областях	1	1
26	в нем и	1	1
27	имеем в виду	3	1
28	но даже и	4	1
29	то же самое	6	1
30	же как и	1	1
31	как мы сказали	1	1
32	коем случае нельзя	1	1
33	и мышления не	1	1
34	ни в коем	3	1
35	таким образом к	1	1
36	бы то ни	1	1
37	а может быть	1	1
38	можно было бы	4	1
39	и говорить о	1	1
40	с этой точки	1	1
41	вместе с тем	3	1
42	в коем случае	3	1
43	том что мы	1	1
44	не чем иным	2	1
45	в данном случае	5	1
46	то ни было	1	1
47	с одной стороны	1	1
48	в связи с	3	1
49	каких бы то	1	1
50	так и с	1	1
51	имеем дело с	1	1
52	всяком случае не	1	1
53	что представляет собою	1	1
54	в том что	8	1
55	жизни таким образом	1	1
56	этой точки зрения	1	1
57	и ни в	3	1
58	а вместе с	1	1
59	чем иным как	2	1
60	мы видим и	1	1
61	говорить о том	1	1
62	так и в	1	1
63	это и есть	1	1
64	жизни в этом	1	1
65	и прежде всего	2	1
66	кажется что такие	1	1
67	что иное как	2	1
68	в том смысле	2	1
69	не что иное	2	1
70	как учение о	1	1
71	для того чтобы	2	1
72	на первый взгляд	1	1
73	может быть даже	1	1
74	той или иной	11	1
75	он прежде всего	1	1
76	для всех других	1	1
