N	3gram	Voloshinov_1	slovoVRo
1	не может быть	4	15
2	в отличие от	1	12
3	с одной стороны	2	5
4	по отношению к	3	4
5	в зависимости от	2	4
6	то же время	1	4
7	в то же	1	4
8	в узком смысле	1	4
9	в том что	2	4
10	с точки зрения	5	3
11	в этом отношении	1	3
12	в собственном смысле	1	3
13	но в то	1	3
14	а вовсе не	1	2
15	и наконец в	2	2
16	а также и	1	2
17	более или менее	1	2
18	может быть и	1	2
19	включает в себя	1	2
20	в предшествующей главе	1	2
21	так и для	1	2
22	в связи с	1	2
23	для того чтобы	1	2
24	человека и его	1	2
25	точки зрения и	1	1
26	всегда нуждается в	1	1
27	науки о слове	1	1
28	в чем же	1	1
29	иметь в виду	1	1
30	в синтаксической конструкции	1	1
31	том что в	1	1
32	в его понимании	1	1
33	между тем как	1	1
34	и не может	1	1
35	отношение к слову	1	1
36	на то что	1	1
37	по себе а	1	1
38	как мог бы	1	1
39	его роль в	1	1
40	говорить не приходится	1	1
41	говорить об особой	2	1
42	но может быть	1	1
43	в области поэтики	1	1
44	те или иные	1	1
45	с другой стороны	2	1
46	быть сведены к	1	1
47	только с помощью	1	1
48	все то что	1	1
49	тем не менее	1	1
50	того или иного	2	1
51	мы не можем	1	1
52	как и в	1	1
53	она ни была	1	1
54	это и не	1	1
55	выйти за пределы	1	1
56	наиболее близкий к	1	1
57	жизненных ситуациях и	1	1
58	с самого начала	2	1
59	нужно сказать что	1	1
60	слова могут быть	1	1
61	там где она	1	1
62	к единству языка	1	1
63	тех или иных	1	1
