N	3gram	Savitsky_P_1	Myshleni
1	в том что	4	19
2	по сравнению с	1	14
3	с точки зрения	3	10
4	для того чтобы	1	8
5	так же как	1	6
6	заключается в том	2	5
7	друг с другом	1	5
8	и тем самым	1	5
9	мы знаем что	1	3
10	в этом смысле	1	2
11	именно потому что	1	2
12	с другой стороны	1	2
13	иначе как на	1	2
14	и не может	1	2
15	в значительной мере	2	2
16	и то что	1	2
17	вместе с тем	1	2
18	мы видим в	1	2
19	не может быть	1	2
20	с величайшим трудом	1	1
21	с одной стороны	3	1
22	и именно в	1	1
23	гораздо большей степени	4	1
24	не только это	2	1
25	только это не	1	1
26	в том числе	2	1
27	как одна из	1	1
28	и в этом	1	1
29	в отдельности и	1	1
30	что в момент	1	1
31	в гораздо большей	4	1
32	но в этом	1	1
33	в наших глазах	1	1
34	в отличие от	1	1
35	том что в	1	1
36	не только в	4	1
37	в настоящее время	1	1
38	одних и других	2	1
39	имеет не только	2	1
40	можем представить себе	1	1
41	в собственном смысле	1	1
42	том числе и	1	1
43	сами по себе	3	1
44	во всех доступных	1	1
45	новое по сравнению	1	1
46	в этом деле	1	1
47	что во всех	1	1
