N	2gram	Berdyaev_V_1	Istorich
1	и т	2	27
2	и в	16	26
3	т д	2	24
4	так же	1	18
5	то что	9	16
6	не только	2	15
7	может быть	1	14
8	что в	3	14
9	но и	5	12
10	связь с	1	12
11	так и	4	10
12	что он	4	10
13	все же	1	9
14	что и	3	9
15	так как	9	9
16	и не	20	9
17	то же	1	8
18	а в	2	8
19	в этом	4	7
20	как и	4	7
21	в этих	3	7
22	их в	3	7
23	как в	1	7
24	превращается в	3	7
25	и то	2	6
26	еще не	8	6
27	что они	7	6
28	не всегда	1	6
29	таким же	1	6
30	могут быть	2	6
31	к нему	1	6
32	мы видим	1	6
33	потому что	4	6
34	а не	7	6
35	вместе с	1	6
36	то это	3	5
37	но не	2	5
38	но в	3	5
39	уже не	2	5
40	и по	1	5
41	но все	1	5
42	и с	1	5
43	это не	2	5
44	не в	3	5
45	ничего не	1	5
46	как мы	1	5
47	и что	3	5
48	в его	4	5
49	с ними	1	5
50	в одном	1	5
51	у него	1	5
52	тем что	2	5
53	к этому	1	5
54	вопрос о	1	4
55	на себя	5	4
56	в которых	1	4
57	тогда как	1	4
58	не просто	1	4
59	его на	1	4
60	в своей	3	4
61	того как	1	4
62	вовсе не	1	4
63	с другой	1	4
64	все что	4	4
65	другой стороны	1	4
66	его к	2	3
67	все эти	3	3
68	и если	1	3
69	на земле	7	3
70	том что	2	3
71	по сравнению	1	3
72	как это	1	3
73	не имеет	3	3
74	на котором	1	3
75	на него	1	3
76	во всем	1	3
77	она не	1	3
78	в образе	4	3
79	но мы	2	3
80	в том	3	3
81	мы увидим	1	3
82	только в	2	3
83	в руки	1	3
84	животное и	1	3
85	о чем	1	3
86	что мы	4	3
87	сравнению с	1	3
88	как бы	5	3
89	указать на	1	3
90	для нас	2	3
91	но это	3	3
92	является и	1	3
93	он всегда	1	3
94	и другие	1	3
95	и есть	4	2
96	должна быть	3	2
97	и за	2	2
98	только это	1	2
99	к ним	1	2
100	отношение к	1	2
101	нам право	1	2
102	в этой	1	2
103	в истории	8	2
104	в своем	1	2
105	хотя и	5	2
106	говорит что	1	2
107	царство и	1	2
108	конечно не	2	2
109	что это	1	2
110	в целом	1	2
111	он делает	1	2
112	в нем	4	2
113	от которого	3	2
114	тебе все	1	2
115	не к	2	2
116	на этом	1	2
117	лишь в	3	2
118	хотя бы	3	2
119	и тем	1	2
120	с тем	2	2
121	земли и	2	2
122	что я	3	2
123	все это	5	2
124	что есть	5	2
125	не по	1	2
126	небом и	1	2
127	это мы	2	2
128	так много	2	2
129	одна из	2	2
130	что на	1	2
131	у нас	1	2
132	не могут	2	2
133	его с	1	2
134	не есть	6	2
135	на том	2	2
136	никогда не	3	2
137	живет в	1	2
138	и на	1	2
139	основана на	1	2
140	после того	1	2
141	от них	1	2
142	и во	2	2
143	в форме	2	2
144	видим что	1	2
145	того что	5	2
146	их не	1	2
147	уже в	1	2
148	и они	3	2
149	в виде	1	2
150	его и	2	2
151	ни в	3	2
152	не случайно	1	2
153	говорит о	1	2
154	он говорит	1	2
155	и вот	1	2
156	этого слова	1	2
157	с этой	1	2
158	есть и	1	2
159	это он	1	2
160	от него	2	2
161	и все	4	2
162	в лице	1	2
163	в роли	1	2
164	эта новая	1	1
165	не имеют	1	1
166	которое может	1	1
167	и могут	1	1
168	их и	1	1
169	есть не	1	1
170	мы не	2	1
171	это сделали	1	1
172	и тут	1	1
173	не была	1	1
174	нет еще	2	1
175	но она	1	1
176	зависимости от	1	1
177	в ней	4	1
178	он был	1	1
179	со словами	1	1
180	в чем	3	1
181	что люди	1	1
182	во всех	3	1
183	мы будем	1	1
184	но как	1	1
185	к богу	8	1
186	если в	1	1
187	себе и	1	1
188	и я	4	1
189	себя за	1	1
190	что нет	1	1
191	есть что-то	1	1
192	сострадания к	1	1
193	нас они	1	1
194	всем мире	1	1
195	духа и	2	1
196	мир и	2	1
197	и хотя	1	1
198	и говорит	1	1
199	к чему	3	1
200	то и	1	1
201	им в	1	1
202	ничего и	2	1
203	под землей	1	1
204	чтобы овладеть	2	1
205	и стало	1	1
206	к миру	1	1
207	его связь	1	1
208	том свете	1	1
209	во главе	2	1
210	так часто	1	1
211	людей и	2	1
212	а остальные	2	1
213	за то	3	1
214	вера в	2	1
215	а его	1	1
216	себя не	1	1
217	и которые	1	1
218	и мы	3	1
219	в них	3	1
220	она и	1	1
221	и уже	1	1
222	перестает быть	1	1
223	с такой	1	1
224	бога и	5	1
225	и тогда	2	1
226	но я	1	1
227	привязанность к	1	1
228	в котором	4	1
229	тайный союз	1	1
230	что было	2	1
231	тому что	3	1
232	и очень	1	1
233	нет никакого	1	1
234	и другое	1	1
235	на два	1	1
236	а ты	1	1
237	тому кто	1	1
238	нам и	1	1
239	т e	1	1
240	найти в	1	1
241	людям тайны	1	1
242	в русском	1	1
243	это слово	1	1
244	до того	2	1
245	как бог	1	1
246	мы и	2	1
247	вот в	1	1
248	к тому	3	1
249	чудо и	1	1
250	и это	2	1
251	как не	3	1
252	меня в	1	1
253	роль в	1	1
254	на нее	1	1
255	на путь	1	1
256	это только	1	1
257	является в	2	1
258	с ним	2	1
259	смысле и	1	1
260	в виду	1	1
261	а к	2	1
262	вот почему	2	1
263	превращает в	1	1
264	духа который	1	1
265	это желание	1	1
266	нет у	4	1
267	идет к	1	1
268	кто эти	2	1
269	бы в	1	1
270	отказался от	1	1
271	так говорит	1	1
272	людей с	1	1
273	один из	2	1
274	но с	1	1
275	человека в	1	1
276	тот же	3	1
277	отняв у	1	1
278	в человека	2	1
279	и так	1	1
280	бог не	1	1
281	же они	1	1
282	но нет	1	1
283	они бросают	1	1
284	не для	1	1
285	да это	1	1
286	не хотел	2	1
287	и вместе	1	1
288	по смыслу	1	1
289	не надо	1	1
290	что тот	1	1
291	их от	3	1
292	близок к	1	1
293	с небом	1	1
294	а с	2	1
295	что не	4	1
296	прежде всего	2	1
297	не было	3	1
298	в образах	1	1
299	которые не	2	1
300	мы скажем	1	1
301	на которых	1	1
302	ничем не	1	1
303	не верит	3	1
304	власти и	1	1
305	человеческой жизни	1	1
306	с которым	1	1
307	его по	1	1
308	для человека	2	1
309	для чего	1	1
310	какая же	1	1
311	борются в	1	1
312	над ним	1	1
313	к жизни	1	1
314	тем кто	2	1
