N	2gram	Losev_Vesc_1	VerxiiNi
1	и в	21	26
2	таким образом	8	22
3	с тем	5	18
4	в этом	4	15
5	вместе с	1	15
6	точки зрения	5	13
7	как бы	12	12
8	в том	8	11
9	из этих	1	10
10	не только	36	10
11	и с	8	10
12	может быть	16	10
13	так как	7	9
14	но и	18	9
15	магической силы	1	9
16	что в	9	9
17	но не	5	8
18	в общем	1	8
19	главным образом	1	8
20	и у	3	8
21	с другой	6	8
22	и не	29	8
23	но в	5	7
24	из них	4	7
25	том что	8	7
26	потому что	16	7
27	к нему	1	7
28	с одной	3	7
29	то что	27	7
30	а с	3	7
31	одной стороны	3	7
32	того же	5	6
33	представление о	1	6
34	все же	4	6
35	все эти	3	6
36	в себе	14	6
37	всяком случае	2	6
38	с точки	3	6
39	в отношении	4	6
40	к тому	3	6
41	так и	3	6
42	о том	6	6
43	в конце	2	6
44	что и	3	6
45	несмотря на	1	6
46	и потому	5	6
47	все это	5	6
48	мы должны	2	6
49	во всяком	3	6
50	отношение к	1	5
51	сих пор	1	5
52	и к	1	5
53	тому же	1	5
54	в силу	3	5
55	или менее	1	5
56	по крайней	4	5
57	того чтобы	3	5
58	никогда не	2	5
59	с другом	1	5
60	для того	2	5
61	в его	2	5
62	крайней мере	4	5
63	до сих	1	5
64	а не	19	5
65	друг с	1	5
66	и для	9	5
67	так же	1	5
68	более или	1	5
69	в котором	3	4
70	то же	6	4
71	в течение	1	4
72	в самом	9	4
73	в этой	3	4
74	и по	1	4
75	что все	2	4
76	с другими	8	4
77	должен был	1	4
78	далеко не	1	4
79	и тогда	1	4
80	в то	3	4
81	в нем	2	4
82	а в	4	4
83	что оно	8	4
84	и что	15	4
85	и только	3	4
86	только в	14	4
87	к своим	1	4
88	на этот	1	4
89	ничем не	3	4
90	не может	17	4
91	из которых	1	4
92	в смысле	12	4
93	и от	3	4
94	в этих	1	4
95	что он	1	4
96	в виде	1	4
97	же как	1	3
98	на западе	1	3
99	из всех	1	3
100	не вполне	2	3
101	большей частью	1	3
102	если в	1	3
103	в своем	6	3
104	и нет	1	3
105	когда он	1	3
106	и как	8	3
107	в которой	1	3
108	что это	13	3
109	так или	4	3
110	и если	2	3
111	при этом	1	3
112	подойти к	1	3
113	тем не	3	3
114	если бы	5	3
115	то с	3	3
116	не менее	3	3
117	с материей	1	3
118	и о	3	3
119	уже с	1	3
120	культуры и	1	3
121	ясно что	8	3
122	можно сказать	6	3
123	того что	8	3
124	но с	2	3
125	хотя бы	6	3
126	в качестве	1	3
127	так что	5	3
128	из которого	1	3
129	уже не	9	3
130	что эти	1	3
131	для него	4	3
132	в одном	2	3
133	случае не	1	3
134	и даже	6	3
135	или иначе	4	3
136	с ней	2	3
137	а так	2	3
138	с этой	4	3
139	в результате	3	3
140	у них	1	3
141	конце концов	2	3
142	и другие	1	3
143	к этому	1	3
144	говорили о	1	2
145	связана с	1	2
146	и это	14	2
147	когда человек	1	2
148	и больше	9	2
149	имя его	1	2
150	через эти	1	2
151	мы имеем	7	2
152	ни у	1	2
153	так чтобы	2	2
154	и заставляет	2	2
155	еще не	8	2
156	бы то	4	2
157	с его	1	2
158	во всех	2	2
159	силы и	1	2
160	относится к	5	2
161	что именно	1	2
162	стихии и	1	2
163	и наконец	1	2
164	с тех	1	2
165	на то	4	2
166	не могла	1	2
167	из этой	1	2
168	перестает быть	3	2
169	с именем	4	2
170	не к	1	2
