N	2gram	Propp_Russ_2	Komedia
1	и в	29	22
2	и не	1	21
3	т е	24	16
4	в дом	8	14
5	том что	22	13
6	таким образом	6	12
7	в том	22	12
8	так как	13	11
9	потому что	5	10
10	в самом	1	9
11	вместе с	6	9
12	в этом	11	8
13	его в	8	8
14	в своем	1	8
15	к ней	2	8
16	о том	9	8
17	если бы	1	8
18	в его	1	8
19	что и	2	8
20	что он	1	8
21	то же	4	7
22	при этом	6	7
23	об этом	2	7
24	в конце	1	7
25	о чем	4	7
26	только что	1	7
27	а в	9	7
28	в свою	1	7
29	еще не	6	6
30	так что	4	6
31	тому же	1	6
32	iii в	1	6
33	в то	2	6
34	и его	1	6
35	того чтобы	6	6
36	свою очередь	1	6
37	и что	5	6
38	для того	6	6
39	может быть	13	6
40	как раз	1	6
41	во время	12	6
42	к этому	5	6
43	что его	1	5
44	отношение к	1	5
45	но в	5	5
46	не только	10	5
47	а по	1	5
48	в своей	2	5
49	в которых	4	5
50	то это	1	5
51	не менее	2	5
52	iv в	1	5
53	связи с	2	5
54	к себе	1	5
55	хотя и	1	5
56	с ним	1	5
57	к нему	4	5
58	что в	22	5
59	из них	4	5
60	тем что	3	5
61	прежде всего	2	5
62	как это	4	5
63	все это	10	5
64	и т	5	4
65	на себя	2	4
66	в ней	1	4
67	он был	1	4
68	с другой	2	4
69	нет и	1	4
70	отнюдь не	1	4
71	все же	2	4
72	когда он	1	4
73	то что	5	4
74	что к	1	4
75	что она	3	4
76	но все	1	4
77	совпадают с	1	4
78	и с	10	4
79	должен был	3	4
80	с тем	6	4
81	несмотря на	1	4
82	не в	4	4
83	однако в	1	4
84	на него	1	4
85	и здесь	1	4
86	друг друга	3	4
87	так и	1	4
88	здесь нет	1	4
89	между собой	2	4
90	и поэтому	1	4
91	из дому	1	4
92	сразу же	2	4
93	само собой	1	4
94	но и	8	4
95	этой комедии	1	4
96	до конца	3	4
97	а не	4	4
98	не является	1	4
99	и для	2	4
100	тем более	1	4
101	так же	4	4
102	который в	1	3
103	говорить о	1	3
104	из того	1	3
105	на них	4	3
106	в ее	3	3
107	с этим	2	3
108	и этим	1	3
109	в которой	2	3
110	представляет собой	2	3
111	в этой	3	3
112	как он	1	3
113	на то	1	3
114	не могла	1	3
115	в нем	1	3
116	приводит к	1	3
117	от нее	1	3
