N	3gram	Medvedev_F_2	TeoriaLi
1	в отличие от	2	7
2	в том что	2	6
3	то же время	5	6
4	в то же	5	6
5	в данном случае	1	5
6	того или иного	4	5
7	более или менее	1	4
8	с другой стороны	3	3
9	тем не менее	1	3
10	в свою очередь	1	3
11	в этом смысле	2	3
12	что в основе	1	2
13	с точки зрения	7	2
14	но он не	1	2
15	в противном случае	1	2
16	с одной стороны	1	2
17	так или иначе	1	2
18	то что они	1	2
19	и тем самым	1	2
20	сама по себе	1	2
21	не может быть	10	2
22	как и в	1	2
23	в нем определенные	1	1
24	и глубже чем	1	1
25	здесь и теперь	4	1
26	имеем в виду	1	1
27	в настоящее время	1	1
28	в этом случае	1	1
29	в одной из	1	1
30	не было и	2	1
31	и соответствующих форм	1	1
32	в таком случае	1	1
33	и в то	3	1
34	можно говорить о	1	1
35	что он не	1	1
36	не входит в	2	1
37	бы то ни	1	1
38	только то что	1	1
39	из того что	1	1
40	с самим собою	1	1
41	во всей его	1	1
42	одной из своих	1	1
43	по крайней мере	1	1
44	то или иное	1	1
45	именно в этом	1	1
46	в том случае	2	1
47	том случае если	1	1
48	может быть и	3	1
49	до известной степени	3	1
50	в значительной степени	3	1
51	события в этом	1	1
52	не совпадает с	1	1
53	в художественном произведении	1	1
54	это столь же	1	1
55	к вопросу о	1	1
56	вещи но и	1	1
57	с тем же	1	1
58	не могут быть	4	1
59	и в этой	2	1
60	в связи с	10	1
61	тем самым по	1	1
62	вследствие того что	1	1
63	высказывания как целого	1	1
64	она могла бы	1	1
65	это и есть	1	1
66	в истории литературы	2	1
67	между тем в	1	1
68	и прежде всего	2	1
69	но в то	1	1
70	мы имеем в	1	1
71	мере в какой	1	1
72	иметь место в	1	1
73	в большинстве случаев	3	1
74	той мере в	1	1
75	в той мере	1	1
76	для того чтобы	3	1
77	на фоне этой	1	1
78	по себе а	2	1
