N	3gram	Vinokur_Ku_1	Otkroven
1	для того чтобы	15	3
2	это было бы	1	2
3	в дневнике писателя	1	2
4	не может быть	3	2
5	с тем что	1	2
6	смысле этого слова	1	1
7	как например в	1	1
8	бы в самой	1	1
9	и мысли в	1	1
10	в строгом смысле	1	1
11	в виду не	1	1
12	не в том	4	1
13	а вовсе не	1	1
14	это потому что	1	1
15	я имею в	1	1
16	одно из самых	1	1
17	в самом деле	7	1
18	том-то и дело	1	1
19	в совершенно ином	1	1
20	и больше всего	1	1
21	о том как	3	1
22	так и не	1	1
23	находится в противоречии	1	1
24	и все же	1	1
25	имею в виду	1	1
26	во всяком случае	5	1
27	том случае если	1	1
28	в иных случаях	2	1
29	не в силах	1	1
30	само по себе	1	1
31	после того как	1	1
32	о том что	5	1
33	в этом отношении	5	1
34	как это часто	1	1
35	и в самом	2	1
36	в том что	15	1
37	и дело что	1	1
38	на то что	2	1
39	и не в	1	1
40	свои силы в	1	1
41	в том случае	1	1
42	что не все	1	1
43	в том-то и	1	1
44	в каждом из	2	1
45	в братьях карамазовых	1	1
46	бы и не	1	1
47	вместо того чтобы	1	1
48	от того что	1	1
49	в противоречии с	1	1
50	и в его	1	1
