N	3gram	Tiupa_Disk_1	Tragedij
1	то же время	4	5
2	в то же	3	5
3	так и в	1	3
4	в отличие от	4	2
5	в данном случае	2	2
6	и как бы	3	2
7	о том что	5	2
8	но все же	1	2
9	в том что	13	2
10	в этом случае	1	1
11	и от литературы	1	1
12	не только по	1	1
13	в литературе это	1	1
14	в известной степени	1	1
15	не только о	1	1
16	том что он	1	1
17	и не может	1	1
18	хотя бы и	1	1
19	сам по себе	1	1
20	что он не	1	1
21	в евангелии от	1	1
22	можно так выразиться	1	1
23	одну из своих	1	1
24	во всяком случае	1	1
25	в этом состоит	1	1
26	но при этом	3	1
27	тем не менее	1	1
28	необходимо отметить что	1	1
29	по природе своей	5	1
30	в xix веке	1	1
31	если можно так	1	1
32	в связи с	1	1
33	не может быть	3	1
34	как и все	1	1
35	это и есть	1	1
36	с самого начала	1	1
37	несмотря на все	1	1
38	как в первом	1	1
39	ее к себе	1	1
40	быть отнесены к	1	1
41	может быть в	1	1
42	как и в	1	1
