N	3gram	Voloshinov_1	Analitik
1	о том что	2	6
2	в том что	1	6
3	и в этом	1	4
4	в этом случае	3	4
5	в этом отношении	2	3
6	по крайней мере	1	3
7	содержит в себе	1	3
8	того или иного	5	3
9	той или иной	3	3
10	тем не менее	1	3
11	как и в	1	3
12	с точки зрения	5	2
13	в то же	9	2
14	можно было бы	1	2
15	в значительной степени	2	2
16	не только в	3	2
17	с другой стороны	1	2
18	то же время	7	2
19	и тем самым	3	2
20	в конечном счете	1	2
21	не только не	1	2
22	тех или иных	3	2
23	особое место в	1	1
24	что иное как	2	1
25	уже содержит в	1	1
26	можно сказать что	2	1
27	наиболее существенные и	1	1
28	в тех случаях	2	1
29	а затем и	1	1
30	более или менее	1	1
31	как мы это	1	1
32	произведения но в	1	1
33	как раз и	1	1
34	в конце фразы	3	1
35	и во всех	1	1
36	речи то есть	2	1
37	хотя бы и	1	1
38	как это ни	1	1
39	но и в	3	1
40	на этот вопрос	1	1
41	и тем что	1	1
42	здесь в сознании	1	1
43	в литературном произведении	1	1
44	не только его	1	1
45	но и его	1	1
46	и т.п и	2	1
47	дело не с	1	1
48	и тем же	1	1
49	и т.д в	1	1
50	из них в	1	1
51	тому или иному	1	1
52	тот же самый	1	1
53	не в самом	1	1
54	и то же	3	1
55	в нашем случае	1	1
56	в этой ситуации	1	1
57	в свою очередь	4	1
58	одни и те	1	1
59	в связи с	2	1
60	одно и то	3	1
61	прежде всего в	3	1
62	но если бы	1	1
63	уже не к	1	1
64	есть не что	2	1
65	не может быть	2	1
66	отнюдь не является	1	1
67	не только на	1	1
68	не что иное	2	1
69	в самом деле	1	1
70	и те же	1	1
71	тех случаях когда	2	1
72	при этом она	1	1
73	к тому что	2	1
74	то же самое	4	1
75	на наш взгляд	1	1
