N	4gram	Tiupa_Anal_1	KulturaY
1	в большей или меньшей	1	3
2	в то же время	6	3
3	большей или меньшей степени	1	3
4	в том случае если	1	2
5	с этой точки зрения	1	2
6	не говоря уже о	1	2
7	в той мере в	2	1
8	только в том что	1	1
9	широком смысле этого слова	1	1
10	в широком смысле этого	1	1
11	в том или ином	2	1
12	не что иное как	4	1
13	в виду не только	1	1
14	не сам по себе	1	1
15	бы то ни было	3	1
16	одной и той же	1	1
17	состоит в том что	3	1
18	сами по себе они	1	1
19	не в том чтобы	3	1
20	какой бы то ни	2	1
21	до тех пор пока	1	1
22	той мере в какой	2	1
23	не только в том	1	1
24	который не может быть	1	1
25	лишь в том случае	1	1
26	есть не что иное	3	1
