N	2gram	Voloshinov_1	Sotsiolo
1	все это	4	7
2	в том	3	5
3	в этом	9	5
4	и только	9	3
5	для нас	2	3
6	не только	7	3
7	и в	16	3
8	но ведь	2	3
9	в его	4	3
10	за пределы	2	2
11	но и	4	2
12	и мы	2	2
13	было бы	2	2
14	в смысле	1	2
15	она может	1	2
16	только в	4	2
17	том что	3	2
18	в частности	2	2
19	то что	3	2
20	главным образом	1	2
21	и что	1	2
22	еще не	5	2
23	только как	3	2
24	ведь это	1	2
25	таким образом	9	2
26	это и	1	2
27	в конце	1	2
28	что в	3	2
29	может быть	17	2
30	как бы	5	2
31	то же	2	2
32	крайней мере	3	1
33	в свои	1	1
34	я и	6	1
35	право на	1	1
36	опираясь на	1	1
37	быть не	1	1
38	наконец в	1	1
39	в мире	1	1
40	не должна	1	1
41	в этой	4	1
42	отнюдь не	4	1
43	эти два	1	1
44	даже не	3	1
45	на все	1	1
46	с другой	1	1
47	ни одно	1	1
48	его в	4	1
49	дает нам	1	1
50	только для	5	1
51	с ним	2	1
52	науки о	1	1
53	на этот	1	1
54	в чем	5	1
55	и история	1	1
56	построение не	1	1
57	все же	1	1
58	один из	2	1
59	и есть	3	1
60	психологии и	1	1
61	и наконец	4	1
62	только то	2	1
63	случае только	1	1
64	а с	1	1
65	и как	3	1
66	что эти	1	1
67	расти и	1	1
68	что он	2	1
69	прежде всего	9	1
70	бы он	1	1
71	в них	2	1
72	так и	4	1
73	одной стороны	1	1
74	те же	3	1
75	и не	4	1
76	полагает что	1	1
77	никогда не	2	1
78	различает два	1	1
79	зависит от	1	1
80	основной вопрос	1	1
81	есть метод	1	1
82	не место	1	1
83	мы не	2	1
84	ничего не	1	1
85	между собою	2	1
86	мы еще	1	1
87	и о	2	1
88	все эти	5	1
89	это же	1	1
90	же законы	1	1
91	как и	2	1
92	между собой	2	1
93	с помощью	2	1
94	для этого	2	1
95	мы должны	1	1
96	первый план	1	1
97	их на	1	1
98	в сущности	1	1
99	конечно не	6	1
100	в связи	1	1
101	на первый	2	1
102	и его	8	1
103	в этих	3	1
104	связи с	1	1
105	хотя бы	4	1
106	не может	8	1
107	в своей	2	1
108	а в	3	1
109	как совокупность	1	1
110	что она	1	1
111	о том	2	1
112	по самому	1	1
113	не дает	1	1
114	именно и	1	1
115	в области	3	1
116	к изучению	1	1
117	и потому	3	1
118	в него	5	1
119	но именно	1	1
120	между ними	3	1
121	и благодаря	1	1
122	из тех	2	1
123	все то	2	1
124	перенес в	1	1
125	столь же	1	1
126	всяком случае	3	1
127	где же	1	1
128	в область	2	1
129	наука о	1	1
130	в конечном	3	1
131	что это	2	1
132	вовсе не	1	1
133	же самое	1	1
134	с одной	1	1
135	но не	1	1
136	у него	2	1
137	правда он	1	1
138	в систему	2	1
139	в данном	1	1
140	но как	2	1
141	и по	2	1
142	только когда	1	1
143	и им	1	1
144	что на	2	1
145	конечном счете	2	1
146	по крайней	3	1
147	во всяком	3	1
148	перейти к	1	1
149	они не	2	1
