N	2gram	Savitsky_P_1	Formalny
1	и в	14	38
2	в этом	10	27
3	т е	3	26
4	может быть	5	23
5	и пр	5	21
6	и не	12	20
7	в самом	1	16
8	не в	5	15
9	прежде всего	3	15
10	и т	3	14
11	не может	4	14
12	в нем	3	13
13	но и	6	13
14	в пределах	8	12
15	с его	1	11
16	с тем	3	11
17	в том	9	11
18	в его	2	10
19	не только	17	9
20	и с	2	9
21	как и	1	9
22	отнюдь не	2	8
23	все же	1	8
24	точки зрения	3	8
25	что и	1	8
26	по себе	4	7
27	с точки	3	7
28	в других	1	7
29	что в	4	7
30	и ее	1	6
31	в ней	6	6
32	в истории	1	6
33	в этой	1	6
34	то же	9	6
35	было бы	6	6
36	могут быть	3	6
37	только в	7	6
38	то что	4	6
39	не было	2	6
40	вместе с	1	6
41	а не	2	6
42	как раз	2	6
43	в результате	1	6
44	хотя бы	8	6
45	а в	4	6
46	по преимуществу	1	5
47	должна быть	1	5
48	говорить о	2	5
49	во всех	2	5
50	в общем	2	5
51	т д	1	5
52	в то	7	5
53	же время	7	5
54	если бы	4	5
55	сводится к	3	5
56	и только	1	5
57	всяком случае	1	5
58	если мы	1	5
59	именно в	2	5
60	с этим	2	5
61	еще более	2	5
62	во всяком	1	5
63	литературы и	1	4
64	что оно	1	4
65	и к	4	4
66	в статье	2	4
67	не как	1	4
68	от нее	1	4
69	не столько	2	4
70	но в	9	4
71	и теперь	1	4
72	в большинстве	1	4
73	что не	1	4
74	из них	2	4
75	не о	2	4
76	именно как	2	4
77	другой стороны	1	4
78	там где	1	4
79	на фоне	1	4
80	вот как	1	4
81	как бы	4	4
82	дело идет	1	4
83	они не	1	4
84	например в	2	3
85	же как	1	3
86	тем же	1	3
87	мы не	3	3
88	и на	1	3
89	бы она	1	3
90	если в	2	3
91	как к	1	3
92	хотя и	3	3
93	и как	3	3
94	что это	1	3
95	из этих	1	3
96	только на	1	3
97	главным образом	2	3
98	его в	1	3
99	в ином	1	3
100	для них	2	3
101	к предмету	1	3
102	место в	1	3
103	она ни	2	3
104	в области	11	3
105	не есть	1	3
106	того чтобы	1	3
107	в годы	1	3
108	особенно в	1	3
109	и здесь	1	3
110	в значительной	2	3
111	того что	2	3
112	в какой	1	3
113	именно на	1	3
114	большинстве случаев	1	3
115	мы знаем	1	3
116	каждый из	1	3
117	для того	3	3
118	с другой	5	3
119	и смысла	1	3
120	все это	2	3
121	можно говорить	1	2
122	и то	1	2
123	был и	1	2
124	было и	1	2
125	не осуществляется	1	2
126	он был	1	2
127	столь же	3	2
128	но не	3	2
129	но как	1	2
130	отличие от	1	2
131	к сожалению	1	2
132	что именно	1	2
133	в которой	1	2
134	уже в	1	2
135	основная задача	1	2
136	в рамки	1	2
137	не к	2	2
138	и более	1	2
139	и философской	1	2
140	и по	1	2
141	и иных	1	2
142	и тем	2	2
143	в развитии	1	2
144	должно быть	2	2
145	том что	4	2
146	нужно было	2	2
147	в этих	1	2
148	в отличие	1	2
149	для этого	1	2
150	она не	1	2
151	тем самым	3	2
152	что эта	1	2
153	не имеет	1	2
154	проблема и	1	2
155	находится в	1	2
156	никогда не	1	2
157	этих двух	1	2
158	как она	1	2
159	эти явления	1	2
160	и это	2	2
161	тем и	1	2
162	и о	5	2
163	в ее	2	2
164	и этим	1	2
165	было в	2	2
166	в эпоху	1	2
167	в применении	1	2
168	является в	2	2
169	между тем	3	2
170	во всей	2	2
171	это не	3	2
172	этом смысле	1	2
173	с ними	3	2
174	потому что	3	2
175	в качестве	9	2
176	и других	2	2
177	в котором	4	2
178	сами по	3	2
179	от тех	1	2
180	не просто	1	2
181	со стороны	2	2
182	и многие	1	2
183	ни на	1	2
184	применении к	1	2
185	к другим	1	2
186	должна была	1	2
187	и другие	1	2
188	именно здесь	1	2
189	которых не	1	1
190	как известно	1	1
