N	2gram	Berdyaev_M_2	VrazhdaK
1	в бесах	6	10
2	не только	18	9
3	достоевского с	1	9
4	в этом	20	8
5	и в	46	8
6	достоевский в	3	8
7	и что	2	8
8	достоевский и	1	8
9	достоевского в	2	7
10	достоевского и	2	7
11	но и	15	7
12	и все	5	7
13	то что	5	7
14	что в	4	7
15	но в	10	6
16	в нем	22	6
17	как и	13	6
18	в котором	1	6
19	и с	3	6
20	– это	2	6
21	то же	5	5
22	об этом	1	5
23	между тем	2	5
24	в письме	1	5
25	у него	22	5
26	не было	11	5
27	в россии	3	5
28	и не	18	5
29	х годов	1	4
30	в ней	11	4
31	что он	7	4
32	целый ряд	1	4
33	что достоевский	1	4
34	это не	5	4
35	в дневнике	2	4
36	все это	1	4
37	ставрогина в	1	4
38	письме к	1	4
39	с ним	3	4
40	о том	3	4
41	у достоевского	34	4
42	уже в	2	4
43	может быть	21	4
44	достоевского не	3	4
45	подпольного человека	1	4
46	он считал	1	4
47	как бы	8	4
48	в своих	3	4
49	так же	6	4
50	из подполья	2	3
51	который был	2	3
52	я не	5	3
53	он был	9	3
54	в чем	3	3
55	с его	4	3
56	в своем	8	3
57	и как	1	3
58	раз в	1	3
59	на то	1	3
60	его в	3	3
61	петр верховенский	4	3
62	он не	10	3
63	и уже	1	3
64	том что	4	3
65	но он	11	3
66	что есть	2	3
67	сам достоевский	3	3
68	в русской	6	3
69	достоевский не	5	3
70	и его	5	3
71	связи с	2	3
72	человека в	14	3
73	достоевского к	5	3
74	что у	4	3
75	достоевского о	3	3
76	и во	3	3
77	в его	5	3
78	в том	3	3
79	и у	1	3
80	в конце	5	3
81	тем что	3	3
82	ставрогина он	1	3
83	т е	4	3
84	ставрогина и	1	3
85	к этому	1	3
86	отношения к	2	2
87	же как	3	2
88	и то	1	2
89	сознания своей	1	2
90	петра верховенского	1	2
91	достоевского –	4	2
92	и он	11	2
93	он сам	6	2
94	и достоевский	8	2
95	в той	1	2
96	его на	4	2
97	за границей	1	2
98	в этой	7	2
99	в себе	10	2
100	после этого	1	2
101	их в	1	2
102	в мире	7	2
103	достоевского он	1	2
104	в них	3	2
105	а с	1	2
106	не мог	3	2
107	точки зрения	2	2
108	в своей	5	2
109	и ее	1	2
110	с точки	1	2
111	место в	2	2
112	людей уже	1	2
113	никогда не	18	2
114	в момент	1	2
115	к себе	2	2
116	его с	2	2
117	и это	5	2
118	же не	1	2
119	а также	1	2
120	бесов в	1	2
121	об их	1	2
122	и наказания	1	2
123	уже не	4	2
124	его и	1	2
125	могли быть	1	2
126	для него	18	2
127	отношение к	8	2
128	его личность	1	2
129	с которым	3	2
130	о чем	1	2
131	не может	15	2
132	вместе с	2	2
133	достоевский был	9	2
134	но это	8	2
135	о достоевском	1	2
136	а в	2	2
137	в свою	4	2
138	это в	1	2
139	которых не	1	1
140	а между	1	1
141	от этой	2	1
142	достоевского если	1	1
143	также и	4	1
144	обращается в	1	1
145	человека и	7	1
146	и борьбы	1	1
147	того же	1	1
148	это и	3	1
149	что иван	1	1
150	людей достоевского	1	1
151	и есть	8	1
152	пиру жизни	1	1
153	а от	2	1
154	не хочет	1	1
155	был врагом	1	1
156	по преимуществу	5	1
157	человека достоевский	1	1
158	над которым	1	1
159	смерти отца	1	1
160	той же	3	1
161	преступления и	1	1
162	еще до	1	1
163	говорить о	1	1
164	бесах как	1	1
165	это отношение	1	1
166	и наказание	1	1
167	достоевского был	1	1
168	одном из	1	1
169	а еще	1	1
170	на них	1	1
171	в преступлении	1	1
172	по своему	1	1
173	за него	1	1
174	а следовательно	1	1
175	совсем не	5	1
176	был также	1	1
177	не все	1	1
178	если в	1	1
179	есть по	2	1
180	не хотел	2	1
181	преступление и	2	1
182	я только	1	1
183	что они	3	1
184	тридцать лет	1	1
185	и чувств	1	1
186	независимо от	1	1
187	как в	7	1
188	с этим	1	1
189	будущее россии	1	1
190	как к	2	1
191	в мысли	2	1
192	знаю что	1	1
193	то в	2	1
194	поэтому он	2	1
195	в самом	5	1
196	достоевского хотя	1	1
197	что это	6	1
198	в целом	1	1
199	момент его	2	1
200	не был	2	1
201	что же	2	1
202	пускает и	1	1
203	во многих	1	1
204	достоевского а	2	1
205	как он	3	1
206	в записках	1	1
207	стал на	1	1
208	да и	2	1
209	высшей степени	3	1
210	чем у	4	1
211	ведь не	1	1
212	этот процесс	2	1
213	достоевскому он	1	1
214	самому достоевскому	1	1
215	любовь это	1	1
216	в плане	1	1
217	с социализмом	1	1
218	что ни	1	1
219	людей и	3	1
220	достоевский изобличает	2	1
221	– явление	1	1
222	совпадают с	1	1
223	не будет	3	1
224	этом он	2	1
225	их и	1	1
226	обратился к	1	1
227	в глубине	3	1
228	самим собой	1	1
229	на пиру	1	1
230	было бы	1	1
231	в жизни	4	1
232	из первых	1	1
233	в грудь	2	1
234	в высшей	3	1
235	человек который	4	1
236	это сама	1	1
237	этого не	1	1
238	а за	2	1
239	всю жизнь	3	1
240	его отношения	1	1
241	не всегда	2	1
242	которой он	1	1
243	в развитии	1	1
244	достоевский говорит	1	1
245	он сказал	1	1
246	но я	1	1
247	которую он	1	1
248	в этих	2	1
249	достоевский обратился	1	1
250	можно найти	1	1
251	человеком и	1	1
252	он принимает	1	1
253	его отношение	4	1
254	своего рода	1	1
255	но достоевский	3	1
256	есть еще	2	1
257	не могли	1	1
258	них много	1	1
259	но они	1	1
260	человека но	1	1
261	человечества и	1	1
262	в какую-то	1	1
263	не имеет	4	1
264	правда в	2	1
265	русский народ	5	1
266	было не	2	1
267	как о	1	1
268	истории –	1	1
269	следовательно и	1	1
270	ничего не	2	1
271	того как	3	1
272	мыслей и	1	1
273	он хочет	3	1
274	по своей	3	1
275	ему и	1	1
276	потому что	12	1
277	хочет быть	1	1
278	до того	1	1
279	этом отношении	1	1
280	не знали	1	1
281	и верил	1	1
282	легенда о	1	1
283	в духе	5	1
284	и дал	1	1
285	большую высоту	1	1
286	сама жизнь	1	1
287	отличается от	1	1
288	по характеру	1	1
289	не есть	13	1
290	достоевский много	1	1
291	это будет	1	1
292	в ее	1	1
