N	3gram	Nazirov_Tv_2	Myshleni
1	по отношению к	3	12
2	в том что	2	11
3	так же как	2	7
4	в известном смысле	1	7
5	с самого начала	1	5
6	в другом месте	1	4
7	на этот вопрос	2	4
8	в то время	1	4
9	о том что	2	4
10	не то что	1	3
11	до сих пор	3	3
12	можно было бы	1	3
13	в свою очередь	1	3
14	не может быть	3	3
15	том что в	1	2
16	потому что в	1	2
17	в самом деле	2	2
18	о том как	1	2
19	на всем протяжении	1	2
20	и не может	2	2
21	по самой своей	2	2
22	в отличие от	2	2
23	в этот период	1	2
24	именно в этом	2	2
25	в высшей степени	1	2
26	но при этом	1	2
27	а с другой	1	2
28	ответ на этот	1	2
29	с другой стороны	2	2
30	ничего общего с	1	2
31	именно потому что	1	2
32	мы говорим о	1	2
33	того факта что	1	2
34	и в другом	1	2
35	он обнаруживает в	1	1
36	ничего не говорит	1	1
37	если можно так	1	1
38	и по способу	1	1
39	мы узнаем что	1	1
40	потому и является	1	1
41	в том числе	1	1
42	в том же	2	1
43	же как и	1	1
44	так как никто	1	1
45	сказывается в том	1	1
46	нее никогда не	1	1
47	является одним из	1	1
48	в первую очередь	1	1
49	в известной мере	2	1
50	том числе и	1	1
51	нас до сих	1	1
52	первую очередь по	1	1
53	у нас до	1	1
54	что они имеют	1	1
55	в применении к	1	1
56	в которой он	1	1
57	и что в	1	1
58	по мере своего	1	1
59	в этой связи	1	1
60	по нашему мнению	4	1
61	и потому что	1	1
62	не могут быть	1	1
63	не только для	1	1
64	нам представляется что	1	1
65	в связи с	1	1
66	мы уже говорили	1	1
67	во всяком случае	2	1
68	так и в	2	1
69	никогда не должны	1	1
70	и это не	1	1
71	что он был	1	1
72	тем что они	1	1
73	мы не можем	1	1
74	том смысле что	1	1
75	а тем самым	1	1
76	не только потому	1	1
77	того или иного	1	1
78	и никогда не	1	1
79	он еще не	2	1
80	мы знаем что	1	1
81	это сказывается в	1	1
82	можно так выразиться	1	1
83	в то же	7	1
84	а во второй	1	1
85	в том смысле	1	1
86	той или иной	1	1
87	влечет за собой	2	1
88	и в процессе	1	1
