N	3gram	Medvedev_F_1	OGranits
1	с точки зрения	13	5
2	не может быть	5	4
3	до тех пор	1	4
4	по отношению к	4	3
5	вполне понятно что	1	3
6	и наконец в	2	2
7	в зависимости от	2	2
8	в данном случае	1	2
9	с одной стороны	4	2
10	с другой стороны	1	2
11	того или иного	2	2
12	ничего общего с	1	2
13	с самого начала	1	2
14	зависимости от этого	1	2
15	в том что	1	2
16	перевести его на	1	1
17	литературного произведения как	1	1
18	в изобразительных искусствах	1	1
19	в произведении как	1	1
20	во всей полноте	1	1
21	в чем же	1	1
22	этой точки зрения	1	1
23	а вовсе не	2	1
24	и его аудиторией	1	1
25	более или менее	6	1
26	лишь в процессе	1	1
27	формальный метод в	3	1
28	на самом деле	6	1
29	должно было бы	1	1
30	художественного произведения и	2	1
31	и не может	2	1
32	из одного материала	1	1
33	можно говорить о	1	1
34	в отличие от	1	1
35	нет и не	2	1
36	между тем как	1	1
37	которой только и	1	1
38	в этом отношении	1	1
39	нужно сказать что	1	1
40	элементов входящих в	1	1
41	представителей формального метода	1	1
42	может быть и	3	1
43	даны только в	1	1
44	конструкции поэтического произведения	1	1
45	с этой точки	1	1
46	история литературы в	1	1
47	в своей статье	3	1
48	в последнее время	1	1
49	только и может	2	1
50	мы полагаем что	2	1
51	борьба с позитивизмом	1	1
52	в которой только	1	1
53	так же как	1	1
54	одного материала в	1	1
55	состоит в том	1	1
56	а также и	1	1
57	на основе такого	1	1
58	тем не менее	1	1
59	в нашу задачу	1	1
60	и как бы	1	1
61	и в их	2	1
62	с позитивизмом и	2	1
63	в связи с	2	1
64	а не как	1	1
65	в эстетике и	1	1
66	прежде всего в	3	1
67	это и не	1	1
68	его на язык	1	1
69	таким образом входит	1	1
70	это конечно не	1	1
71	таким образом лишь	1	1
72	все то что	1	1
73	теории поэтического языка	1	1
74	во всем своем	1	1
75	reductio ad absurdum	1	1
76	в связи со	2	1
77	в данную эпоху	1	1
78	то же время	8	1
79	с этим же	1	1
80	мы не можем	2	1
81	та или иная	1	1
82	хотя бы в	1	1
83	в каждом элементе	1	1
84	и историей литературы	1	1
85	не только на	1	1
86	идеологический состав содержания	1	1
87	но в то	2	1
88	выходит за пределы	1	1
89	связи со всей	1	1
90	время в ней	1	1
91	существует как бы	1	1
92	и превращения его	1	1
93	в то же	8	1
94	превращения его в	1	1
95	к тому что	1	1
96	становления идеологического кругозора	1	1
97	тех или иных	1	1
98	в предисловии к	1	1
99	тому что он	1	1
100	в последнем счете	1	1
101	основ формалистической поэтики	1	1
102	материала в другой	1	1
103	роковую роль в	1	1
