N	2gram	Tiupa_Disk_2	Stilisti
1	и в	16	42
2	не только	10	27
3	как бы	4	27
4	и т.п	12	24
5	прежде всего	7	22
6	и т.д	1	20
7	внутренней речи	3	18
8	то же	6	15
9	но и	11	15
10	и не	15	14
11	не может	9	12
12	может быть	16	12
13	как и	16	11
14	точки зрения	4	11
15	отнюдь не	6	10
16	в этом	16	10
17	и как	3	10
18	ситуации и	2	10
19	мы не	1	9
20	при этом	17	9
21	в то	5	9
22	то что	5	9
23	в ней	2	8
24	все же	6	8
25	в себе	19	8
26	таким образом	1	8
27	тем самым	6	8
28	и это	2	8
29	что же	2	8
30	речевого общения	1	8
31	и на	5	7
32	в которой	1	7
33	никогда не	2	7
34	же время	5	7
35	потому что	4	7
36	ничего не	1	7
37	с его	6	7
38	слов и	1	7
39	только в	3	7
40	и его	3	7
41	а не	14	7
42	и от	1	7
43	во всех	1	6
44	в этой	4	6
45	в нем	7	6
46	не в	3	6
47	в процессе	1	6
48	в области	2	6
49	так и	9	6
50	в форме	1	6
51	и так	1	6
52	или иной	3	6
53	речи и	1	6
54	говорящего и	1	6
55	той же	2	5
56	в нашем	1	5
57	в той	2	5
58	и наконец	3	5
59	одно и	2	5
60	и с	2	5
61	того или	1	5
62	с точки	2	5
63	и той	1	5
64	а в	2	5
65	не является	4	5
66	в его	3	5
67	и следовательно	1	5
68	и их	1	5
69	точек зрения	1	5
70	вместе с	2	5
71	как это	1	5
72	слова и	1	5
73	своей жизни	1	5
74	или иного	2	5
75	и то	4	4
76	самом деле	1	4
77	общения в	1	4
78	себя в	6	4
79	но в	11	4
80	в самом	1	4
81	так сказать	1	4
82	уже не	3	4
83	его в	3	4
84	самого начала	1	4
85	на него	1	4
86	но все	1	4
87	всего в	1	4
88	к тому	1	4
89	той или	3	4
90	языка и	1	4
91	с самого	1	4
92	было в	3	4
93	о том	4	4
94	можно сказать	3	4
95	того что	1	4
96	один из	1	4
97	в качестве	16	4
98	точка зрения	1	4
99	общения и	2	4
100	были бы	1	4
101	не просто	1	4
102	а с	5	4
103	то есть	12	4
104	к своему	2	4
105	все это	2	4
106	не знаем	1	4
107	человека не	1	4
108	которое может	1	3
109	и само	1	3
110	жизни это	1	3
111	еще не	6	3
112	ответ на	1	3
113	перед нами	3	3
114	хотя и	1	3
115	вследствие этого	2	3
116	не к	2	3
117	их в	2	3
118	заключает в	2	3
119	об этом	1	3
120	лишь в	1	3
121	это не	3	3
122	том что	10	3
123	бы мы	1	3
124	необходимо чтобы	1	3
125	в разных	1	3
126	да и	1	3
127	слова но	1	3
128	и развития	1	3
129	но при	2	3
130	в ее	1	3
131	роль в	4	3
132	во второй	1	3
133	мы в	1	3
134	и здесь	1	3
135	должно было	1	3
136	жизни и	3	3
137	только на	1	3
138	из них	3	3
139	в котором	3	3
140	в одном	4	3
141	содержание и	1	3
142	что и	2	3
143	и даже	1	3
144	этом случае	2	3
145	в целом	2	3
146	высказывания и	1	3
147	и слово	1	3
148	но для	1	3
149	и для	2	3
150	и все	3	3
151	о своем	1	3
152	между ними	1	3
153	не знает	3	3
154	сказать что	1	3
155	я и	4	2
156	также и	3	2
157	нас не	1	2
158	его не	1	2
159	мы имеем	2	2
160	вопрос о	1	2
161	высказывания в	1	2
162	но даже	1	2
163	не нужно	2	2
164	и определяется	1	2
165	но не	7	2
166	отношение к	2	2
167	первый взгляд	2	2
168	как в	8	2
169	которая и	1	2
170	как уже	2	2
171	может получить	1	2
172	к чему	1	2
173	ни один	1	2
174	представляет собой	11	2
175	т.п но	1	2
176	все эти	3	2
177	бы не	1	2
178	человек не	1	2
179	к миру	1	2
180	художественного высказывания	1	2
181	и сам	1	2
182	по своему	1	2
183	одной и	1	2
184	человек с	1	2
185	на бранном	1	2
186	человека в	4	2
187	значительной степени	1	2
188	есть не	1	2
189	в жизни	1	2
190	в этих	3	2
191	в своей	6	2
192	место в	2	2
193	в которых	1	2
194	в мире	11	2
195	не должно	1	2
196	своего героя	1	2
197	в основе	4	2
198	о них	1	2
199	каждый из	1	2
200	этом отношении	4	2
201	и несколько	1	2
202	перед ним	1	2
203	от их	1	2
204	все то	1	2
205	не есть	1	2
206	здесь не	2	2
207	в пределах	4	2
208	как с	1	2
209	из двух	3	2
210	времени и	2	2
211	не с	2	2
212	в глубинах	1	2
213	с ним	1	2
214	по своей	6	2
215	в значительной	1	2
216	и вследствие	1	2
217	в языке	2	2
218	иными словами	1	2
219	в том	8	2
220	одной из	1	2
221	что он	2	2
222	в какой	1	2
223	как нечто	1	2
224	выбора и	1	2
225	человека с	1	2
226	для всех	1	2
227	слова не	2	2
228	первобытного человека	1	2
229	для него	5	2
230	тем что	1	2
231	еще и	1	2
232	бытия в	1	2
233	не было	3	2
234	до конца	1	2
235	деятельности человека	1	2
236	на возможность	1	2
237	должна была	1	2
238	равно как	1	2
239	в предыдущей	1	2
240	в разговоре	1	2
241	из которых	1	2
242	должно быть	2	2
243	но это	3	2
244	при всем	1	2
245	а к	2	2
246	на первый	2	2
247	но об	1	2
248	и ни	1	2
249	ни к	5	2
250	действительной жизни	1	2
251	несмотря на	1	2
252	с ней	2	2
253	не говоря	1	2
254	в частности	12	2
255	к этому	4	2
256	в голову	1	2
257	в своих	6	2
258	можно говорить	1	1
259	одним из	1	1
260	же как	2	1
261	чтобы не	1	1
262	художественного произведения	1	1
263	переход от	1	1
264	рассказов и	1	1
265	перед лицом	2	1
266	чего не	3	1
267	и до	1	1
268	не имеют	1	1
269	и развитие	1	1
270	том какое	1	1
271	анекдот не	1	1
272	например в	3	1
273	для своего	1	1
274	оно означает	1	1
275	ивана петровича	2	1
276	этом не	1	1
277	в сущности	1	1
278	это всегда	1	1
279	совпадает с	2	1
280	говорить о	2	1
281	принадлежит к	3	1
282	я не	1	1
283	жизни как	2	1
284	они были	1	1
285	ему в	1	1
286	того же	2	1
287	не одно	1	1
288	из ее	1	1
289	же мере	1	1
290	не был	1	1
291	качестве примера	2	1
292	в чем	1	1
293	роман и	1	1
294	там и	1	1
295	привели к	1	1
296	и реплики	1	1
297	б с	1	1
298	не то	1	1
299	к которой	2	1
300	в сторону	1	1
301	если в	1	1
302	конечном счете	1	1
303	в новом	1	1
304	уже как	2	1
305	друга и	1	1
306	определенного речевого	1	1
307	связи и	1	1
308	в собственном	1	1
309	там где	1	1
310	в истории	1	1
311	более чем	2	1
312	речи именно	1	1
313	в одной	1	1
314	и выражения	1	1
315	как единица	1	1
316	в своем	5	1
317	также при	1	1
318	однако не	1	1
319	высказывания это	1	1
320	это отнюдь	1	1
321	и есть	1	1
322	когда он	1	1
323	бы стать	1	1
324	себе не	1	1
325	этой структуре	1	1
326	то в	1	1
327	со своей	1	1
328	с той	2	1
329	жеста и	1	1
330	из этих	3	1
331	будет сказано	1	1
332	и отношения	1	1
333	с их	2	1
334	внутренним и	1	1
335	данного речевого	1	1
336	действие и	2	1
337	тем не	1	1
338	время и	1	1
339	он не	3	1
340	о которой	1	1
341	одному из	1	1
342	он должен	1	1
343	пределах одного	1	1
344	к одному	1	1
345	не как	1	1
346	в силу	1	1
347	нашего времени	1	1
348	что может	1	1
349	на этом	1	1
350	мысль об	1	1
351	в другом	3	1
352	жанр который	1	1
353	себе столь	1	1
354	ситуации при	1	1
355	не совпадает	1	1
356	превратилось в	1	1
357	знаком с	1	1
358	но уже	2	1
359	с этой	1	1
360	характер и	1	1
361	движения и	1	1
362	и вне	1	1
363	движется в	1	1
364	и того	3	1
365	одного и	3	1
366	сама в	1	1
367	о муках	1	1
368	установка на	1	1
369	на иной	1	1
370	на каждом	1	1
371	жизни с	1	1
372	между внутренним	1	1
373	поэтому в	1	1
374	страха и	1	1
375	обращение к	2	1
376	по крайней	1	1
377	речи в	2	1
378	этой самой	1	1
379	том же	1	1
380	что этот	1	1
381	даже в	1	1
382	в одно	1	1
383	содержит в	2	1
384	с миром	1	1
385	не менее	7	1
386	но они	1	1
387	в таких	1	1
388	она не	1	1
389	с теми	1	1
390	в русской	3	1
391	того как	1	1
392	одна из	1	1
393	каждый день	1	1
394	благодаря тому	1	1
395	мы все	1	1
396	чтобы стать	1	1
397	та или	1	1
398	и всегда	1	1
399	нашли свое	1	1
400	в общих	1	1
401	культуры когда	1	1
402	словесного выражения	1	1
403	из имеющихся	1	1
404	свидетельствуют о	1	1
405	высказыванием и	1	1
406	и оценки	1	1
407	жизненных ситуаций	1	1
408	является ни	1	1
409	интонации и	2	1
410	выпадает из	1	1
411	не могут	1	1
412	и другой	1	1
413	иной интонации	1	1
414	было уже	1	1
415	утверждать что	1	1
416	речь не	1	1
417	должен быть	1	1
418	большей части	2	1
419	приходит к	1	1
420	говоря уже	1	1
421	это еще	2	1
422	мысль о	3	1
423	человеческого сознания	1	1
424	всей своей	3	1
425	человека для	1	1
426	здесь как	1	1
427	в себя	2	1
428	еще в	3	1
429	жанра в	1	1
430	для этого	1	1
431	с человеком	1	1
432	мы живем	1	1
433	слова а	1	1
434	иного языка	1	1
435	другом месте	1	1
436	столь же	3	1
437	и внутреннее	1	1
438	никак не	1	1
439	переживания по	1	1
440	и что	1	1
441	может не	1	1
442	и во	1	1
443	в конечном	1	1
444	всего на	1	1
445	воздействия на	1	1
446	или иная	1	1
447	в переживании	2	1
448	грань между	1	1
449	между тем	2	1
450	решающую роль	1	1
451	складывается из	1	1
452	крайней мере	1	1
453	из нескольких	1	1
454	происходит только	1	1
455	и жестикуляции	1	1
456	организации но	1	1
457	с каждым	1	1
458	или анекдот	1	1
459	даже если	1	1
460	самого говорящего	1	1
