N	2gram	Medvedev_V_1	Psycholo
1	то что	6	32
2	и в	26	31
3	в том	15	30
4	и т	23	26
5	то есть	1	26
6	что в	10	23
7	может быть	22	22
8	таким образом	31	20
9	при помощи	3	20
10	художественного произведения	6	17
11	не может	17	17
12	как и	7	16
13	том что	8	16
14	т п	9	16
15	и не	19	16
16	точки зрения	3	15
17	искусства и	1	15
18	только в	7	14
19	не только	25	13
20	что и	3	13
21	а не	7	13
22	так же	3	12
23	в этом	26	12
24	в самом	4	11
25	не в	6	11
26	что искусство	1	11
27	в области	2	11
28	могут быть	5	11
29	на то	1	10
30	того что	3	10
31	художественное произведение	5	10
32	потому что	1	10
33	самом деле	1	9
34	по себе	2	9
35	искусство как	2	9
36	ни в	1	9
37	как в	1	9
38	общественного человека	1	8
39	т д	14	8
40	и что	1	8
41	никогда не	4	8
42	что мы	2	8
43	вместе с	7	8
44	все это	10	8
45	во всяком	1	8
46	только тогда	1	7
47	том чтобы	2	7
48	заключается в	2	7
49	на основании	8	7
50	сказать что	5	7
51	того чтобы	3	7
52	и его	6	7
53	о том	10	7
54	есть в	1	7
55	тому как	2	7
56	что он	4	7
57	зависимости от	5	6
58	очевидно что	7	6
59	отнюдь не	3	6
60	целый ряд	1	6
61	из этих	7	6
62	что она	2	6
63	для того	3	6
64	было бы	7	6
65	если бы	3	6
66	в его	14	6
67	вслед за	2	6
68	всяком случае	1	6
69	вовсе не	3	6
70	и даже	2	6
71	совершенно точно	1	6
72	одной стороны	2	6
73	а в	3	6
74	художественного творчества	18	6
75	и есть	5	5
76	в зависимости	6	5
77	то же	10	5
78	время как	1	5
79	в ее	4	5
80	с одной	2	5
81	в целом	4	5
82	подобно тому	2	5
83	показывает что	1	5
84	несмотря на	1	5
85	искусства не	2	5
86	она не	3	5
87	в то	6	5
88	тогда когда	2	5
89	в процессе	16	5
90	как будто	1	5
91	не является	5	5
92	утверждать что	4	5
93	то время	1	5
94	для нас	1	5
95	с другой	11	5
96	мы видим	1	5
97	в какой	1	5
98	совершенно не	1	5
99	эта теория	2	5
100	как бы	5	5
101	этой точки	2	5
102	все же	5	5
103	и для	2	5
104	формы и	2	5
105	и все	1	5
106	говорит что	1	5
107	другой стороны	8	5
108	же как	2	4
109	в котором	3	4
110	мы имеем	3	4
111	в которой	2	4
112	в виду	4	4
113	у него	6	4
114	формы в	1	4
115	в себе	6	4
116	и если	1	4
117	по существу	3	4
118	тому что	6	4
119	одна из	4	4
120	у нас	2	4
121	очень часто	1	4
122	к тому	4	4
123	никак не	1	4
124	прежде всего	13	4
125	между тем	5	4
126	один из	5	4
127	и у	2	4
128	могло бы	2	4
129	и так	1	4
130	как это	12	4
131	с этой	1	4
132	в результате	5	4
133	чтобы понять	1	4
134	в этих	1	4
135	в искусстве	6	4
136	и другие	1	4
