N	2gram	Tiupa_Narr_2	NovoeSre
1	а не	17	17
2	и в	13	16
3	не может	8	16
4	нового времени	2	12
5	и не	14	11
6	истории и	1	9
7	что в	4	9
8	в том	14	8
9	жизни и	4	8
10	он не	5	8
11	в этом	13	7
12	может быть	10	7
13	не будет	2	7
14	как и	4	7
15	с его	3	6
16	не в	8	6
17	ни в	1	6
18	никогда не	6	6
19	но это	2	6
20	не знает	1	6
21	с ее	1	5
22	в ней	2	5
23	истории в	4	5
24	и к	6	5
25	не только	26	5
26	в жизни	6	5
27	xix века	1	5
28	все это	1	5
29	в нем	5	5
30	быть может	2	4
31	о том	5	4
32	то что	8	4
33	это не	3	4
34	прежде всего	6	4
35	должно быть	1	4
36	и потому	1	4
37	по своему	2	4
38	не менее	4	4
39	и для	3	4
40	не имеет	2	4
41	и все	4	4
42	потому что	2	4
43	с другой	5	3
44	начало нового	1	3
45	в ее	4	3
46	должна быть	2	3
47	вопрос о	1	3
48	еще не	2	3
49	во всех	1	3
50	за пределы	1	3
51	наряду с	1	3
52	как в	5	3
53	возвращение к	1	3
54	подобно тому	2	3
55	в мире	4	3
56	но и	15	3
57	это было	1	3
58	не означает	1	3
59	в своей	4	3
60	к жизни	1	3
61	в новое	1	3
62	тому как	2	3
63	в прошлом	1	3
64	история в	1	3
65	она не	1	3
66	не существует	1	3
67	жизни не	1	3
68	в основе	1	3
69	к ее	1	3
70	жизни в	6	3
71	истории не	1	3
72	к тому	9	3
73	сказать что	3	3
74	же как	2	2
75	более не	1	2
76	это и	1	2
77	время как	1	2
78	роль в	2	2
79	ведь и	1	2
80	можно было	2	2
81	так и	9	2
82	времени и	4	2
83	мы не	2	2
84	мира и	3	2
85	и с	1	2
86	мира а	1	2
87	но она	1	2
88	к вечности	1	2
89	я не	5	2
90	и что	2	2
91	быть в	1	2
92	времени в	1	2
93	истории а	2	2
94	на протяжении	5	2
95	но не	3	2
96	в новом	1	2
97	все время	1	2
98	в центре	2	2
99	хотя и	5	2
100	каждого человека	1	2
101	но в	6	2
102	все эти	3	2
103	с одной	5	2
104	себя в	2	2
105	с их	1	2
106	есть в	1	2
107	в себе	8	2
108	уже не	4	2
109	вернуться к	1	2
110	не могла	1	2
111	не будут	1	2
112	не к	4	2
113	нашего времени	1	2
114	у него	6	2
115	что она	2	2
116	что все	1	2
117	и даже	3	2
118	и т.п	6	2
119	этом смысле	1	2
120	бытия в	2	2
121	личность в	1	2
122	зависит от	2	2
123	том что	13	2
124	вместе с	1	2
125	так же	2	2
126	я уже	2	2
127	место в	5	2
128	мысли и	1	2
129	одной стороны	5	2
130	такого рода	12	2
131	мир и	1	2
132	не могли	1	2
133	как будто	1	2
134	войны и	4	2
135	как это	4	2
136	но для	2	2
137	в то	5	2
138	одна из	3	2
139	того чтобы	3	2
140	и от	1	2
141	хотя бы	2	2
142	а в	9	2
143	в будущем	2	2
144	ли это	1	2
145	в категориях	2	2
146	можно назвать	2	2
147	легче чем	1	1
148	не имел	1	1
149	для себя	3	1
150	он может	2	1
151	характер и	3	1
152	перед лицом	1	1
153	по преимуществу	1	1
154	приводит к	1	1
155	природе своей	1	1
156	миру а	1	1
157	с собой	1	1
158	на нее	1	1
159	не с	1	1
160	по природе	1	1
161	во многом	1	1
162	несоизмеримо более	1	1
163	еще в	1	1
164	христианской культуры	1	1
165	мир не	1	1
166	строю мыслей	1	1
167	к новой	1	1
168	героя но	1	1
169	приобщается к	1	1
170	с ним	4	1
171	можно сказать	6	1
172	это всегда	1	1
173	говорить о	2	1
174	о самом	1	1
175	на себя	1	1
176	и другая	1	1
177	мы всегда	1	1
178	в виду	1	1
179	зависимости от	1	1
180	жизни это	1	1
181	это время	1	1
182	более высокой	1	1
183	в xix	1	1
184	и возврат	1	1
185	теперь и	1	1
186	в чем	2	1
187	и мира	4	1
188	не могу	2	1
189	это была	1	1
190	и во	1	1
191	не могут	1	1
192	своего рода	9	1
193	к нему	1	1
194	нем не	1	1
195	только изнутри	1	1
196	в его	6	1
197	себе и	2	1
198	отличие от	5	1
199	не хотел	1	1
200	лишь к	1	1
201	и она	1	1
202	вся жизнь	2	1
203	к которому	2	1
204	в своем	6	1
205	и нет	1	1
206	известном смысле	3	1
207	в формах	1	1
208	время когда	1	1
209	что он	5	1
210	особое место	3	1
211	только в	11	1
212	по своей	3	1
213	так на	1	1
214	в самом	2	1
215	то время	1	1
216	из этих	2	1
217	приобретает характер	1	1
218	в известном	3	1
219	этой системе	1	1
220	и у	4	1
221	в большинстве	1	1
222	свидетельствует о	4	1
223	него и	1	1
224	большинстве случаев	1	1
225	день был	1	1
226	человека оказывается	1	1
227	мир в	1	1
228	для того	1	1
229	и их	1	1
230	всяком случае	1	1
231	и когда	3	1
232	жизнью и	2	1
233	в конце	4	1
234	который можно	1	1
235	не для	1	1
236	про него	1	1
237	часто не	2	1
238	не случайно	2	1
239	и рождается	1	1
240	которые могут	1	1
241	смысле как	1	1
242	людей и	1	1
243	тем что	1	1
244	к той	1	1
245	в нее	1	1
246	ее жизни	1	1
247	лишь для	1	1
248	в последние	1	1
249	истины о	1	1
250	мир который	1	1
251	жизни для	1	1
252	в будущее	1	1
253	нашей жизни	1	1
254	который и	1	1
255	было бы	2	1
256	сам себя	1	1
257	и быть	1	1
258	есть время	1	1
259	в отличие	5	1
260	что не	1	1
261	но оно	1	1
262	обратиться к	2	1
263	связано с	1	1
264	превращается в	2	1
265	они не	2	1
266	в этой	4	1
267	ничем не	1	1
268	не на	1	1
269	всю жизнь	1	1
