N	3gram	Tiupa_Narr_1	formyVre
1	то же время	3	9
2	как мы уже	1	8
3	в то же	3	6
4	и того же	1	5
5	одного и того	1	5
6	и в то	1	5
7	в связи с	2	5
8	в том числе	6	4
9	по отношению к	6	3
10	пространства и времени	1	3
11	до сих пор	1	3
12	в этом отношении	3	3
13	может быть только	1	3
14	не могло быть	1	3
15	до нас в	1	3
16	в нем не	1	3
17	не может быть	5	3
18	но все же	4	2
19	как и для	1	2
20	дело в том	1	2
21	и в особенности	1	2
22	в соответствии с	1	2
23	же как и	1	2
24	с точки зрения	2	2
25	не было и	1	2
26	в отличие от	5	2
27	на другой день	2	2
28	том числе и	4	2
29	и др в	1	2
30	но по существу	1	2
31	человеческой жизни в	1	2
32	так же как	2	2
33	не только в	2	2
34	с одной стороны	7	2
35	может быть и	1	2
36	все то что	1	2
37	а также и	1	2
38	жизни то есть	1	2
39	существенную роль в	1	2
40	и прежде всего	1	2
41	той или иной	4	2
42	в том что	8	2
43	как и в	1	2
44	к тому же	4	2
45	по своей природе	1	1
46	до наших дней	1	1
47	и до наших	1	1
48	да и в	1	1
49	или хотя бы	1	1
50	в той или	2	1
51	не могло не	1	1
52	в данный момент	1	1
53	прежде всего они	1	1
54	каков бы он	1	1
55	том что в	1	1
56	ему что он	1	1
57	прежде всего в	1	1
58	в самом деле	1	1
59	в том же	1	1
60	жанров в частности	1	1
61	то есть к	1	1
62	так и его	1	1
63	по себе они	1	1
64	сами по себе	2	1
65	не входит в	1	1
66	как мы увидим	1	1
67	отнюдь не предполагает	2	1
68	быть развернуто в	1	1
69	или иной степени	1	1
70	ни в мире	3	1
71	он ни был	1	1
72	сказать что жанр	1	1
73	включает в себя	1	1
74	если бы между	1	1
75	до известной степени	1	1
76	в значительной степени	2	1
77	человек с которым	1	1
78	в данном случае	4	1
79	между ними не	1	1
80	в первый раз	1	1
81	в себя и	2	1
82	так и в	1	1
83	все без исключения	1	1
84	и как бы	1	1
85	отца к сыну	1	1
86	здесь не только	1	1
87	было и не	1	1
88	качестве одной из	1	1
89	от отца к	1	1
90	в частности само	1	1
91	в свою очередь	3	1
92	в этом ряду	2	1
93	что все то	1	1
94	на протяжении всего	1	1
95	о том что	6	1
96	то есть в	2	1
97	в различных сферах	1	1
98	никогда не бывает	1	1
99	ни с чем	1	1
100	во времени и	4	1
101	в качестве одной	1	1
102	как своего рода	1	1
103	ни единого слова	1	1
104	бы он ни	1	1
105	друг с другом	1	1
106	времени и пространстве	5	1
107	не оставляет места	1	1
108	во всех его	1	1
109	их между собой	1	1
110	здесь как и	1	1
111	и у нас	1	1
112	в себе не	1	1
113	и не могло	1	1
