1	т е	15	29
2	что он	10	24
3	и т	30	19
4	т д	21	18
5	не только	18	18
6	может быть	15	17
7	никогда не	5	15
8	мы имеем	2	15
9	и в	44	15
10	но и	10	14
11	так как	5	14
12	так же	5	13
13	что в	30	12
14	то что	18	12
15	а в	17	12
16	в этом	21	11
17	об этом	3	11
18	и не	16	11
19	в этих	2	11
20	то же	5	10
21	его в	2	10
22	что они	7	10
23	еще не	3	9
24	потому что	6	9
25	в другом	3	9
26	с тем	1	9
27	все же	8	9
28	он не	2	8
29	должны были	1	8
30	вместе с	1	7
31	том что	29	7
32	ничего не	2	7
33	не в	12	7
34	таким образом	7	7
35	в нем	5	7
36	сих пор	7	7
37	что это	4	6
38	видно что	3	6
39	как бы	4	6
40	но в	10	6
41	и что	4	6
42	в том	36	6
43	до сих	7	6
44	только в	10	6
45	в его	9	6
46	что и	6	6
47	так что	6	6
48	то это	3	6
49	точно так	1	6
50	в иной	1	5
51	а не	16	5
52	что она	4	5
53	к нему	2	5
54	было бы	17	5
55	что при	2	5
56	и есть	1	5
57	этом случае	2	5
58	к тому	1	5
59	к которому	4	5
60	как в	13	5
61	в одном	1	5
62	с этим	3	5
63	в котором	5	5
64	можно найти	2	5
65	можно было	13	5
66	но все	4	5
67	не может	8	5
68	же как	3	5
69	она не	2	5
70	в русской	1	5
71	на него	2	5
72	прежде всего	7	5
73	так и	9	5
74	и др	1	4
75	в одной	1	4
76	того как	1	4
77	вот несколько	2	4
78	для нас	7	4
79	но он	2	4
80	все эти	5	4
81	при этом	2	4
82	они не	1	4
83	эти случаи	1	4
84	с одной	3	4
85	в этой	11	4
86	что эти	1	4
87	вопрос о	4	4
88	и другие	1	4
89	но они	1	4
90	очень часто	3	4
91	в ней	3	4
92	его и	1	4
93	одной из	1	4
94	что здесь	2	4
95	дело не	4	4
96	показывает что	1	4
97	в себе	2	4
98	не должен	1	4
99	тем что	5	4
100	и на	1	4
101	увидим ниже	1	4
102	но это	6	4
103	о нем	1	4
104	в другой	1	4
105	и с	3	4
106	у него	2	4
107	и его	8	3
108	одной стороны	2	3
109	в других	2	3
110	все это	5	3
111	как это	4	3
112	между прочим	2	3
113	право на	1	3
114	так в	1	3
115	как будто	4	3
116	должен был	2	3
117	но если	4	3
118	же можно	1	3
119	в качестве	4	3
120	на то	4	3
121	он в	1	3
122	что этот	2	3
123	и это	2	3
124	о том	17	3
125	не видит	1	3
126	а именно	3	3
127	представлял собой	1	3
128	же и	4	3
129	и почему	4	3
130	отношению к	3	3
131	после того	1	3
132	в работе	1	3
133	говорит что	3	3
134	он был	3	3
135	всех этих	2	3
136	должно было	2	3
137	того что	9	3
138	если это	3	3
139	мог бы	1	3
140	из этих	6	3
141	хотя в	2	3
142	что мы	5	3
143	я буду	1	3
144	с одним	1	3
145	в очень	3	3
146	по отношению	3	3
147	мы не	2	3
148	как он	1	3
149	в свете	1	2
150	того чтобы	11	2
151	могут быть	5	2
152	это за	1	2
153	и их	2	2
154	является не	4	2
155	одно из	2	2
156	а с	3	2
157	в тех	3	2
158	в которой	4	2
159	и вполне	3	2
160	а также	2	2
161	д и	2	2
162	да и	3	2
163	с самого	1	2
164	в сущности	2	2
165	возможно что	3	2
166	например в	8	2
167	я не	7	2
168	перед нами	1	2
169	и так	3	2
170	когда мы	1	2
171	не столько	1	2
172	но с	3	2
173	сказал что	1	2
174	его не	1	2
175	но очень	1	2
176	превращается в	2	2
177	сказать что	7	2
178	он делает	1	2
179	уже в	2	2
180	и по	5	2
181	могла бы	1	2
182	не могла	2	2
183	итак и	1	2
184	ни в	3	2
185	их в	2	2
