N	3gram	Berdyaev_M_2	Literetu
1	в том что	2	11
2	подобно тому как	2	2
3	о том что	2	2
4	по отношению к	2	2
5	с точки зрения	1	2
6	все та же	1	2
7	друг для друга	2	2
8	в этом отношении	1	2
9	что он в	1	1
10	не мог бы	1	1
11	никогда и нигде	1	1
12	во имя свободы	1	1
13	и в этом	3	1
14	и искусства от	1	1
15	а не только	1	1
16	до сих пор	3	1
17	интеллигенции и народа	1	1
18	между тем как	1	1
19	в xix веке	1	1
20	не могли быть	1	1
21	так как будто	1	1
22	и самого себя	2	1
23	в жизни его	1	1
24	на самом деле	1	1
25	в этом есть	1	1
26	на то что	1	1
27	преступления и наказания	1	1
28	что он сам	1	1
29	не в силах	1	1
30	никогда не бывает	2	1
31	в значительной степени	1	1
32	то в чем	1	1
33	как и во	2	1
34	человеческого духа и	1	1
35	в той мере	1	1
36	нет ничего кроме	1	1
37	один из моментов	1	1
38	от слияния с	1	1
39	на эту тему	1	1
40	может быть назван	2	1
41	друг друга а	1	1
42	по ту сторону	1	1
43	том что он	1	1
44	а не в	2	1
45	так и не	1	1
46	был по преимуществу	1	1
47	в отношении к	2	1
48	которые могли бы	1	1
49	в действительности это	1	1
50	не может быть	8	1
