N	2gram	Berdyaev_N_1	Tvorches
1	и в	16	21
2	в то	2	15
3	времени в	2	13
4	в его	1	13
5	как и	7	12
6	что в	9	12
7	с его	6	11
8	том что	2	11
9	все это	5	10
10	как в	3	8
11	он не	8	8
12	то что	4	8
13	и на	2	7
14	но в	2	7
15	не только	5	7
16	во многом	1	7
17	у него	2	7
18	и не	11	7
19	в том	8	7
20	в свою	1	7
21	в этом	7	6
22	человека в	1	6
23	в котором	1	6
24	не менее	4	6
25	и его	1	6
26	по природе	1	6
27	о том	4	6
28	и все	4	6
29	что он	1	6
30	xix века	5	6
31	а в	2	6
32	жизни в	3	6
33	в этой	1	5
34	потому что	4	5
35	как будто	2	5
36	только в	1	5
37	может быть	7	5
38	а не	17	5
39	но это	6	5
40	это уже	1	5
41	хотя бы	2	5
42	человека и	3	4
43	не имеют	2	4
44	из всех	1	4
45	в своем	1	4
46	это не	4	4
47	в своей	3	4
48	мысли и	2	4
49	своего рода	1	4
50	не случайно	1	4
51	в мире	3	4
52	времени и	2	4
53	прежде всего	4	4
54	не может	16	4
55	и от	2	4
56	о свободе	1	3
57	это и	2	3
58	я не	2	3
59	не был	1	3
60	хотя и	2	3
61	в самом	1	3
62	в нем	5	3
63	в россии	3	3
64	времени он	1	3
65	что все	2	3
66	и с	2	3
67	на протяжении	2	3
68	место в	2	3
69	не по	1	3
70	никогда не	6	3
71	вот почему	2	3
72	стремится к	3	3
73	с ее	5	3
74	с ним	1	3
75	который в	2	3
76	во времени	1	3
77	уже не	2	3
78	уже в	1	3
79	так как	1	3
80	человек как	1	3
81	в которой	1	3
82	и даже	2	3
83	с другой	3	3
84	но и	3	3
85	но не	2	3
86	не существует	3	3
87	но если	1	3
88	жизни и	8	3
89	так же	2	3
90	того же	1	2
91	по преимуществу	1	2
92	но она	2	2
93	и красота	1	2
94	в ней	5	2
95	в отличие	1	2
96	людей в	1	2
97	во имя	15	2
98	в чем	1	2
99	отличие от	1	2
100	говорит что	1	2
101	к достижению	1	2
102	в себе	2	2
103	прогресса и	1	2
104	что она	2	2
105	не будет	7	2
106	этом он	1	2
107	а по	1	2
108	свою противоположность	1	2
109	бога и	3	2
110	такой же	2	2
111	и того	1	2
112	в этих	1	2
113	не во	4	2
114	не столько	1	2
115	жизни с	1	2
116	в философском	1	2
117	не в	6	2
118	но он	1	2
119	одна из	2	2
120	в основе	3	2
121	от жизни	1	2
122	свободы и	2	2
123	к ней	1	2
124	людей и	1	2
125	свидетельствует о	1	2
126	века с	1	2
127	в духе	3	2
128	нет ни	1	2
129	могут быть	2	2
130	к тому	3	2
131	отказаться от	1	2
132	в жизни	5	2
133	более не	2	2
134	это время	1	2
135	в виду	1	2
136	не могу	1	2
137	в средневековой	1	2
138	приводит к	1	2
139	и когда	1	2
140	так и	2	2
141	еще в	1	2
142	жить только	1	2
143	быть может	4	2
144	стремление к	2	2
145	можно сказать	1	2
146	что его	1	2
147	других людей	1	2
148	переходит в	1	2
149	и мир	1	2
150	значит что	4	2
151	наше время	4	2
152	же и	1	2
153	и у	1	2
154	от других	1	2
155	из них	1	2
156	не означает	3	2
157	свободу от	1	2
158	что не	1	2
159	зависит от	2	2
160	все более	1	2
161	вместе с	2	2
162	до этого	1	2
163	времени а	1	2
164	к жизни	3	2
165	эти слова	1	2
166	в мир	1	2
167	в наше	3	2
168	на смену	1	2
169	не знает	6	2
170	сказать что	3	2
171	от этой	1	1
172	же как	2	1
173	и через	1	1
174	связана с	2	1
175	должно стать	2	1
176	переход от	1	1
177	к небытию	1	1
178	и есть	10	1
179	этого мира	1	1
180	и до	1	1
181	был и	1	1
182	и этот	1	1
183	мы уже	1	1
184	свободу как	1	1
185	был понят	1	1
186	в сущности	1	1
187	время как	2	1
188	говорить о	1	1
189	то это	1	1
190	разобраться в	1	1
191	не способен	1	1
192	жизни это	1	1
193	из ее	2	1
194	с большим	1	1
195	в xix	1	1
196	вопрос об	1	1
197	еще не	3	1
198	они считают	2	1
199	во всех	3	1
200	создает себе	1	1
201	совсем не	12	1
202	наряду с	3	1
203	не терпит	1	1
204	в истории	3	1
205	противоположные полюсы	1	1
206	государства и	4	1
207	с этим	2	1
208	на человека	1	1
209	положения он	1	1
210	к этой	1	1
211	и к	5	1
212	отнесены к	1	1
213	в этот	1	1
214	добро и	1	1
215	эпохи и	4	1
216	к чему	1	1
217	погоня за	2	1
218	он в	1	1
219	все эти	2	1
220	бога в	1	1
221	качеств в	1	1
222	в известном	1	1
223	человеке и	1	1
224	особое место	1	1
225	самоутверждения и	2	1
226	человек не	1	1
227	зла в	1	1
228	будущего все	1	1
229	в статье	1	1
230	своем развитии	1	1
231	его борьбу	1	1
232	шекспира и	1	1
233	перестает быть	4	1
234	не значит	3	1
235	от формы	1	1
236	к одному	1	1
237	не к	2	1
238	кризис и	1	1
239	время тоже	1	1
240	заключает в	1	1
241	в нее	1	1
242	в основу	1	1
243	не сознавать	1	1
244	человек а	1	1
245	значение в	1	1
246	своему духовному	1	1
247	это было	3	1
248	цивилизации и	1	1
249	который и	1	1
250	было бы	1	1
251	роль в	2	1
252	все другие	1	1
253	лишь на	1	1
254	весь мир	1	1
255	ни в	6	1
256	для них	1	1
257	люди не	2	1
258	в них	4	1
259	времени чем	1	1
260	с тем	3	1
261	всю жизнь	1	1
262	он и	1	1
263	русского народа	1	1
264	духовной жизни	2	1
265	и было	2	1
266	одного и	1	1
267	менее чем	1	1
268	что такое	3	1
269	центр тяжести	2	1
270	они совсем	1	1
271	войне и	1	1
272	времени не	1	1
273	оба они	1	1
274	и более	1	1
275	что этот	1	1
276	если нет	2	1
277	по себе	1	1
278	в атмосфере	1	1
279	дня и	3	1
280	в смысле	2	1
281	не имеет	4	1
282	и имеет	1	1
283	и зло	1	1
284	все свои	1	1
285	ним она	1	1
286	жизни не	3	1
287	что сами	1	1
288	на себя	1	1
289	приближаемся к	2	1
290	в русском	2	1
291	показал что	1	1
292	в области	1	1
293	ли это	2	1
294	у нас	1	1
295	к себе	1	1
296	не могут	1	1
297	выход из	1	1
298	но все	1	1
299	есть признак	1	1
300	сама жизнь	2	1
301	в недрах	1	1
302	бы он	1	1
303	не есть	3	1
304	оно не	1	1
305	он создает	1	1
306	она не	3	1
307	их стремление	1	1
308	и личности	1	1
309	и это	2	1
310	вкус к	2	1
311	в конце	1	1
312	в ее	3	1
313	другой стороны	2	1
314	вверх ногами	1	1
315	так на	1	1
316	культуры и	7	1
317	волю к	3	1
318	в образе	1	1
319	ли это?	1	1
320	века как	1	1
321	и религии	1	1
322	в эпоху	9	1
323	которая в	1	1
324	нас и	1	1
325	в глубине	1	1
326	движения и	1	1
327	и должно	2	1
328	это я	1	1
329	и что	2	1
330	он стремился	1	1
331	знает что	1	1
332	вопросу о	1	1
333	сторон жизни	1	1
334	но внутри	1	1
335	в которую	1	1
336	к нему	1	1
337	общества в	1	1
338	нуждается в	1	1
339	современного человечества	1	1
340	движения в	1	1
341	все время	2	1
342	известном смысле	1	1
343	каждого человека	2	1
344	за моря	1	1
345	их не	1	1
346	человека во	2	1
347	с одной	2	1
348	вот что	1	1
349	в эти	1	1
350	себя в	2	1
351	для всех	1	1
352	к идее	1	1
353	этого быть	1	1
354	а это	1	1
355	к своим	1	1
356	себя все	1	1
357	сами по	1	1
358	совершается кризис	1	1
359	к ним	3	1
360	тем что	1	1
361	и богато	1	1
362	не было	4	1
363	и из	1	1
364	до сих	1	1
365	к которому	1	1
366	очень любят	1	1
367	для этого	2	1
368	было и	1	1
369	себя и	1	1
370	говорят об	1	1
371	борьбой с	1	1
372	и их	1	1
373	превращается в	1	1
374	свободы от	2	1
375	одной стороны	2	1
376	а на	1	1
377	не верит	1	1
378	не на	1	1
379	есть лишь	4	1
380	жизнь в	1	1
381	может сам	1	1
382	когда она	1	1
383	всемирной истории	2	1
384	была своя	1	1
385	в миру	1	1
386	как это	2	1
387	свои права	2	1
388	по своему	4	1
389	но сам	1	1
390	есть только	1	1
391	исторической эпохи	3	1
392	становится все	1	1
393	личность человека	1	1
394	это есть	7	1
395	во все	1	1
396	сферы в	1	1
397	xix век	2	1
398	социализма в	1	1
399	это значит	1	1
400	свободы в	2	1
401	сих пор	1	1
402	только для	1	1
403	и внешними	1	1
404	и общественной	5	1
405	к вопросу	1	1
406	в более	1	1
407	лежал в	1	1
408	в мировой	2	1
409	всего они	1	1
410	времени его	1	1
411	настоящего и	1	1
412	во время	1	1
413	понята как	1	1
414	мы должны	1	1
415	все они	2	1
416	мы переходим	1	1
417	человека не	1	1
418	давно уже	1	1
419	быть понята	1	1
420	этой теме	1	1
421	всего мира	1	1
422	связанный с	1	1
423	от всех	1	1
424	русские люди	1	1
425	равно как	2	1
426	природе и	2	1
427	жизни а	1	1
428	него и	1	1
429	их место	1	1
430	как результат	1	1
