1	и т	20	39
2	потому что	7	25
3	и в	25	23
4	т е	16	22
5	не только	13	20
6	в том	6	19
7	в этом	10	18
8	и не	11	16
9	было бы	1	15
10	может быть	17	15
11	так как	11	15
12	точки зрения	2	14
13	т д	18	14
14	если бы	2	12
15	все эти	8	12
16	в самом	1	12
17	того чтобы	3	11
18	том что	8	11
19	но в	1	11
20	а не	2	10
21	что в	8	10
22	в русском	1	10
23	по себе	2	10
24	вовсе не	2	9
25	то что	7	9
26	не может	6	9
27	вопрос о	2	9
28	самом деле	2	9
29	для того	3	9
30	хотя бы	1	9
31	с точки	1	8
32	уже не	11	8
33	в качестве	7	8
34	и что	8	8
35	с другой	9	8
36	не в	6	8
37	прежде всего	6	8
38	и пр	3	8
39	то обстоятельство	1	7
40	обстоятельство что	1	7
41	что это	5	7
42	в силу	1	7
43	но и	13	7
44	и с	3	7
45	не менее	4	7
46	другой стороны	8	7
47	все же	10	7
48	то же	4	6
49	вопроса о	1	6
50	в этой	3	6
51	ту же	2	6
52	но не	5	6
53	тем не	4	6
54	что не	1	6
55	и на	8	6
56	что мы	2	6
57	слова в	1	6
58	это не	6	6
59	несмотря на	2	5
60	должна быть	1	5
61	само по	1	5
62	зависимости от	1	5
63	целый ряд	1	5
64	и здесь	7	5
65	приводит к	1	5
66	я не	1	5
67	как это	1	5
68	все это	4	5
69	вместе с	22	5
70	во всяком	1	5
71	мы имеем	14	5
72	также и	1	5
73	что он	22	5
74	об этом	2	5
75	тот же	1	5
76	по существу	2	5
77	один из	2	5
78	и тем	4	5
79	что все	4	5
80	еще не	8	5
81	всяком случае	1	5
82	ясно что	5	5
83	в его	12	5
84	таким образом	9	5
85	должен быть	2	5
86	и вот	1	5
87	только в	7	5
88	подобного рода	1	5
89	там где	6	5
90	могут быть	6	4
91	в нашей	1	4
92	для нас	5	4
93	перед нами	2	4
94	ничего не	2	4
95	к этому	2	4
96	сказать что	2	4
97	и о	1	4
98	в нем	7	4
99	в конце	1	4
100	не имеет	1	4
101	что на	1	4
102	или в	6	4
103	в зависимости	1	4
104	отнюдь не	1	4
105	со стороны	2	4
106	вряд ли	1	4
107	мы знаем	8	4
108	на то	2	4
109	в связи	4	4
110	как бы	2	4
111	но все	5	4
112	к тому	1	4
113	в данном	3	4
114	так же	5	4
115	на этой	4	4
116	в каком	1	4
117	в особенности	3	4
118	не было	1	4
119	в то	3	4
120	в пределах	4	4
121	можно сказать	2	4
122	что оно	1	3
123	сводится к	1	3
124	что когда	1	3
125	же в	2	3
126	что она	1	3
127	и его	9	3
128	знаем что	6	3
129	никак не	1	3
130	здесь не	1	3
131	же время	1	3
132	того же	2	3
133	так в	2	3
134	на это	1	3
135	уже в	2	3
136	и по	2	3
137	он не	4	3
138	совершенно не	2	3
139	и это	4	3
140	с этим	5	3
141	в соответствии	1	3
142	как мы	5	3
143	в ней	5	3
144	тем что	10	3
145	что такое	1	3
146	в таких	3	3
147	языка в	1	3
148	в форме	3	3
149	к этой	1	3
150	а в	3	3
151	на этом	3	3
152	что и	6	3
153	а также	1	3
154	связи с	8	3
155	о которых	2	3
156	в виду	1	3
157	не знает	1	3
158	главным образом	1	3
159	как в	6	3
160	всех этих	1	3
161	но это	7	3
162	что можно	1	3
163	этого не	1	3
164	того что	2	3
165	еще одно	1	3
166	но для	2	3
167	то и	1	3
168	следует что	1	3
169	в процессе	1	3
170	для этого	1	3
171	знает что	1	3
172	точно так	1	3
173	смысл и	1	3
174	у него	2	3
175	из которых	2	3
176	от этого	4	2
177	связанные с	2	2
178	указывает что	1	2
179	некоторой степени	1	2
180	свою очередь	1	2
181	одно время	1	2
182	все они	1	2
183	и сейчас	1	2
184	бы привести	1	2
185	в своих	1	2
186	как будто	1	2
187	быть не	1	2
188	дает нам	1	2
189	того как	4	2
190	в наше	2	2
191	и прочие	1	2
192	в целях	3	2
193	к нему	3	2
194	язык и	2	2
195	е на	2	2
196	но так	2	2
197	стоит в	1	2
198	в свою	3	2
199	одного из	1	2
200	при этом	1	2
201	утверждать что	1	2
202	и более	1	2
203	иметь в	1	2
204	а это	1	2
205	в частности	7	2
206	и есть	1	2
207	мало того	1	2
208	не как	4	2
209	что касается	1	2
210	и для	2	2
211	а если	2	2
212	и потому	2	2
213	превращается в	7	2
214	как можно	2	2
215	только как	1	2
216	не хватает	1	2
217	и если	1	2
218	пишет он	1	2
219	отличие от	1	2
220	но оно	3	2
221	с одной	7	2
222	не то	1	2
223	и все	3	2
224	его к	3	2
225	уже из	1	2
226	мы должны	4	2
227	должны быть	1	2
228	этом случае	7	2
229	не говорит	1	2
230	конечно не	1	2
231	никогда не	3	2
232	на том	3	2
233	и у	1	2
234	очень часто	1	2
235	только для	1	2
236	но есть	2	2
237	что за	2	2
238	или о	1	2
239	тем самым	1	2
240	где не	1	2
241	это положение	1	2
242	или же	3	2
243	а на	2	2
244	за собой	1	2
245	ли это	1	2
246	интересно что	1	2
247	тех же	2	2
248	только о	1	2
249	очевидно что	2	2
250	в память	1	2
251	здесь мы	5	2
252	соответствии с	1	2
253	таких случаях	2	2
254	на ту	1	2
255	состоит в	1	2
256	образом в	2	2
257	но уже	3	2
258	это только	1	2
259	данном случае	2	2
260	он уже	1	2
261	оно не	1	2
262	что у	4	2
263	как и	7	2
264	их не	1	2
265	той же	1	2
266	почти всегда	1	2
267	что эта	1	2
268	в своей	2	2
269	дело не	1	2
270	таким же	2	2
271	еще и	1	2
272	а именно	4	2
273	для поднятия	1	2
274	роль в	2	2
275	сюда же	3	2
276	в их	1	2
277	как у	2	2
278	же и	1	2
279	этой точки	1	2
280	и даже	1	2
281	ни на	1	2
282	до некоторой	1	2
283	же как	4	2
284	думаю что	1	2
285	она не	2	2
286	после того	3	2
287	также что	3	2
288	на самом	1	2
289	в отличие	1	2
290	строится на	2	2
291	тем же	1	2
292	с этой	2	2
293	в современном	1	2
294	не всегда	4	2
295	и вообще	3	2
296	что для	1	2
297	ответ на	1	2
298	себе не	1	2
299	в свое	2	2
300	мы в	1	2
301	и от	1	2
302	и еще	1	2
303	нам здесь	1	2
304	в которых	3	2
305	в своем	1	2
306	что они	1	2
307	мы видели	7	2
308	в современной	1	2
309	но даже	1	2
310	с тем	8	2
311	же относится	1	1
312	связанных с	1	1
313	для него	1	1
314	и др	3	1
315	понимает что	1	1
316	есть не	1	1
317	здесь очевидно	1	1
318	в свете	3	1
319	они создают	1	1
320	только тогда	2	1
321	то мы	1	1
322	отношение к	1	1
323	только чтобы	1	1
324	мы можем	2	1
325	за это	1	1
326	с которым	2	1
327	составные части	1	1
328	в книге	3	1
329	наблюдается у	1	1
330	у которых	2	1
331	превратилась в	1	1
332	в стиле	1	1
333	него здесь	1	1
334	эта имеет	1	1
335	которых они	1	1
336	знать что	1	1
337	не видно	1	1
338	на те	1	1
339	в искусстве	1	1
340	повод к	1	1
341	дает себя	1	1
342	такие же	1	1
343	по земле	1	1
344	уже как	1	1
345	следующий случай	1	1
346	совершенно ясно	4	1
347	чаще всего	1	1
348	также на	1	1
349	одно из	1	1
350	здесь как	2	1
351	за которым	1	1
352	формы как	1	1
353	два раза	1	1
354	вспомним что	1	1
355	но он	2	1
356	сюда относятся	1	1
357	в котором	1	1
358	в которой	4	1
359	с изменением	1	1
360	не трудно	1	1
361	как правило	1	1
362	время в	2	1
363	указывают на	2	1
364	человек в	1	1
365	д и	1	1
366	так что	2	1
367	с полным	1	1
368	свою силу	1	1
369	база в	1	1
370	место в	1	1
371	же что	1	1
372	мы имели	1	1
373	и часто	1	1
374	возможно что	1	1
375	вслед за	1	1
376	а как	2	1
377	мы получаем	1	1
378	здесь можно	2	1
379	полемизировать с	1	1
380	что так	1	1
381	и там	1	1
382	состоит не	1	1
383	смысле в	1	1
384	с большой	2	1
385	от них	2	1
386	вот пример	1	1
387	новые и	1	1
388	борьбу с	1	1
389	начнем с	1	1
390	постановка вопроса	1	1
391	далеко за	1	1
392	но с	1	1
393	нет в	1	1
394	они не	3	1
395	в сердце	1	1
396	здесь дело	1	1
397	в ее	4	1
398	известно что	1	1
399	наоборот в	2	1
400	роль что	1	1
401	связь с	8	1
402	в старых	1	1
403	фигурирует в	2	1
404	дают нам	1	1
405	идет речь	1	1
406	характерно здесь	1	1
407	повлечет за	1	1
408	становится тем	1	1
409	во многом	1	1
410	каким-то образом	1	1
411	к сожалению	1	1
412	во всем	2	1
413	одной стороны	7	1
414	как принцип	1	1
415	дело что	1	1
416	с каким	1	1
417	здесь нет	1	1
418	говорит что	1	1
419	а что	1	1
420	социальной жизни	2	1
421	едва ли	1	1
422	случае мы	1	1
423	самая постановка	1	1
424	есть однако	1	1
425	по своему	1	1
426	что там	1	1
427	их в	3	1
428	которых идет	1	1
429	как к	1	1
430	свой смысл	1	1
431	быть это	1	1
432	только что	1	1
433	том чтобы	2	1
434	или даже	1	1
435	на особые	1	1
436	оно также	1	1
437	если не	4	1
438	не знаем	3	1
439	не потому	2	1
440	связан с	2	1
441	наряду с	4	1
442	превращаются в	2	1
443	дальше и	1	1
444	и другие	1	1
445	бы в	1	1
446	можно утверждать	1	1
447	а когда	1	1
448	как только	1	1
449	что сказано	1	1
450	на первом	1	1
451	д или	2	1
452	самого начала	1	1
453	как на	1	1
454	себе представить	1	1
455	сказано выше	1	1
456	же представляет	1	1
457	в одном	1	1
458	только у	2	1
459	даже в	2	1
460	сделать следующее	2	1
461	основана на	1	1
462	такой же	2	1
463	и я	1	1
464	нет никаких	1	1
465	и он	6	1
466	что этот	2	1
467	явление в	1	1
468	то в	2	1
469	но нет	1	1
470	ведь это	1	1
471	том смысле	1	1
472	не был	1	1
473	еще можно	1	1
474	заставляет нас	1	1
475	во многих	1	1
476	о типичных	1	1
477	таких случаев	1	1
478	не знали	1	1
479	указывает на	1	1
480	говорилось выше	1	1
481	в него	5	1
482	когда он	2	1
483	без всякого	1	1
484	или его	1	1
485	его и	2	1
486	в это	2	1
487	не представляет	1	1
488	в других	2	1
489	но дело	1	1
490	мы уже	4	1
491	у них	1	1
492	время как	1	1
493	себе и	1	1
494	а все	1	1
495	большую роль	1	1
496	все его	2	1
497	можно проследить	4	1
498	по мнению	1	1
499	на известные	1	1
500	на них	2	1
501	что здесь	3	1
502	обращаясь к	1	1
503	словом в	1	1
504	где он	1	1
505	можно найти	2	1
506	книге о	1	1
507	одной из	1	1
508	я взял	1	1
509	не без	1	1
510	это время	2	1
511	имели бы	1	1
512	до сих	2	1
513	в европе	3	1
514	борьбы и	1	1
515	в виде	9	1
516	нами в	1	1
517	здесь совершенно	1	1
518	б в	2	1
519	что от	2	1
520	находится в	2	1
521	есть несколько	1	1
522	от себя	2	1
523	сказывается и	1	1
524	встречается и	2	1
525	на котором	1	1
526	в себе	1	1
527	и требует	3	1
528	виду что	1	1
529	так например	2	1
530	это те	1	1
531	согласно которому	1	1
532	может иметь	1	1
533	но эти	3	1
534	он может	2	1
535	только язык	1	1
536	представляет себе	1	1
537	сам по	1	1
