N	3gram	Potebnia_M_2	Poddanst
1	в то же	2	7
2	то же время	2	7
3	в том что	7	4
4	сами по себе	7	3
5	в сравнении с	2	3
6	с одной стороны	3	3
7	одной стороны и	1	2
8	заключает в себе	4	2
9	в том виде	1	1
10	место в ряду	2	1
11	многие из тех	1	1
12	далеко не все	1	1
13	более или менее	8	1
14	в этом смысле	2	1
15	есть прежде всего	2	1
16	есть для нас	1	1
17	и в этом	1	1
18	распадается на две	1	1
19	в наших глазах	1	1
20	и не может	1	1
21	в отличие от	1	1
22	и быть может	1	1
23	прочим потому что	1	1
24	не было бы	4	1
25	в собственном смысле	1	1
26	в законченные и	1	1
27	бы она ни	1	1
28	вместе с тем	1	1
29	можно думать что	2	1
30	что во всех	1	1
31	в применении к	1	1
32	для того кто	2	1
33	как бы она	1	1
34	по сравнению с	1	1
35	между тем в	1	1
36	не в том	2	1
37	во всяком случае	7	1
38	потому что есть	1	1
39	с другой стороны	2	1
40	не может быть	2	1
41	что то же	1	1
42	между прочим потому	1	1
43	до тех пор	1	1
44	то что происходит	1	1
45	само по себе	2	1
46	и тем самым	1	1
47	мы знаем что	1	1
48	не прийти к	1	1
49	этой последней в	1	1
50	в большинстве случаев	1	1
51	во многих случаях	1	1
52	для того чтобы	2	1
53	в нем в	1	1
54	и т д	3	1
