N	3gram	Nazirov_Tv_2	Myshleni
1	в том что	2	17
2	в отличие от	2	6
3	так же как	2	6
4	в высшей степени	1	6
5	с самого начала	1	6
6	можно было бы	1	5
7	в связи с	1	5
8	мы уже говорили	1	5
9	же как и	1	4
10	во всяком случае	2	4
11	в то время	1	4
12	о том что	2	3
13	сами по себе	1	3
14	а с другой	1	3
15	с другой стороны	2	3
16	только потому что	1	2
17	по отношению к	3	2
18	и по способу	1	2
19	и в этом	1	2
20	не стоит ни	1	2
21	что они имеют	1	2
22	в известном смысле	1	2
23	тем что они	1	2
24	не может быть	3	2
25	того или иного	1	2
26	так и в	2	2
27	в свою очередь	1	2
28	той или иной	1	2
29	как и в	1	2
30	в другом месте	1	1
31	том что в	1	1
32	и на другой	1	1
33	как и для	1	1
34	в том числе	1	1
35	влечет за собой	2	1
36	о том как	1	1
37	в дальнейшем мы	1	1
38	до сих пор	3	1
39	является одним из	1	1
40	в случае с	1	1
41	том числе и	1	1
42	имеет в виду	1	1
43	несмотря на его	1	1
44	в этот период	1	1
45	точно так же	1	1
46	не видим его	1	1
47	на него в	1	1
48	в применении к	1	1
49	и что в	1	1
50	не сводится к	1	1
51	все же не	2	1
52	не могут быть	1	1
53	и в том	1	1
54	и превращается в	1	1
55	решающую роль в	1	1
56	мы не можем	1	1
57	на наших глазах	1	1
58	как и всякая	1	1
59	наряду с ними	1	1
60	а в плане	1	1
61	решения этой задачи	1	1
62	не только потому	1	1
63	ничего общего с	1	1
64	к которым приводит	1	1
65	и через него	1	1
66	он приходит к	1	1
