N	2gram	Bakhtin_sl_1	UchenyiS
1	и в	41	14
2	а не	15	10
3	не только	16	10
4	и не	16	8
5	прежде всего	8	8
6	в этом	12	7
7	не может	14	7
8	может быть	14	6
9	и только	1	5
10	стилистических приемов	1	5
11	все это	5	5
12	перестает быть	2	5
13	то же	14	5
14	хотя бы	3	5
15	в их	4	4
16	с другой	5	4
17	конечно не	3	4
18	но и	16	4
19	в этой	1	4
20	у нас	2	3
21	бы то	1	3
22	в своей	7	3
23	все же	7	3
24	не как	4	3
25	то ни	1	3
26	в то	14	3
27	же время	12	3
28	пришлось бы	1	3
29	и формы	4	3
30	в частности	2	3
31	для этого	1	3
32	другой стороны	4	3
33	для него	3	3
34	но в	8	3
35	и то	2	3
36	было бы	3	3
37	как такового	3	3
38	это не	6	3
39	ни было	2	3
40	как и	4	3
41	в системе	1	2
42	не столько	1	2
43	одним из	4	2
44	и через	1	2
45	а между	2	2
46	сводится к	1	2
47	форму и	1	2
48	в себе	3	2
49	бы и	3	2
50	или иных	1	2
51	установку на	1	2
52	и с	4	2
53	же не	1	2
54	именно как	2	2
55	в противном	1	2
56	нас в	2	2
57	мы и	2	2
58	все они	7	2
59	но не	2	2
60	с его	4	2
61	как таковой	1	2
62	ничего не	4	2
63	по существу	3	2
64	и у	2	2
65	и для	4	2
66	о чем	1	2
67	в широком	2	2
68	не все	1	2
69	крайней мере	1	2
70	что она	1	2
71	это было	1	2
72	что все	2	2
73	формы и	3	2
74	в том	3	2
75	только в	6	2
76	между тем	2	2
77	является в	1	2
78	могли бы	1	2
79	конечно нет	1	2
80	таким образом	9	2
81	на эту	1	2
82	но даже	1	2
83	меньшей степени	4	2
84	что и	1	2
85	по крайней	1	2
86	всех этих	4	2
87	в его	13	2
88	тех или	1	2
89	сих пор	2	2
90	если бы	1	2
91	как раз	2	2
92	в противовес	1	2
93	могут быть	19	2
94	что мы	1	2
95	не в	7	2
96	его и	3	2
97	в самом	5	2
98	мы не	2	2
99	а как	2	2
100	в сторону	1	2
101	этом отношении	1	2
102	противном случае	1	2
103	художественного произведения	1	2
104	но это	1	2
105	а его	1	2
106	не есть	2	2
107	том что	2	2
108	не могут	3	2
109	до сих	2	2
110	работы по	1	2
111	то и	1	1
112	что по	1	1
113	этих слов	1	1
114	друг с	2	1
115	относятся к	1	1
116	в процессе	4	1
117	и что	1	1
118	связанные с	3	1
119	степени и	1	1
120	в которой	4	1
121	и исторические	1	1
122	целого но	1	1
123	до конца	12	1
124	в качестве	3	1
125	и лингвистика	2	1
126	он не	3	1
127	с другом	2	1
128	и единого	1	1
129	в точном	1	1
130	слова форма	1	1
131	на лингвистику	1	1
132	знак равенства	1	1
133	переходит в	3	1
134	содержание и	1	1
135	язык в	4	1
136	оно все	1	1
137	приводит к	1	1
138	все что	1	1
139	в значительной	1	1
140	понятом как	1	1
141	не входит	1	1
142	на его	8	1
143	данного произведения	1	1
144	он может	2	1
145	тот же	1	1
146	как целого	1	1
147	поэзии и	4	1
148	в различных	1	1
149	слово как	5	1
150	обращение к	1	1
151	бы в	1	1
152	находятся в	1	1
153	планах и	1	1
154	в свое	3	1
155	в виду	1	1
156	направлено на	1	1
157	в течение	1	1
158	тем более	1	1
159	у толстого	4	1
160	в известном	2	1
161	определений и	1	1
162	этого не	1	1
163	данном случае	3	1
164	входит в	4	1
165	же как	2	1
166	и слово	2	1
167	или даже	2	1
168	с которыми	2	1
169	очень часто	1	1
170	можно сказать	2	1
171	и разнообразие	1	1
172	она не	3	1
173	как основной	1	1
174	но он	2	1
175	своем месте	1	1
176	но что	1	1
177	только как	1	1
178	или меньшей	4	1
179	о котором	1	1
180	сказать что	2	1
181	ориентация на	1	1
182	о нем	4	1
183	о том	3	1
184	не столь	1	1
185	перестают быть	1	1
186	не внешне	1	1
187	и содержание	1	1
188	его как	2	1
189	и потому	4	1
190	правда не	2	1
191	все его	4	1
192	произведение как	1	1
193	с каждым	1	1
194	но по	2	1
195	и вся	1	1
196	сводится именно	1	1
197	равно как	1	1
198	эстетический объект	1	1
199	он был	1	1
200	как на	1	1
201	же в	1	1
202	вне пределов	1	1
203	не предмет	1	1
204	того что	3	1
205	с одной	4	1
206	должно быть	2	1
207	той же	2	1
208	речи в	4	1
209	в этот	1	1
210	на своем	5	1
211	в большей	3	1
212	уже не	2	1
213	в которых	1	1
214	к этому	2	1
215	так и	11	1
216	в таком	1	1
217	быть не	1	1
218	или менее	3	1
219	под понятие	1	1
220	в поэтическом	7	1
221	установка на	6	1
222	в виде	2	1
223	в кавычки	5	1
224	мы имеем	1	1
225	связанных с	4	1
226	или иначе	1	1
227	большей или	4	1
228	так или	1	1
229	учителя и	1	1
230	состоит из	1	1
231	из самых	1	1
232	произведения как	3	1
233	но если	1	1
234	более или	3	1
235	точном смысле	1	1
236	в той	10	1
237	нет и	1	1
238	друг другу	2	1
239	широком смысле	2	1
240	и литературного	1	1
241	и все	4	1
242	поэзии слово	1	1
243	исходить из	1	1
244	и строится	1	1
245	и свое	1	1
246	композиции в	1	1
247	и это	1	1
248	не было	3	1
249	в эстетический	1	1
250	и др	14	1
251	на то	1	1
252	одной стороны	4	1
253	которой все	1	1
254	никогда не	3	1
255	он в	5	1
256	и даже	6	1
257	и форм	2	1
258	и сплошь	1	1
259	что для	1	1
260	в котором	2	1
261	имеем в	1	1
262	в пределах	14	1
263	быть тем	3	1
264	образом на	1	1
265	мировоззрения и	1	1
266	его на	1	1
267	и вне	1	1
268	у него	3	1
269	те основные	1	1
270	от произведения	1	1
271	у сервантеса	1	1
272	авторской индивидуальности	1	1
273	к изучению	1	1
274	вводится в	2	1
275	этом случае	2	1
276	произведения в	1	1
277	за пределы	4	1
278	знает только	2	1
279	в нем	30	1
280	и так	1	1
281	бы ни	3	1
282	и эта	2	1
283	в ней	4	1
284	этого и	1	1
285	она строится	1	1
286	и прежде	1	1
287	у стерна	4	1
288	мнению не	1	1
289	но именно	4	1
290	чистое и	1	1
291	далеко не	5	1
292	то есть	26	1
293	впрочем не	1	1
294	он и	1	1
295	смысле и	1	1
296	этого общего	2	1
297	жанра в	4	1
298	они в	2	1
299	и исторически	1	1
300	вне его	2	1
301	и стилистики	3	1
302	в последние	2	1
303	в своем	3	1
304	в данном	3	1
