N	3gram	Berdyaev_N_1	Psycholo
1	в том что	1	12
2	о том что	1	10
3	что в нем	2	5
4	можно было бы	1	4
5	сами по себе	1	3
6	то что в	1	3
7	так же как	2	3
8	в том чтобы	1	3
9	то что он	1	3
10	во всяком случае	1	3
11	это и есть	1	3
12	до сих пор	1	3
13	с одной стороны	2	3
14	вместе с тем	2	2
15	то время как	1	2
16	жизни для этого	1	2
17	с другой стороны	2	2
18	в нем нет	2	2
19	в то время	1	2
20	было бы сказать	1	2
21	что в этом	1	1
22	а не в	1	1
23	но это значит	1	1
24	равно как и	2	1
25	но все время	1	1
26	подобно тому как	3	1
27	мы должны перейти	1	1
28	в том и	2	1
29	же как и	1	1
30	бы сказать что	1	1
31	потому что не	1	1
32	что она не	1	1
33	и не может	1	1
34	со всех сторон	3	1
35	в своем развитии	1	1
36	которая в глубине	1	1
37	как я уже	1	1
38	жизни в этой	1	1
39	он не хочет	1	1
40	я не могу	1	1
41	и мы не	1	1
42	не может быть	4	1
43	и вместе с	1	1
44	ни одна из	2	1
45	не только в	1	1
46	и все они	1	1
47	говорит что в	1	1
48	в этом смысле	2	1
49	быть не может	1	1
50	о том чтобы	1	1
51	в средние века	3	1
52	я уже говорил	1	1
53	она не может	2	1
