N	3gram	Trubetskoy_1	VrazhdaK
1	то же время	2	4
2	в то же	2	4
3	в связи с	3	3
4	с точки зрения	8	2
5	не может быть	3	2
6	в том что	15	2
7	а между тем	8	1
8	а следовательно и	1	1
9	в своих собственных	1	1
10	следить за тем	1	1
11	в том же	3	1
12	тем более что	1	1
13	до сих пор	8	1
14	и не может	1	1
15	независимо от того	1	1
16	за тем чтобы	1	1
17	точно так же	1	1
18	но мы знаем	1	1
19	с тех пор	1	1
20	по крайней мере	1	1
21	друг у друга	1	1
22	и то что	3	1
23	может быть и	4	1
24	одно и то	1	1
25	так же как	3	1
26	но в целом	1	1
27	рядом с нею	1	1
28	в высшей степени	1	1
29	на первый взгляд	1	1
30	в конце концов	4	1
31	и то же	1	1
32	но при этом	1	1
33	а с другой	2	1
34	каждый из них	1	1
35	что он сам	1	1
36	все же не	3	1
37	во всяком случае	2	1
38	что у него	1	1
39	с другой стороны	4	1
40	шаг за шагом	1	1
41	тем не менее	4	1
42	что они не	1	1
43	могут быть приняты	1	1
44	у него в	1	1
45	нет ничего общего	1	1
46	заключается в том	2	1
47	в то время	2	1
48	европы и америки	1	1
49	в свою очередь	2	1
50	о том что	4	1
51	не забудем что	1	1
52	не только не	1	1
53	свою книгу в	1	1
54	лет тому назад	1	1
55	на то что	7	1
56	и все что	2	1
