1	как мы уже	3	5
2	до сих пор	1	4
3	в связи с	3	4
4	в той же	1	4
5	в том числе	2	3
6	а также и	1	3
7	в отличие от	2	3
8	для того чтобы	5	3
9	на самом деле	1	3
10	мы уже говорили	2	3
11	и во всей	1	2
12	в этом отношении	7	2
13	но и в	2	2
14	он говорит об	1	2
15	никакому сомнению что	1	2
16	может быть в	1	2
17	в основе этого	2	2
18	по сравнению с	3	2
19	том числе и	2	2
20	можно было бы	5	2
21	не может быть	1	2
22	не подлежит никакому	2	2
23	мы уже приводили	1	2
24	одной и той	4	2
25	подлежит никакому сомнению	2	2
26	и той же	4	2
27	имеет в виду	1	2
28	в данном случае	2	2
29	можно сказать что	1	2
30	о том что	3	2
31	как и в	1	2
32	в том же	1	2
33	по отношению к	1	2
34	как мы видели	2	2
35	и в частности	1	1
36	глава в истории	1	1
37	имея в виду	1	1
38	в вопросе о	2	1
39	что иное как	1	1
40	мы узнаем что	1	1
41	с самого начала	1	1
42	но прежде чем	1	1
43	в настоящее время	2	1
44	и тем же	3	1
45	основе этого явления	1	1
46	оно может быть	2	1
47	то ни было	1	1
48	по внешнему виду	2	1
49	не что иное	1	1
50	в высшей степени	2	1
51	как бы к	1	1
52	на первый план	4	1
53	в том чтобы	2	1
54	том что в	1	1
55	распространяется на все	1	1
56	что они не	1	1
57	между этими двумя	2	1
58	в их наиболее	1	1
59	что и в	1	1
60	уже и в	1	1
61	с точки зрения	11	1
62	в свое время	2	1
63	во всяком случае	3	1
64	в этом случае	3	1
65	только то что	1	1
66	мы видели что	2	1
67	и т.п но	1	1
68	что оно может	1	1
69	само по себе	1	1
70	смысле этого слова	7	1
71	мы встречаемся с	1	1
72	прежде всего в	1	1
73	мы видим что	2	1
74	слово в этом	1	1
75	в том что	31	1
76	в собственном смысле	7	1
77	вместо того чтобы	1	1
78	на том что	1	1
79	не подлежит сомнению	1	1
80	но даже и	1	1
81	мы знаем что	1	1
82	в свою очередь	2	1
83	но все же	1	1
84	в одном слове	1	1
85	но на самом	1	1
86	бы то ни	1	1
87	особое внимание на	1	1
88	подобно тому как	2	1
89	мы уже указывали	1	1
90	этого положения и	1	1
91	между тем как	3	1
92	и как они	1	1
93	с помощью которого	2	1
94	так как в	2	1
95	тех или иных	1	1
96	одним и тем	3	1
97	с другой стороны	8	1
98	что в основе	6	1
99	о том как	1	1
100	заключается в том	14	1
101	так например в	1	1
