N	2gram	Bakhtin_sl_2	SlovoVZh
1	не может	20	16
2	может быть	37	14
3	точки зрения	8	14
4	как бы	7	13
5	и его	33	13
6	таким образом	8	12
7	и в	39	12
8	по отношению	4	11
9	в нашем	2	11
10	отношению к	4	11
11	и не	22	10
12	так как	4	9
13	прежде всего	8	8
14	сказать что	3	7
15	для нас	5	7
16	в ней	3	6
17	в том	5	6
18	только в	5	6
19	при этом	7	6
20	с помощью	4	6
21	в нем	19	6
22	слова и	8	6
23	все время	1	6
24	в процессе	13	6
25	должна быть	3	5
26	то же	4	5
27	в виду	1	5
28	можно сказать	1	5
29	отнюдь не	1	5
30	как в	13	5
31	но в	6	5
32	и др	4	5
33	героя и	5	5
34	а не	14	5
35	как и	6	5
36	и следовательно	1	5
37	том что	5	5
38	никогда не	7	5
39	хотя бы	3	5
40	то что	2	5
41	к материалу	2	4
42	зависимости от	4	4
43	литературы и	1	4
44	к нему	3	4
45	за пределы	2	4
46	в литературе	1	4
47	в этом	16	4
48	все же	6	4
49	в самом	1	4
50	уже не	5	4
51	не только	24	4
52	отношение к	4	4
53	свое выражение	1	4
54	так и	15	4
55	материала и	3	4
56	с другой	5	4
57	что не	1	4
58	высказывания как	1	4
59	не в	9	4
60	его в	4	4
61	дело в	2	4
62	и к	6	4
63	жизни и	6	4
64	и на	4	4
65	здесь не	4	3
66	в пределах	13	3
67	ведь и	2	3
68	еще не	7	3
69	мы не	2	3
70	о том	2	3
71	и герой	1	3
72	но и	21	3
73	между тем	3	3
74	точка зрения	2	3
75	нуждается в	2	3
76	того что	1	3
77	быть и	3	3
78	и наконец	5	3
79	и ее	1	3
80	все эти	6	3
81	только на	1	3
82	конечно не	5	3
83	в себе	2	3
84	в поэзии	2	3
85	слово в	11	3
86	да и	1	3
87	для него	7	3
88	и по	1	3
89	и с	9	3
90	точек зрения	3	3
91	до сих	2	3
92	ни в	4	3
93	в некоторых	3	3
94	в них	6	3
95	и уже	1	3
96	в своей	1	3
97	в такой	1	3
98	тем не	1	3
99	как к	3	3
100	и более	2	3
101	по себе	5	3
102	сих пор	2	3
103	не менее	4	3
104	все это	16	3
105	и проч	2	3
106	и для	5	3
107	это как	1	3
108	с ним	7	3
109	отношении к	4	3
110	на границе	2	3
111	от этой	1	2
112	как не	1	2
113	как это	3	2
114	в себя	2	2
115	контекста в	2	2
116	и самое	1	2
117	те же	2	2
118	со всех	1	2
119	и значение	1	2
120	на материале	2	2
121	к говорящему	1	2
122	со словом	5	2
123	нас и	1	2
124	истории литературы	3	2
125	и здесь	2	2
126	не остается	1	2
127	с его	7	2
128	но мы	2	2
129	и что	1	2
130	между собой	1	2
131	в чем	3	2
132	тем как	1	2
133	но конечно	1	2
134	в данном	2	2
135	к слову	1	2
136	в его	7	2
137	не довлеет	1	2
138	что и	3	2
139	подчеркнуть что	2	2
140	в форме	2	2
141	нашего сознания	2	2
142	независимо от	2	2
143	в своем	6	2
144	в формах	1	2
145	кроме того	2	2
146	как уже	2	2
147	дело с	4	2
148	в какой	1	2
149	словом и	8	2
150	и потому	7	2
151	что слово	1	2
152	сливается с	4	2
153	лежит на	2	2
154	и вражды	1	2
155	с одной	5	2
