N	3gram	Vinokur_Vv_1	Hudozhes
1	по отношению к	4	10
2	в отличие от	3	7
3	то же время	5	6
4	в то же	5	6
5	с другой стороны	5	5
6	той или иной	1	5
7	в том что	12	5
8	состоит в том	2	4
9	и того же	2	3
10	с точки зрения	2	3
11	одно и то	1	3
12	одного и того	2	3
13	и то же	1	3
14	тем не менее	8	3
15	того или иного	1	3
16	можно сказать что	3	3
17	в этом смысле	10	3
18	мы имеем дело	1	2
19	значении этого термина	1	2
20	о полку игореве	1	2
21	в значительной степени	1	2
22	с одной стороны	4	2
23	так или иначе	4	2
24	в свою очередь	1	2
25	для того чтобы	21	2
26	тем или иным	1	2
27	к тому что	1	2
28	и прежде всего	1	2
29	сама по себе	3	2
30	в самой себе	1	1
31	том отношении что	3	1
32	что иное как	4	1
33	этом втором случае	1	1
34	нами не как	1	1
35	на котором он	2	1
36	прежде всего в	1	1
37	имеем в виду	1	1
38	подобно тому как	1	1
39	каждой из них	1	1
40	в настоящее время	1	1
41	в прошлом и	1	1
42	в этом случае	6	1
43	он мог бы	1	1
44	не менее не	1	1
45	в зависимости от	1	1
46	можно говорить о	1	1
47	бы то ни	1	1
48	только то что	1	1
49	из того что	1	1
50	заключает в себе	1	1
51	том или ином	1	1
52	точно так же	2	1
53	отчет в том	1	1
54	и др в	1	1
55	с этой точки	1	1
56	по крайней мере	4	1
57	из этих двух	1	1
58	то или иное	1	1
59	именно в этом	3	1
60	на время в	1	1
61	может быть и	2	1
62	как раз в	1	1
63	в особенности в	1	1
64	в одном и	1	1
65	все что может	1	1
66	что входит в	1	1
67	себе отчет в	1	1
68	то ни было	1	1
69	и том же	1	1
70	отношению к нему	1	1
71	в той мере	4	1
72	платона и аристотеля	1	1
73	в известном смысле	3	1
74	не могут быть	2	1
75	имеем дело с	1	1
76	в сравнении с	1	1
77	в том или	1	1
78	в связи с	2	1
79	может быть названо	4	1
80	логической точки зрения	1	1
81	а в другом	1	1
82	в том отношении	3	1
83	на этом пути	1	1
84	так же как	1	1
85	и в том	3	1
86	все то что	1	1
87	в свое время	2	1
88	действительность в ее	3	1
89	что несмотря на	2	1
90	а в том	1	1
91	в частности в	1	1
92	есть не что	2	1
93	в тексте не	1	1
94	обратим внимание на	1	1
95	в одном случае	1	1
96	то что входит	1	1
97	имея в виду	1	1
98	прежде всего к	1	1
99	о том что	12	1
100	этой точки зрения	1	1
101	и в самом	3	1
102	ту или иную	1	1
103	мы имеем в	1	1
104	мере в какой	4	1
105	в данном отношении	2	1
106	в этих случаях	2	1
107	как видно из	1	1
108	не что иное	4	1
109	той мере в	4	1
110	тех или иных	3	1
111	одном и том	1	1
112	в реальной действительности	1	1
113	дело не в	1	1
114	особое отношение к	1	1
115	по тем или	1	1
116	в соответствии с	2	1
117	не может быть	8	1
118	в этом втором	1	1
119	литературы как и	1	1
