N	3gram	Losev_Prob_3	Hudozhes
1	в том что	9	11
2	о том что	3	7
3	в то же	4	4
4	к тому что	1	4
5	в самом деле	1	3
6	но при этом	1	3
7	не может быть	5	3
8	как и в	1	3
9	с одной стороны	1	3
10	для того чтобы	1	3
11	тем не менее	10	3
12	а не в	1	2
13	о том как	2	2
14	и в этом	6	2
15	с точки зрения	2	2
16	только в том	1	2
17	до сих пор	2	2
18	можно было бы	3	2
19	только тем что	1	2
20	как он сам	1	2
21	так же как	1	2
22	в данном случае	7	2
23	то же самое	7	2
24	как будто бы	3	2
25	того или иного	3	2
26	не только не	1	2
27	не только в	2	2
28	к тому же	1	2
29	но еще и	1	2
30	и т д	13	2
31	это же самое	2	1
32	это уже не	2	1
33	той или иной	8	1
34	то ни стало	1	1
35	дело в том	3	1
36	это было бы	1	1
37	но и о	1	1
38	в котором он	1	1
39	в настоящее время	2	1
40	же как и	2	1
41	во что бы	1	1
42	как раз и	4	1
43	и все же	1	1
44	и то и	1	1
45	однако это не	1	1
46	по разным причинам	1	1
47	что он не	1	1
48	бы то ни	4	1
49	же самое время	4	1
50	что не только	1	1
51	то и в	1	1
52	жизнь в ее	3	1
53	с самим собою	1	1
54	точно так же	3	1
55	то или иное	2	1
56	то и другое	1	1
57	в таком случае	4	1
58	только для того	1	1
59	и то что	7	1
60	не обладает никакой	1	1
61	и о самом	1	1
62	обнаруживает себя в	1	1
63	что бы то	1	1
64	что это за	3	1
65	нечто такое что	1	1
66	он вовсе не	1	1
67	это не означает	1	1
68	сих пор мы	1	1
69	тем что он	1	1
70	как на нечто	1	1
71	и все его	1	1
72	и не было	1	1
73	с ним же	5	1
74	то время как	4	1
75	так или иначе	1	1
76	дело здесь не	3	1
77	все же не	1	1
78	после исключения из	1	1
79	этом как раз	1	1
80	с другой стороны	5	1
81	только о том	2	1
82	содержит в себе	3	1
83	что же такое	3	1
84	он сам однако	1	1
85	нельзя сказать что	1	1
86	никогда и не	1	1
87	но с другой	2	1
88	заключается в том	3	1
89	в то время	4	1
90	в первом случае	1	1
91	та или иная	3	1
92	в этом случае	5	1
93	об этом как	1	1
94	именно потому что	3	1
95	по сути дела	1	1
96	можно сказать что	2	1
97	ни с чем	1	1
98	друг от друга	2	1
99	не является в	1	1
100	на нечто такое	1	1
101	здесь не в	3	1
102	что и в	3	1
103	не нуждается в	1	1
