N	4gram	Bakhtin_Pr_1	KulturaY
1	можно было бы сказать	1	3
2	в зависимости от того	1	3
3	лишь с точки зрения	1	2
4	и т п все	2	2
5	не в том что	1	2
6	которая как раз и	1	1
7	в зависимости от них	1	1
8	до самого последнего времени	1	1
9	во что бы то	1	1
10	и не могут быть	1	1
11	по себе еще не	2	1
12	бы то ни стало	1	1
13	что бы то ни	1	1
14	т п все это	1	1
15	и в то же	2	1
16	уже само по себе	1	1
17	зависимости от того в	1	1
18	в то же время	9	1
19	заключается в том что	1	1
20	с точки зрения ее	1	1
21	ни на минуту не	1	1
