N	2gram	Tiupa_Disk_1	Komedia
1	и в	16	22
2	том что	19	12
3	в г	2	11
4	но и	14	11
5	в том	23	11
6	не только	28	10
7	в то	3	10
8	из них	3	10
9	как и	16	9
10	может быть	17	9
11	таким образом	3	8
12	должны были	1	8
13	о том	8	8
14	и его	2	8
15	в одном	2	8
16	и не	11	8
17	едва ли	2	7
18	в этой	2	7
19	и других	1	7
20	то же	7	6
21	тому же	5	6
22	и по	2	6
23	не в	7	6
24	в конце	1	6
25	одного из	2	6
26	что он	4	6
27	такого рода	4	6
28	к тому	5	6
29	а в	5	6
30	в которой	1	6
31	что в	4	6
32	до нас	1	5
33	в истории	4	5
34	как в	10	5
35	на его	4	5
36	при этом	13	5
37	во время	1	5
38	потому что	4	5
39	так и	8	5
40	еще в	3	5
41	и даже	3	5
42	между тем	4	5
43	один из	3	5
44	уже в	2	5
45	в его	7	5
46	прежде всего	11	5
47	о которых	1	5
48	с другой	10	5
49	нового времени	1	5
50	другой стороны	3	5
51	из его	1	4
52	что они	1	4
53	но в	8	4
54	в нем	9	4
55	в другом	2	4
56	на протяжении	2	4
57	несмотря на	1	4
58	точки зрения	3	4
59	в котором	5	4
60	в их	5	4
61	как мы	2	4
62	на него	1	4
63	же время	4	4
64	ли не	3	4
65	а также	8	4
66	vi в	1	4
67	что и	3	4
68	в качестве	34	4
69	мы можем	1	4
70	тем что	3	4
71	именно в	3	4
72	в результате	1	4
73	к этому	2	4
74	новое время	1	3
75	речь идет	1	3
76	в тех	2	3
77	идет о	1	3
78	в году	2	3
79	мы не	1	3
80	и о	4	3
81	х годов	2	3
82	и на	5	3
83	в чем	1	3
84	как правило	4	3
85	с одной	9	3
86	в этом	15	3
87	все же	3	3
88	хотя и	2	3
89	и как	6	3
90	в целом	4	3
91	на то	1	3
92	да и	1	3
93	он не	1	3
94	первую очередь	1	3
95	чаще всего	1	3
96	на сцене	2	3
97	в них	4	3
98	и ее	2	3
99	вопрос о	1	3
100	не менее	2	3
101	однако в	3	3
102	по отношению	9	3
103	этом отношении	1	3
104	с участием	1	3
105	могут быть	4	3
106	и сам	1	3
107	во второй	1	3
108	там же	1	3
109	по содержанию	1	3
110	в частности	9	3
111	и одновременно	2	3
112	одной из	4	3
113	только в	7	3
114	в виде	1	3
115	в начале	2	3
116	за счет	1	3
117	отношение к	4	3
118	каждый из	1	3
119	как раз	1	3
120	к которому	2	3
121	как это	1	3
122	их к	1	3
123	по своему	3	3
124	одной стороны	9	3
125	не мог	1	3
126	здесь в	2	3
127	всего в	1	3
128	и все	2	3
129	отношению к	9	3
130	как известно	1	2
131	того же	3	2
132	чтобы вернуть	1	2
133	видеть в	1	2
134	в и	1	2
135	в сущности	2	2
136	принадлежит к	1	2
137	на себя	2	2
138	столь же	3	2
139	отличие от	5	2
140	за пределы	2	2
141	наряду с	1	2
142	в рамках	5	2
143	независимо от	1	2
144	что к	1	2
145	что касается	2	2
146	к числу	1	2
147	в противоположность	2	2
148	со своей	1	2
149	в самом	3	2
150	художественного мышления	1	2
151	право на	1	2
152	в известном	1	2
153	в себе	7	2
154	не следует	2	2
155	время и	1	2
156	в первую	1	2
157	в принципе	2	2
158	не к	1	2
159	в силу	5	2
160	на этом	2	2
