N	3gram	Losev_Prob_3	Hudozhes
1	о том что	3	9
2	в то же	4	8
3	в том что	9	6
4	в самом деле	1	4
5	можно было бы	3	4
6	к тому что	1	4
7	с точки зрения	2	3
8	в связи с	7	3
9	в первой главе	1	3
10	та или иная	3	3
11	тем не менее	10	3
12	как и в	1	3
13	и т д	13	3
14	только потому что	2	2
15	о том как	2	2
16	того или иного	3	2
17	что же касается	4	2
18	только в том	1	2
19	что он не	1	2
20	в первую очередь	3	2
21	до сих пор	2	2
22	то и другое	1	2
23	ту или иную	1	2
24	не только в	2	2
25	так или иначе	1	2
26	не может быть	5	2
27	и это не	1	2
28	несет на себе	2	2
29	речь идет о	1	2
30	на то что	1	2
31	дело здесь не	3	1
32	потому что он	4	1
33	это могло бы	1	1
34	в чем не	2	1
35	в чистом виде	2	1
36	из поля зрения	1	1
37	обнаруживает себя в	1	1
38	потому что оно	1	1
39	все дело в	1	1
40	на самом деле	2	1
41	но при этом	1	1
42	относится и к	1	1
43	отличаются друг от	2	1
44	том что он	1	1
45	то же самое	7	1
46	точки зрения в	1	1
47	же как и	2	1
48	не имеют никакого	2	1
49	и в этом	6	1
50	и то и	1	1
51	в таком случае	4	1
52	сами по себе	6	1
53	есть нечто большее	1	1
54	более или менее	1	1
55	по своему содержанию	2	1
56	на самом же	4	1
57	того и другого	1	1
58	нечто большее чем	1	1
59	в отличие от	2	1
60	здесь не в	3	1
61	с этой точки	1	1
62	является не чем	1	1
63	не исчерпывается мы	1	1
64	перед нами не	1	1
65	но еще и	1	1
66	в литературном произведении	1	1
67	не чем иным	1	1
68	содержит в себе	3	1
69	он вовсе не	1	1
70	в первом случае	1	1
71	в конце концов	3	1
72	но тут же	1	1
73	так и в	1	1
74	имеет ничего общего	3	1
75	и потому что	1	1
76	требует для себя	1	1
77	в нем не	1	1
78	еще и потому	1	1
79	как впрочем и	1	1
80	в конце первой	1	1
81	в том и	1	1
82	во всяком случае	6	1
83	самом же деле	4	1
84	не имеет ничего	3	1
85	в данном случае	7	1
86	ни в чем	2	1
87	как будто бы	3	1
88	чем иным как	1	1
89	узком смысле слова	1	1
90	по себе а	3	1
91	то что мы	1	1
92	ничего общего с	2	1
93	этой точки зрения	2	1
94	с тем что	1	1
95	едва ли можно	2	1
96	не только не	1	1
97	даже не в	1	1
98	по сути дела	1	1
99	которая может быть	1	1
100	друг от друга	2	1
101	имеют никакого отношения	2	1
102	все же не	1	1
103	в том смысле	3	1
104	с одной стороны	1	1
105	конце первой главы	1	1
106	нас в том	1	1
107	что для него	1	1
108	друг друга и	1	1
109	на первый взгляд	2	1
110	могло бы быть	2	1
111	формы и содержания	1	1
