N	2gram	Tiupa_Lite_3	BTomashe
1	у нас	2	3
2	и не	22	2
3	в ней	1	2
4	все это	1	2
5	говорить о	1	1
6	его функцией	1	1
7	с другой	6	1
8	о свободе	1	1
9	вопрос о	2	1
10	совершенно не	3	1
11	в своей	7	1
12	художественного произведения	2	1
13	и о	1	1
14	в области	3	1
15	до конца	4	1
16	и ее	2	1
17	точно и	1	1
18	не со	1	1
19	не вполне	2	1
20	и в	16	1
21	будто бы	1	1
22	так и	9	1
23	для которой	1	1
24	за пределы	1	1
25	установка на	2	1
26	точке зрения	1	1
27	не было	1	1
28	было бы	2	1
29	отнюдь не	3	1
30	одной из	1	1
31	далеко не	2	1
32	и потому	2	1
33	эпоху кризиса	1	1
34	в значительной	1	1
35	словесного творчества	1	1
36	все же	2	1
37	его не	1	1
38	в книге	1	1
39	целиком в	1	1
40	и более	1	1
41	прежде всего	3	1
42	что в	2	1
43	еще не	6	1
44	как будто	4	1
45	не только	14	1
46	в данном	4	1
47	и на	2	1
48	на самом	1	1
49	другой стороны	2	1
50	из своей	1	1
51	нельзя не	1	1
52	значительной степени	1	1
53	а не	12	1
