N	4gram	Losev_Prob_3	Myslijsy
1	не что иное как	4	2
2	дело в том что	2	2
3	одного и того же	1	2
4	но с другой стороны	2	2
5	мы в то же	1	1
6	во всяком случае не	1	1
7	бы то ни было	3	1
8	с этой точки зрения	1	1
9	и т д в	1	1
10	во что бы то	1	1
11	в том смысле что	3	1
12	и как бы ни	1	1
13	до того что не	1	1
14	или по крайней мере	4	1
15	сказать что и в	1	1
16	что бы то ни	1	1
17	и то и другое	1	1
18	еще и потому что	1	1
19	д и т д	4	1
20	бы то ни стало	1	1
21	тем не менее в	1	1
22	заключается в том что	2	1
