N	2gram	Tiupa_Teor_1	Formalny
1	и в	18	24
2	художественного произведения	4	23
3	в его	6	23
4	прежде всего	2	22
5	и не	13	20
6	так и	10	18
7	точки зрения	9	16
8	не может	4	16
9	в этом	8	15
10	в нем	4	14
11	может быть	17	14
12	таким образом	3	13
13	на почве	4	13
14	с точки	3	13
15	истории литературы	1	12
16	в своем	4	11
17	как и	4	11
18	в своей	6	11
19	в их	2	11
20	не менее	4	11
21	должно быть	1	11
22	то же	7	10
23	вовсе не	3	10
24	и ее	3	10
25	и его	8	10
26	и их	1	10
27	литературное произведение	1	10
28	а не	9	10
29	в то	6	9
30	и потому	2	9
31	все это	2	9
32	и на	1	8
33	как в	5	8
34	лишь в	6	8
35	не в	7	8
36	произведения в	1	8
37	же время	5	8
38	в ее	5	8
39	именно в	3	8
40	то что	3	8
41	в свою	3	8
42	с ее	3	7
43	не только	16	7
44	место в	5	7
45	художественной конструкции	1	7
46	в единстве	1	7
47	и от	1	7
48	но и	9	7
49	отношения к	2	6
50	еще не	4	6
51	отнюдь не	3	6
52	более или	2	6
53	в целом	3	6
54	все эти	2	6
55	в этой	3	6
56	как бы	5	6
57	входит в	1	6
58	или менее	2	6
59	она не	1	6
60	свою очередь	2	6
61	на основе	2	6
62	в пределах	5	6
63	и здесь	2	6
64	в том	16	6
65	было бы	1	6
66	как это	8	6
67	художественное произведение	1	6
68	а в	13	6
69	о литературе	2	6
70	бы ни	1	5
71	во всех	1	5
72	одним словом	1	5
73	но в	9	5
74	и свою	1	5
75	в самом	4	5
76	при этом	12	5
77	по себе	1	5
78	не могло	2	5
79	и до	1	5
80	у нас	2	5
81	должен быть	1	5
82	как мы	1	5
83	проблем и	1	5
84	искусства без	1	5
85	искусства и	1	5
86	в литературе	2	5
87	того что	4	5
88	только на	1	5
89	со стороны	2	5
90	с другой	7	5
91	и др	1	5
92	в искусстве	6	5
93	с его	5	4
94	по отношению	4	4
95	независимо от	1	4
96	и к	3	4
97	в которой	2	4
98	в мире	19	4
99	с другими	5	4
100	искусства в	2	4
101	только и	1	4
102	оно не	1	4
103	никогда не	4	4
104	если бы	3	4
105	для этого	1	4
106	в формах	2	4
107	с одной	2	4
108	литературного произведения	7	4
109	одной стороны	2	4
110	в связи	1	4
111	в частности	16	4
112	отношению к	4	4
113	быть и	2	4
114	что в	9	4
115	так же	2	4
116	художественном произведении	1	3
117	действительности и	1	3
118	бы то	1	3
119	но не	9	3
120	отношение к	5	3
121	как к	2	3
122	целый ряд	1	3
123	и как	2	3
124	в себе	9	3
125	не приводит	1	3
126	если он	1	3
127	он не	3	3
128	роли в	5	3
129	литературных произведений	5	3
130	он должен	2	3
131	в каждом	1	3
132	то ни	1	3
133	значение в	1	3
134	его в	2	3
135	в жизни	2	3
136	в них	2	3
137	они не	1	3
138	в отношении	3	3
139	литературы как	1	3
140	тем самым	4	3
141	в основе	3	3
142	в систему	1	3
143	на язык	1	3
144	связи с	1	3
145	сводится к	5	3
146	не по	1	3
147	материала в	2	3
148	отличается от	2	3
149	к тому	2	3
150	здесь не	1	3
151	особенно в	1	3
152	жизнь и	1	3
153	об искусстве	1	3
154	в широком	1	3
155	бы в	1	3
156	наконец в	1	3
157	один из	2	3
158	в большинстве	2	3
159	для него	2	3
160	в особенности	1	3
161	и даже	2	3
162	в области	4	3
163	не было	1	3
164	произведения искусства	2	3
165	на фоне	2	3
