N	4gram	Losev_Prob_4	Psycholo
1	в то время как	2	5
2	с этой точки зрения	1	4
3	заключается в том что	1	3
4	заключается в том чтобы	1	3
5	заключается не в том	1	2
6	ни в какой мере	4	2
7	с другой стороны и	1	2
8	д и т д	1	1
9	в том числе и	1	1
10	в том что мы	1	1
11	какой мере не является	1	1
12	о том что он	1	1
13	ни в коем случае	3	1
14	и т д и	1	1
15	одном и том же	1	1
16	приходит к выводу что	1	1
17	если принять во внимание	1	1
18	по самой своей природе	1	1
19	не что иное как	2	1
20	или что то же	1	1
21	смысле слова то есть	2	1
22	вместе с тем является	1	1
23	в какой мере не	4	1
24	и тем не менее	3	1
25	так же как и	1	1
26	дело в том что	1	1
27	в коем случае не	1	1
28	т д и т	1	1
