1	с точки зрения	11	21
2	для того чтобы	3	18
3	в этом случае	1	14
4	в том что	1	13
5	не только не	1	9
6	по сравнению с	1	7
7	с самого начала	3	7
8	то же самое	2	5
9	с одной стороны	2	5
10	по отношению к	8	5
11	в данном случае	4	5
12	не может быть	7	4
13	в самом деле	6	4
14	о том что	1	4
15	во внешней речи	1	4
16	мы не можем	1	3
17	в собственном смысле	3	3
18	до сих пор	2	3
19	можно сказать что	4	3
20	но и не	1	3
21	тем не менее	2	3
22	в такой же	1	3
23	в этом отношении	2	3
24	смысле этого слова	1	3
25	ситуации в которой	1	3
26	находит свое выражение	1	3
27	собственном смысле этого	1	3
28	только потому что	1	3
29	как мы видели	4	3
30	мы находим в	1	2
31	сделать вывод что	1	2
32	чем иным как	1	2
33	в отличие от	2	2
34	в направлении к	1	2
35	том что в	1	2
36	нет и не	1	2
37	к выводу что	1	2
38	во внутренней речи	1	2
39	одной и той	3	2
40	из того что	1	2
41	благодаря тому что	2	2
42	и той же	3	2
43	на самом деле	4	2
44	мы говорили выше	1	2
45	в свою очередь	3	2
46	ни в какой	1	2
47	в то время	1	2
48	в конечном счете	3	2
49	таким образом в	1	2
50	не чем иным	1	2
51	в этот период	1	2
52	в большинстве случаев	5	2
53	но вместе с	1	1
54	и внутренняя речь	1	1
55	отношению ко всему	1	1
56	то что мы	1	1
57	одно из важнейших	1	1
58	и не может	2	1
59	в каком направлении	1	1
60	ни о каких	1	1
61	поэтому она не	1	1
62	в этом смысле	1	1
63	и до конца	1	1
64	не могут быть	2	1
65	так и в	2	1
66	что между ними	1	1
67	но не может	1	1
68	но при этом	1	1
69	как раз и	1	1
70	что с точки	1	1
71	развития как и	2	1
72	по отношению ко	1	1
73	и внешней речи	2	1
74	его речи и	1	1
75	сравнить его с	1	1
76	тем же законам	1	1
77	по аналогии с	1	1
78	т.е в конечном	1	1
79	внешней речи и	1	1
80	мы обратимся к	1	1
81	в зависимости от	4	1
82	на которой мы	1	1
83	не давая себе	1	1
84	одного плана в	1	1
85	того чтобы получить	1	1
86	друг на друга	1	1
87	самом же деле	1	1
88	род отношений к	1	1
89	вопрос о методе	1	1
90	она не может	1	1
91	мы видим в	1	1
92	он еще не	1	1
93	только оно и	1	1
94	различает два момента	1	1
95	речи мы имеем	1	1
96	на самом же	1	1
97	в слове и	1	1
98	в то же	4	1
99	из одного плана	1	1
100	если мы обратимся	1	1
101	в которой нам	1	1
102	которой мы остановимся	1	1
103	как мы уже	4	1
104	самом деле если	1	1
105	внутренней и внешней	2	1
106	находят свое выражение	1	1
107	того что мы	1	1
108	но мы не	1	1
109	они говорят о	1	1
110	той или иной	1	1
111	мы должны перейти	1	1
112	и уже в	1	1
113	случае не может	1	1
114	из этих двух	1	1
115	все те сложные	1	1
116	что и в	1	1
117	развития ребенка и	1	1
118	но все же	1	1
119	и в психологии	1	1
120	правом можно говорить	1	1
121	другую точку зрения	1	1
122	одним из важнейших	1	1
123	нуждается в слушателе	1	1
124	в конце концов	2	1
125	свою очередь является	1	1
126	в гораздо большей	1	1
127	к той же	1	1
128	во всяком случае	7	1
129	того что он	1	1
130	так как в	1	1
131	объясняется и то	1	1
132	плана в другой	1	1
133	во всех этих	1	1
134	в высшей степени	2	1
135	что во внешнем	1	1
136	это и есть	2	1
137	между ними существует	1	1
138	внешней речи мы	1	1
