N	2gram	Potebnia_M_3	KFilosof
1	может быть	28	43
2	в его	4	39
3	в нем	9	31
4	не может	6	27
5	и не	15	26
6	по отношению	5	25
7	и в	30	22
8	в себе	16	21
9	отношению к	5	21
10	в котором	4	21
11	для меня	4	20
12	не есть	17	19
13	в ее	2	17
14	и его	4	17
15	а не	15	17
16	только в	21	16
17	точки зрения	2	13
18	в этом	10	13
19	для него	9	12
20	ни в	2	12
21	и это	4	12
22	но не	7	12
23	все эти	1	11
24	к нему	3	11
25	не в	15	11
26	в своей	2	11
27	из себя	2	10
28	во всех	1	10
29	это не	1	10
30	с точки	1	10
31	в своем	5	10
32	все это	4	10
33	и все	3	9
34	но и	19	9
35	в целом	3	9
36	в их	2	9
37	и есть	3	9
38	как бы	3	9
39	жизни и	2	8
40	не было	4	8
41	со стороны	3	8
42	лишь в	1	8
43	если бы	12	8
44	было бы	9	8
45	вовсе не	7	7
46	быть только	4	7
47	и здесь	1	7
48	то что	18	7
49	в единстве	1	7
50	во всем	1	7
51	что и	13	7
52	должен быть	1	7
53	себя в	1	7
54	конечно не	1	7
55	ко мне	1	6
56	в смысле	4	6
57	и я	1	6
58	отношение к	2	6
59	в том	32	6
60	в мире	1	6
61	уже не	6	6
62	он не	4	6
63	но это	6	6
64	ни одно	1	5
65	не знает	3	5
66	все же	2	5
67	жизни в	1	5
68	как и	10	5
69	его как	1	5
70	для себя	3	5
71	там где	3	5
72	с ним	6	5
73	что я	5	5
74	но все	2	5
75	не имеет	6	5
76	я могу	1	5
77	но как	2	5
78	и содержание	2	5
79	должно быть	5	5
80	со всем	1	5
81	именно в	3	5
82	то же	23	5
83	но в	1	5
84	его в	3	5
85	но эта	1	5
86	не только	21	5
87	от его	1	5
88	действительного мира	1	5
89	бы быть	2	4
90	места в	1	4
91	входит в	2	4
92	место в	3	4
93	только как	5	4
94	при этом	3	4
95	в каком	5	4
96	тем самым	7	4
97	нисколько не	1	4
98	как его	1	4
99	в одном	2	4
100	а в	12	4
101	для нас	20	4
102	места и	1	4
103	что в	17	4
104	здесь мы	1	4
105	между тем	9	4
106	в эстетическом	1	4
107	в чем	3	4
108	мира но	1	4
109	времени и	1	4
110	могло бы	1	4
111	и т.д	1	4
112	не как	2	4
113	ни было	1	4
114	к ним	1	4
115	время и	2	4
116	быть в	1	4
117	чем не	1	4
118	том что	18	4
119	с ними	1	4
120	еще не	5	3
121	людей и	2	3
122	могла бы	2	3
123	и тем	5	3
124	тогда когда	9	3
125	не должно	1	3
126	здесь не	1	3
127	это единство	2	3
128	был бы	2	3
129	должна быть	1	3
130	не менее	5	3
131	из его	1	3
132	что это	4	3
133	в каждом	3	3
134	независимо от	5	3
135	сознания и	1	3
136	мы не	9	3
137	бы не	4	3
138	но здесь	1	3
139	слово не	5	3
140	от него	2	3
141	не дает	2	3
142	на язык	1	3
143	нигде не	1	3
144	к чему	1	3
145	того что	18	3
146	из него	2	3
147	меня не	1	3
148	в корне	1	3
149	на самом	1	3
150	нет и	1	3
151	что этот	1	3
152	что не	8	3
153	но можно	1	3
154	в то	10	3
155	для того	4	3
156	для которой	1	3
157	а все	1	3
158	и отношения	1	3
159	ясно что	1	3
160	тем что	7	3
161	целом и	1	3
162	ничего не	1	3
163	по своему	2	3
164	в виду	1	3
165	от того	8	3
166	могут быть	3	3
167	о том	2	3
168	не имеем	1	3
169	и на	3	3
170	себя не	1	3
171	не я	3	3
172	в некотором	2	3
173	самом деле	2	3
174	в ней	8	3
175	предмета в	2	3
176	себе и	1	3
177	в свою	3	3
178	и тот	2	2
179	и развивается	1	2
180	отношении к	2	2
181	но есть	1	2
182	этим путем	1	2
183	же время	5	2
184	его на	1	2
185	вопрос о	1	2
186	бы оно	1	2
187	говорить о	3	2
188	ее от	1	2
189	отказаться от	2	2
190	бы то	1	2
191	от этого	2	2
192	его с	2	2
193	прежде всего	3	2
194	не будет	3	2
195	а это	1	2
196	котором мы	2	2
197	не нужен	1	2
198	так и	11	2
199	думать что	5	2
