N	3gram	Tiupa_Disk_1	Myslijsy
1	по отношению к	9	13
2	в том что	13	13
3	не может быть	3	9
4	там же с	1	7
5	только в том	2	6
6	тем не менее	1	6
7	с другой стороны	3	5
8	потому что в	1	4
9	не в том	3	4
10	в свою очередь	3	4
11	в этом смысле	1	4
12	подобно тому как	2	3
13	с точки зрения	1	3
14	в противном случае	1	3
15	с одной стороны	9	3
16	и в том	1	3
17	а в том	2	3
18	то же время	4	3
19	и как бы	3	3
20	с самого начала	1	3
21	так и в	1	3
22	не только в	2	3
23	в то же	3	3
24	и может быть	1	2
25	только потому что	1	2
26	общее потому что	1	2
27	дело в том	1	2
28	в том и	1	2
29	в разные времена	1	2
30	в таком случае	1	2
31	что не только	1	2
32	по крайней мере	2	2
33	и потому что	1	2
34	и того же	2	2
35	одного и того	2	2
36	как и в	1	2
37	при самом исполнении	1	1
38	на том что	1	1
39	несмотря на все	1	1
40	нам только в	1	1
41	а не в	2	1
42	не говоря уже	2	1
43	на самом деле	1	1
44	но и потому	1	1
45	одной стороны и	2	1
46	и не только	2	1
47	не могли быть	1	1
48	себе не может	1	1
49	говоря уже о	2	1
50	сам по себе	1	1
51	сами по себе	2	1
52	этого сказать нельзя	1	1
53	только то что	1	1
54	в этом отношении	1	1
55	к которому мы	1	1
56	из того что	1	1
57	до сих пор	1	1
58	обратить внимание на	2	1
59	это приводит к	1	1
60	более или менее	2	1
61	из виду что	1	1
62	заключается в том	1	1
63	в связи с	1	1
64	но при этом	3	1
65	то все же	1	1
66	таким же образом	1	1
67	к лицу с	1	1
68	во всяком случае	1	1
69	то чего не	1	1
70	заключать в себе	1	1
71	лежит в основании	1	1
72	именно в том	1	1
73	не только потому	1	1
74	по себе не	2	1
75	что во всех	1	1
76	имея в виду	1	1
77	на этом основании	1	1
78	о том что	5	1
79	и тем более	1	1
80	и не могло	1	1
81	на него других	1	1
82	не может стать	1	1
83	но все же	1	1
84	принадлежат к области	2	1
85	на то что	1	1
86	времени и пространства	1	1
87	иное значение чем	1	1
88	сознания в формах	1	1
89	что в них	1	1
90	лицом к лицу	1	1
91	как мы видели	1	1
