N	3gram	Nazirov_Tv_2	SlovoVZh
1	по отношению к	3	11
2	не может быть	3	7
3	дело в том	1	4
4	в том что	2	4
5	и не может	2	3
6	до сих пор	3	3
7	имеет в виду	1	3
8	с другой стороны	2	2
9	но отнюдь не	1	2
10	но прежде всего	2	1
11	том что в	1	1
12	и в этом	1	1
13	в чем не	1	1
14	от этой задачи	1	1
15	все же не	2	1
16	была бы подобна	1	1
17	во всяком случае	2	1
18	в самом деле	2	1
19	в лице ее	2	1
20	по себе не	1	1
21	же как и	1	1
22	в нем и	1	1
23	в то время	1	1
24	в частности в	1	1
25	ни в чем	1	1
26	но уже в	1	1
27	сами по себе	1	1
28	в свою очередь	1	1
29	о том что	2	1
30	и отнюдь не	1	1
31	только то что	1	1
32	ничего общего с	1	1
33	в творчестве достоевского	4	1
34	с самого начала	1	1
35	восприятие художественного произведения	1	1
36	в конечном счете	1	1
37	и прежде всего	1	1
38	можно было бы	1	1
39	когда он не	1	1
40	то же время	7	1
41	в русской литературе	1	1
42	он еще не	2	1
43	и в истории	1	1
44	со всех сторон	1	1
45	по крайней мере	2	1
46	в то же	7	1
47	записок из подполья	1	1
48	так же как	2	1
49	как и в	1	1
50	к тому же	1	1
51	но в то	1	1
52	его в субъект	1	1
53	это прежде всего	2	1
54	в основном его	1	1
55	в высшей степени	1	1
56	в том же	2	1
57	прежде всего нужно	1	1
