N	2gram	Bakhtin_sl_2	ViktorSh
1	и в	39	2
2	том что	5	2
3	в том	5	2
4	в конце	1	2
5	и только	1	1
6	ни к	2	1
7	в другом	2	1
8	хотя бы	3	1
9	и не	22	1
10	все время	1	1
11	и его	33	1
12	даже не	1	1
13	языка если	2	1
14	все это	16	1
15	именно в	2	1
16	этом и	1	1
17	вещь и	1	1
18	в их	2	1
19	дело в	2	1
20	говорили в	1	1
21	в частности	1	1
22	так в	2	1
23	речи и	3	1
24	одно и	1	1
25	все то	1	1
26	не одно	1	1
27	в значительной	6	1
28	в самом	1	1
29	только в	5	1
30	то же	4	1
31	так как	4	1
32	далеко не	2	1
33	что слово	1	1
34	но это	3	1
35	что язык	2	1
36	в этом	16	1
37	да и	1	1
38	прозы в	4	1
39	к этому	1	1
40	значительной степени	6	1
41	же две	1	1
42	без учета	1	1
43	гораздо более	1	1
