N	3gram	Savitsky_E_1	slovoVRo
1	то же время	14	12
2	в то же	15	12
3	в той или	3	9
4	той или иной	4	9
5	или иной степени	1	9
6	с точки зрения	16	8
7	в большинстве случаев	2	6
8	в отношении к	12	6
9	не может не	1	5
10	и в то	8	5
11	во всяком случае	3	5
12	и т д	1	5
13	с одной стороны	8	4
14	с другой стороны	2	4
15	большей или меньшей	1	4
16	но в то	2	4
17	хотя бы и	3	3
18	в данном случае	2	3
19	в большей или	1	3
20	или меньшей степени	1	3
21	более или менее	1	3
22	так и в	2	3
23	выходит за пределы	1	3
24	в известной степени	3	2
25	в лучшем случае	1	2
26	то время как	1	2
27	не только в	4	2
28	в то время	1	2
29	в известном смысле	3	2
30	и в этом	4	2
31	не могут быть	1	2
32	в других случаях	1	2
33	того или иного	4	2
34	в свою очередь	2	2
35	как бы ни	3	2
36	к тому что	1	2
37	можно было бы	3	2
38	друг с другом	3	2
39	и связанное с	1	1
40	и на своем	2	1
41	а не к	1	1
42	в стороне от	1	1
43	отношении к действительному	1	1
44	прежде всего в	2	1
45	дело в том	1	1
46	оно не может	1	1
47	то есть к	1	1
48	в нем и	1	1
49	на своем пути	1	1
50	и не в	1	1
51	именно к тому	1	1
52	то или иное	1	1
53	же время в	1	1
54	в отличие от	1	1
55	бы то ни	4	1
56	но и в	1	1
57	в этом отношении	3	1
58	к тому или	1	1
59	начале xx века	1	1
60	рано или поздно	2	1
61	в противном случае	1	1
62	с этой точки	5	1
63	сводится именно к	1	1
64	рассматривать с точки	1	1
65	может быть и	1	1
66	и в частности	2	1
67	в значительной степени	1	1
68	то ни было	4	1
69	и с точки	1	1
70	а также и	1	1
71	и в отношении	1	1
72	и не было	1	1
73	во всех этих	1	1
74	с отказом от	1	1
75	и в эту	1	1
76	но и того	1	1
77	о которых мы	1	1
78	не может быть	2	1
79	в начале xx	1	1
80	в свои пределы	2	1
81	еще далеко не	1	1
82	в одном из	2	1
83	то есть в	1	1
84	этой точки зрения	5	1
85	слова и в	1	1
86	как его понимает	1	1
87	и прежде всего	3	1
88	между ними и	2	1
89	можно сказать что	3	1
90	на то или	1	1
91	для нас в	1	1
92	и по своей	1	1
93	тех или иных	1	1
94	для того чтобы	5	1
95	в том что	6	1
96	ли он в	1	1
97	именно потому что	1	1
98	как мы видели	2	1
99	в пределах одного	1	1
