N	3gram	Vygotskiy__5	PoTuStor
1	с точки зрения	9	6
2	на самом деле	1	4
3	с самого начала	5	4
4	в этом смысле	1	3
5	до сих пор	3	3
6	по сравнению с	5	3
7	во всяком случае	1	3
8	не может быть	3	3
9	можно сказать что	5	3
10	и может быть	1	2
11	по аналогии с	1	2
12	так же как	7	2
13	в самом деле	2	2
14	не могут быть	1	2
15	нет никаких оснований	1	2
16	о том что	4	2
17	не нуждается в	1	2
18	и того же	3	1
19	ничего не говорит	1	1
20	мы имеем в	1	1
21	вообще не может	2	1
22	во всех областях	1	1
23	имеем в виду	1	1
24	подобно тому как	4	1
25	одного и того	3	1
26	то же самое	4	1
27	может быть совершенно	1	1
28	же как и	1	1
29	никогда не утверждал	1	1
30	на первый план	1	1
31	есть в сущности	1	1
32	и основной вопрос	1	1
33	в этом отношении	5	1
34	совершенно так же	1	1
35	можно было бы	3	1
36	но мы знаем	1	1
37	именно то что	1	1
38	с этой точки	4	1
39	вместе с тем	2	1
40	сделать это в	1	1
41	точки зрения обоих	1	1
42	и т.п и	1	1
43	шаг за шагом	1	1
44	с одной стороны	3	1
45	в высшей степени	2	1
46	в связи с	1	1
47	в себя и	1	1
48	в применении к	1	1
49	первый и основной	2	1
50	так и с	1	1
51	а с другой	2	1
52	не имеет места	1	1
53	нечто третье что	1	1
54	мы и попытались	1	1
55	но вместе с	1	1
56	в немногих словах	1	1
57	в этом и	1	1
58	в свое время	2	1
59	в том что	11	1
60	нельзя сказать о	1	1
61	на вопрос о	3	1
62	жизни таким образом	1	1
63	этой точки зрения	4	1
64	и таким образом	1	1
65	только в этой	1	1
66	что он прежде	1	1
67	мы не можем	1	1
68	что в этой	1	1
69	и связанная с	1	1
70	так и в	1	1
71	позволяет нам сделать	1	1
72	его отношение к	2	1
73	что иное как	1	1
74	и в известной	1	1
75	мы знаем что	1	1
76	таким образом и	1	1
77	в том смысле	1	1
78	не что иное	1	1
79	друг с другом	7	1
80	для того чтобы	14	1
81	той или иной	1	1
