N	4gram	Savitsky_E_1	EvropaiC
1	в том случае если	1	4
2	заключается в том что	2	3
3	одного и того же	1	3
4	культур ныне существующих или	1	2
5	в то же время	14	2
6	объективно доказать что культура	1	2
7	народов и культур по	1	2
8	равноценности и качественной несоизмеримости	5	2
9	всех прочих культур ныне	1	2
10	несмотря на то что	1	2
11	совершеннее всех прочих культур	1	2
12	прочих культур ныне существующих	1	2
13	как бы то ни	1	2
14	бы то ни было	4	2
15	ли объективно доказать что	1	2
16	можно ли объективно доказать	1	2
17	победа весьма часто выпадает	1	1
18	все признаваемые европейской наукой	1	1
19	культур по степеням совершенства	1	1
20	различие между отцами и	1	1
21	вполне могут очищать ее	1	1
22	в области культуры он	1	1
23	степеням совершенства новый принцип	1	1
24	на долю народов менее	1	1
25	победы европейцев над дикарями	1	1
26	признавать что победа весьма	1	1
27	культур и народов земного	3	1
28	и культур по степеням	1	1
29	живет и по сие	1	1
30	в том числе и	1	1
31	и норма права и	1	1
32	вопрос можно ли объективно	1	1
33	и учреждение и техническое	1	1
34	и с точки зрения	1	1
35	учреждение и техническое приспособление	1	1
36	характера тех племен которые	1	1
37	постоянно приходится признавать что	1	1
38	частью представителей данного народа	2	1
39	наивность этого доказательства должна	1	1
40	воспринимании европейской культуры вполне	1	1
41	только в том случае	1	1
42	военного снаряжения и механические	1	1
43	предметы военного снаряжения и	1	1
44	всеми или частью представителей	2	1
45	грубость и наивность этого	1	1
46	или частью представителей данного	2	1
47	выпадает на долю народов	1	1
48	себя как на отсталых	1	1
49	доказательства должна быть ясна	1	1
50	это может быть и	1	1
51	древности были разрушены именно	1	1
52	весьма часто выпадает на	1	1
53	на самих себя как	1	1
54	быть и норма права	1	1
55	этой культуры нечто абсолютно	1	1
56	долю народов менее культурных	1	1
57	получаем горизонтальную плоскость вместо	1	1
58	культурных чем побеждаемые ими	1	1
59	качественной несоизмеримости всех культур	2	1
60	совершенства новый принцип равноценности	1	1
61	культуры нечто абсолютно высшее	1	1
62	градации народов и культур	1	1
63	норма права и художественное	1	1
64	самое простое и наиболее	1	1
65	и наивность этого доказательства	1	1
66	цивилизацию живет и по	1	1
67	мы получаем горизонтальную плоскость	1	1
68	сие время в сознании	1	1
69	менее культурных чем побеждаемые	1	1
70	может быть и норма	1	1
71	народы при воспринимании европейской	1	1
72	новый принцип равноценности и	1	1
73	из того что в	1	1
74	при воспринимании европейской культуры	1	1
75	механические приспособления для передвижения	1	1
76	и механические приспособления для	1	1
77	культуры не будет уже	1	1
78	тех племен которые создали	1	1
79	своем развитии представителей человеческого	1	1
80	будет тем меньше чем	1	1
81	том же темпе как	1	1
82	того чтобы ответить на	1	1
83	человека этот аргумент ясно	1	1
84	часто выпадает на долю	1	1
85	насколько поклонение грубой силе	1	1
86	снаряжения и механические приспособления	1	1
87	время в сознании каждого	1	1
88	китайцев индусов арабов негров	1	1
89	туземную культуру в угоду	1	1
90	простое и наиболее распространенное	1	1
91	техническое приспособление и научное	1	1
92	несоизмеримости всех культур и	2	1
93	и различие между отцами	1	1
94	европейской культуры вполне могут	1	1
95	не говоря уже о	1	1
96	культуры древности были разрушены	1	1
97	могут очищать ее от	1	1
98	и техническое приспособление и	1	1
99	элементах этой культуры нечто	1	1
100	вместо лестницы мы получаем	1	1
101	быть ясна для всякого	1	1
102	славян китайцев индусов арабов	1	1
103	сравнению с культурой дикарей	1	1
104	в тех случаях когда	1	1
105	в своем развитии представителей	1	1
106	и по сие время	1	1
107	всех культур и народов	3	1
108	очищать ее от эгоцентризма	1	1
109	по сравнению с культурой	1	1
110	по степеням совершенства новый	1	1
111	должна быть ясна для	1	1
112	арабов негров и других	1	1
113	народов менее культурных чем	1	1
114	культуры вполне могут очищать	1	1
115	для того чтобы ответить	1	1
116	нечто абсолютно высшее и	2	1
117	приходится признавать что победа	1	1
118	на вопрос можно ли	1	1
119	во всех элементах этой	1	1
120	дело в том что	1	1
121	смотреть на самих себя	1	1
122	и наиболее распространенное доказательство	1	1
123	между отцами и детьми	1	1
124	принцип равноценности и качественной	2	1
125	этого доказательства должна быть	1	1
126	и народов земного шара	2	1
127	что победа весьма часто	1	1
128	всех элементах этой культуры	1	1
129	свою туземную культуру в	1	1
130	и качественной несоизмеримости всех	2	1
131	чем побеждаемые ими туземцы	1	1
132	в том же темпе	1	1
133	культуру в угоду европейской	1	1
134	развитии представителей человеческого рода	1	1
135	лестницы мы получаем горизонтальную	1	1
136	абсолютно высшее и совершенное	2	1
137	в то время как	1	1
138	дикарей грубость и наивность	1	1
139	индусов арабов негров и	1	1
140	самих себя как на	1	1
141	по сие время в	1	1
