N	3gram	Voloshinov_1	NovoeSre
1	в высшей степени	1	6
2	мы живем в	1	5
3	не может быть	3	4
4	подобно тому как	1	3
5	со всех сторон	1	3
6	в этом смысле	3	2
7	в нем нет	2	2
8	вместе с тем	1	2
9	так же как	2	2
10	с одной стороны	1	2
11	и того же	1	1
12	и в высшей	1	1
13	на протяжении всей	2	1
14	одного и того	1	1
15	мы должны перейти	1	1
16	есть прежде всего	1	1
17	же как и	1	1
18	оно же и	1	1
19	как это было	1	1
20	до сих пор	3	1
21	в свою противоположность	1	1
22	в основе их	1	1
23	философии жизни и	1	1
24	можно было бы	1	1
25	может быть только	1	1
26	еще не знает	1	1
27	находится во власти	1	1
28	не могут быть	2	1
29	во всяком случае	3	1
30	о том что	2	1
31	ни в чем	3	1
32	и пр в	1	1
33	это и есть	1	1
34	совершенно так же	1	1
35	в большинстве случаев	3	1
36	и быть не	1	1
37	в том смысле	1	1
38	быть не может	1	1
39	в том что	1	1
