N	2gram	Tiupa_Disk_1	BTomashe
1	и не	11	2
2	литературных произведений	1	2
3	видеть в	1	2
4	не то	1	2
5	крайней мере	2	1
6	за пределы	2	1
7	исторической поэтике	1	1
8	тем более	1	1
9	говорить о	1	1
10	будто бы	2	1
11	об этом	2	1
12	и в	16	1
13	не вполне	1	1
14	и о	4	1
15	выходит за	1	1
16	следовало бы	1	1
17	говорить не	1	1
18	с другой	10	1
19	в своей	5	1
20	необходимо отметить	1	1
21	литературы как	1	1
22	на самом	1	1
23	как будто	1	1
24	в трактовке	1	1
25	не следует	2	1
26	и нет	1	1
27	было бы	1	1
28	все же	3	1
29	всяком случае	1	1
30	а о	2	1
31	словесного творчества	1	1
32	точке зрения	1	1
33	было и	1	1
34	еще не	14	1
35	и на	5	1
36	в пределах	2	1
37	стоит на	1	1
38	одной из	4	1
39	в значительной	2	1
40	прежде всего	11	1
41	в данном	5	1
42	и во	2	1
43	так и	8	1
44	о них	1	1
45	не было	7	1
46	в книге	1	1
47	далеко не	10	1
48	не о	1	1
49	всего в	1	1
50	до конца	1	1
51	теорию литературы	1	1
52	нельзя не	2	1
53	этой книги	1	1
54	а не	22	1
55	что в	4	1
56	в области	1	1
57	другой стороны	3	1
58	также не	1	1
59	и ее	2	1
60	не все	1	1
61	по крайней	2	1
62	отнюдь не	8	1
63	таким образом	3	1
64	вопрос о	1	1
65	и более	1	1
66	и потому	3	1
67	не только	28	1
68	значительной степени	2	1
69	во всяком	2	1
70	в эпоху	5	1
