N	2gram	Vinokur_Ku_2	Freidism
1	таким образом	5	24
2	и не	16	23
3	не может	9	20
4	точки зрения	14	19
5	прежде всего	8	18
6	в этом	18	15
7	в его	5	15
8	и пр	8	15
9	с помощью	7	14
10	мы можем	1	13
11	может быть	15	13
12	и его	3	12
13	все эти	12	11
14	как и	2	11
15	с точки	8	11
16	как бы	4	11
17	то что	9	11
18	самом деле	9	10
19	но в	11	10
20	как мы	3	10
21	так и	4	10
22	и потому	2	10
23	с его	1	9
24	по отношению	1	9
25	и в	23	9
26	то же	6	8
27	не только	20	8
28	он не	3	8
29	в своей	2	8
30	еще не	5	8
31	оно и	1	8
32	что он	5	8
33	только в	5	8
34	так как	15	8
35	все это	5	8
36	и все	2	8
37	в самом	12	7
38	мы уже	1	7
39	отношение к	1	7
40	ни в	4	7
41	мы видели	2	7
42	те же	3	7
43	к нему	2	7
44	один из	5	7
45	тот же	5	7
46	мы знаем	4	7
47	всяком случае	5	7
48	что же	5	7
49	сказать что	4	7
50	во всяком	5	7
51	в ней	3	6
52	все те	1	6
53	и с	7	6
54	на протяжении	1	6
55	точку зрения	1	6
56	того что	3	6
57	для него	1	6
58	вовсе не	9	6
59	никогда не	2	6
60	хотя бы	9	6
61	совершенно не	3	6
62	на самом	2	5
63	и на	6	5
64	в чем	1	5
65	и к	1	5
66	в этой	6	5
67	что такое	3	5
68	знаем что	3	5
69	не в	8	5
70	мы должны	2	5
71	в то	4	5
72	в каком	4	5
73	могут быть	4	5
74	в себя	1	5
75	для этого	3	5
76	можно сказать	4	5
77	для того	9	5
78	по мнению	1	5
79	в большинстве	1	5
80	большинстве случаев	2	5
81	и прежде	1	5
82	а в	3	5
83	но и	7	5
84	связь с	1	5
85	с этим	3	5
86	в период	1	5
87	в свою	2	5
88	что в	10	5
89	смысле слова	2	4
90	в зависимости	4	4
91	той же	2	4
92	связанных с	1	4
93	мы не	1	4
94	в которой	1	4
95	говорить о	4	4
96	я не	5	4
97	зависимости от	5	4
98	но не	6	4
99	все же	7	4
100	не было	4	4
101	из этих	1	4
102	в пределах	4	4
103	в нем	4	4
104	всех этих	3	4
105	на этом	3	4
106	то ни	1	4
107	связанные с	2	4
108	при этом	2	4
109	об этом	5	4
110	не менее	7	4
111	же время	3	4
112	потому что	25	4
113	и для	2	4
114	к тому	4	4
115	если мы	4	4
116	того чтобы	11	4
117	данном случае	2	4
118	сводится к	3	4
119	характер и	2	4
120	с самого	1	4
121	это только	2	4
122	с ними	2	4
123	конечно не	2	4
124	уже не	8	4
125	в котором	1	4
126	мы находим	1	4
127	как раз	3	4
128	от того	4	4
129	и др	1	4
130	в данном	4	4
131	и о	4	4
132	сознания и	2	4
133	в этих	1	4
134	этот вопрос	6	4
135	между ними	1	4
136	и есть	2	3
137	он был	1	3
138	такие же	1	3
139	а только	3	3
140	конечном счете	2	3
141	в общем	1	3
142	как в	3	3
143	и той	1	3
144	и как	1	3
145	сказать о	1	3
146	в себе	1	3
147	но ведь	1	3
148	этот процесс	1	3
149	главным образом	3	3
150	в узком	4	3
151	и вот	5	3
152	одной и	1	3
153	и по	3	3
154	что все	5	3
155	было бы	15	3
156	мы имеем	5	3
157	такой же	1	3
158	нисколько не	3	3
159	тому чтобы	1	3
160	тому что	1	3
161	этой области	4	3
162	самого начала	1	3
163	одна из	1	3
164	не могут	5	3
165	она не	2	3
166	ничего общего	1	3
167	с ее	1	3
168	свою очередь	2	3
169	только то	1	3
170	приводит к	5	3
171	если бы	12	3
172	и что	8	3
173	бы то	1	3
174	и содержание	1	3
175	которого оно	1	3
176	в конечном	2	3
177	первый период	2	3
178	у него	3	3
179	в них	4	3
180	со стороны	4	3
181	на этот	2	3
182	вместе с	5	3
183	по своему	1	3
184	слова и	5	3
185	и от	2	3
