N	3gram	Vinokur_Vv_1	Problemy
1	с точки зрения	2	9
2	до сих пор	5	8
3	не может быть	8	8
4	по отношению к	4	5
5	то же время	5	5
6	в то же	5	5
7	в самом деле	5	4
8	в отличие от	3	3
9	сам по себе	1	3
10	имеем в виду	1	3
11	с другой стороны	5	3
12	мы имеем в	1	3
13	имеют первостепенное значение	1	2
14	дело в том	2	2
15	большей или меньшей	2	2
16	в этом смысле	10	2
17	здесь не место	1	2
18	в строгом смысле	3	2
19	но и в	1	2
20	можно было бы	3	2
21	на этот вопрос	3	2
22	в том что	12	2
23	как если бы	1	2
24	в большей или	1	2
25	или меньшей степени	1	2
26	но в то	3	2
27	о том что	12	2
28	в свое время	2	2
29	можно сказать что	3	2
30	той или иной	1	2
31	в этих случаях	2	2
32	как мы уже	1	2
33	сама по себе	3	2
34	во всех его	1	2
35	и не в	1	2
36	может быть более	1	2
37	и в конце	1	1
38	сплошь да рядом	1	1
39	в эпоху возрождения	1	1
40	которая как мы	1	1
41	прежде всего в	1	1
42	также и в	2	1
43	в средние века	1	1
44	а между тем	1	1
45	в том же	1	1
46	в этом случае	6	1
47	одной стороны и	3	1
48	оно направлено на	1	1
49	хотя бы и	2	1
50	так как если	1	1
51	отношение к действительности	1	1
52	в известной мере	2	1
53	этом смысле и	1	1
54	может быть и	2	1
55	одно и то	1	1
56	в этой форме	1	1
57	в значительной степени	1	1
58	но не к	1	1
59	в том или	1	1
60	на этой почве	2	1
61	так же как	1	1
62	в данном случае	4	1
63	не признать его	1	1
64	уже в первом	1	1
65	с одной стороны	4	1
66	в конце концов	2	1
67	сообщение о том	1	1
68	и то же	1	1
69	как один из	1	1
70	если бы оно	1	1
71	по сравнению с	3	1
72	в сущности лишь	1	1
73	так или иначе	4	1
74	с разных сторон	1	1
75	в нем не	1	1
76	в связи с	2	1
77	потому что она	1	1
78	собственном смысле слова	1	1
79	во всяком случае	3	1
80	в точном смысле	1	1
81	в каждом своем	1	1
82	в широком смысле	7	1
83	о возможности и	1	1
84	бы оно было	1	1
85	здесь таким образом	1	1
86	у него в	1	1
87	то что когда-то	1	1
88	на тему о	1	1
89	особой точки зрения	1	1
90	в собственном смысле	2	1
91	с самого начала	1	1
92	что в нем	2	1
93	очень широком смысле	1	1
94	что может быть	3	1
95	не только в	4	1
96	но в этом	1	1
97	но все же	3	1
98	как своего рода	1	1
99	как мы видим	1	1
100	как на свой	1	1
101	не в этом	1	1
102	как мы знаем	1	1
103	после того как	2	1
104	о котором идет	1	1
105	к тому что	1	1
106	в каждом из	1	1
107	как мы имеем	1	1
108	связи между словами	1	1
109	в какой они	1	1
110	дело не в	1	1
111	никак не может	1	1
112	лицом к лицу	1	1
113	а именно в	1	1
114	все это не	1	1
115	в очень широком	1	1
116	в этом пункте	1	1
