N	2gram	Bakhtin_fo_2	IolandNe
1	и с	6	3
2	должен быть	1	2
3	и не	9	2
4	в этом	22	2
5	оба они	1	2
6	он не	5	2
7	что в	5	2
8	же это	1	1
9	себя в	1	1
10	все это	6	1
11	автора и	2	1
12	нисколько не	1	1
13	и др	5	1
14	и тот	1	1
15	эти произведения	1	1
16	и в	46	1
17	и о	2	1
18	у всех	2	1
19	то и	1	1
20	них не	1	1
21	бы в	1	1
22	как только	1	1
23	стало быть	1	1
24	того же	3	1
25	значительной мере	1	1
26	с другой	2	1
27	и та	2	1
28	это было	1	1
29	а в	3	1
30	вплоть до	2	1
31	того что	3	1
32	о жизни	1	1
33	после смерти	1	1
34	в киеве	1	1
35	и широко	1	1
36	на котором	2	1
37	другой стороны	1	1
38	утверждает что	2	1
39	в материале	1	1
40	в огороде	1	1
41	и еще	1	1
42	для него	3	1
43	а также	3	1
44	в основе	6	1
45	в значительной	1	1
46	говорить о	2	1
47	понятий и	1	1
48	и сам	1	1
49	так и	7	1
50	от этого	2	1
51	того чтобы	8	1
52	никогда не	6	1
53	следующим образом	1	1
54	огороде бузина	1	1
55	только для	2	1
56	жизни и	8	1
57	эпизод с	1	1
58	тех же	1	1
59	для других	3	1
60	тем что	3	1
61	по поводу	1	1
62	бузина а	1	1
63	в них	7	1
64	все эти	5	1
65	но когда	1	1
66	по существу	5	1
67	от нее	1	1
68	со всеми	2	1
69	если бы	1	1
70	для того	8	1
71	и идей	3	1
